config_id,config_index,cci_threshold,cci_retrieval_max,cci_computation_min,w3_cutoff,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,matches_paper_15_1_300_124,rule_structure,tie_break,probes_combined
cci0.05_w30.00_p50,0,0.05,0.05,0.95,0.0,50,0,0,62,378,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.00_p75,1,0.05,0.05,0.95,0.0,75,0,1,86,353,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.00_p90,2,0.05,0.05,0.95,0.0,90,0,1,78,361,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.25_p50,3,0.05,0.05,0.95,0.25,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.25_p75,4,0.05,0.05,0.95,0.25,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.25_p90,5,0.05,0.05,0.95,0.25,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.50_p50,6,0.05,0.05,0.95,0.5,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.50_p75,7,0.05,0.05,0.95,0.5,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.50_p90,8,0.05,0.05,0.95,0.5,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.75_p50,9,0.05,0.05,0.95,0.75,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.75_p75,10,0.05,0.05,0.95,0.75,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
