problem_id,variant_type,model,raw_response,behavioral_correct,correct_answer,problem_family,contamination_pole,difficulty
GSM_001,canonical,anthropic/claude-3.7-sonnet,"To solve this problem, I need to calculate the cost of a 86-minute phone call where:
- First 20 minutes cost $0.9 per minute
- Remaining minutes cost $0.5 per minute

Step 1: Calculate the cost for the first 20 minutes.
First 20 minutes = 20 × $0.9 = $18.00

Step 2: Calculate the cost for the remaining minutes (after the first 20).
Remaining minutes = 86 - 20 = 66 minutes
Cost for remaining minutes = 66 × $0.5 = $33.00

Step 3: Find the total cost by adding both parts.
Total cost = $18.00 + $33.00 = $51.00

Therefore, an 86-minute call would cost $51.00.",True,51,arithmetic_reasoning,high,medium
GSM_002,canonical,anthropic/claude-3.7-sonnet,"I need to find the total number of kids in the park by adding the number of girls and boys.

Given information:
- There are 18 girls in the park
- The number of boys is two-thirds the number of girls

Step 1: Calculate the number of boys.
Number of boys = 2/3 × 18 = 12

Step 2: Find the total number of kids.
Total number of kids = Number of girls + Number of boys
Total number of kids = 18 + 12 = 30

Therefore, there are 30 kids in the park.",True,30,arithmetic_reasoning,high,easy
GSM_003,canonical,anthropic/claude-3.7-sonnet,"# Problem: Finding total number of cards

I'll solve this step by step.

## Given:
- 30 purple cards
- Yellow cards are 50% more than purple cards
- Blue cards equal the sum of purple and yellow cards

## Step 1: Calculate the number of yellow cards.
Yellow cards = 30 + 50% of 30
Yellow cards = 30 + 0.5 × 30
Yellow cards = 30 + 15 = 45

## Step 2: Calculate the number of blue cards.
Blue cards = Purple cards + Yellow cards
Blue cards = 30 + 45 = 75

## Step 3: Find the total number of cards.
Total cards = Purple + Yellow + Blue
Total cards = 30 + 45 + 75 = 150

Therefore, there are 150 cards of all mentioned colors (purple, yellow, and blue).",True,150,arithmetic_reasoning,high,medium
GSM_004,canonical,anthropic/claude-3.7-sonnet,"I need to calculate how much the painter earns in a year.

Given:
- The painter works 2 weeks every month
- The painter works 6 days every week
- The painter earns £150 per day
- I need to find the earnings for 1 year (12 months)

Step 1: Calculate how many days the painter works each month.
Days per month = 2 weeks × 6 days per week = 12 days

Step 2: Calculate how many days the painter works in a year.
Days per year = 12 days per month × 12 months = 144 days

Step 3: Calculate the total earnings for the year.
Total earnings = 144 days × £150 per day = £21,600

Therefore, the painter earns £21,600 in a year.",True,21600,arithmetic_reasoning,high,easy
GSM_005,canonical,anthropic/claude-3.7-sonnet,"# Finding hours per week Liam spends learning

## School hours
- Normal student: 6 periods per day
- Liam: 7 periods per day (6 regular + 1 extra)
- Each period: 60 minutes
- School days per week: 6 days

Total school minutes per week = 7 periods × 60 minutes × 6 days = 2,520 minutes

## Weekend learning
- Liam spends 1/7 of his weekly minutes on Saturday
- He also spends 1/7 of his weekly minutes on Sunday

Let's call the total weekly learning minutes ""t""

From this information:
- School minutes (2,520) + Saturday minutes (t/7) + Sunday minutes (t/7) = t

Setting up the equation:
2,520 + t/7 + t/7 = t
2,520 + 2t/7 = t
2,520 = t - 2t/7
2,520 = 7t/7 - 2t/7
2,520 = 5t/7
2,520 × 7/5 = t
17,640/5 = t
3,528 = t

Converting to hours:
3,528 minutes ÷ 60 = 58.8 hours

Therefore, Liam spends 58.8 hours per week learning.",False,54,arithmetic_reasoning,high,hard
GSM_006,canonical,anthropic/claude-3.7-sonnet,"# Finding the Final Value of Kayla's Stock Shares

I'll calculate the final value of Kayla's stock shares after the price changes over two years.

## Given information:
- Initial purchase: 10 shares at €56 each
- First year: Price increases by 30%
- Second year: Price decreases by 25%

## Step 1: Calculate the initial total investment.
Initial total value = 10 shares × €56 = €560

## Step 2: Calculate the value after the first year (30% increase).
Value after first year = €560 × (1 + 0.30) = €560 × 1.3 = €728

## Step 3: Calculate the value after the second year (25% decrease).
Value after second year = €728 × (1 - 0.25) = €728 × 0.75 = €546

Therefore, the final value of all Kayla's shares is €546.",True,546,arithmetic_reasoning,high,medium
GSM_007,canonical,anthropic/claude-3.7-sonnet,"I'll solve this step by step.

First, I need to identify what hours Kai pays for and what the cost structure is.

Given:
- Kai hires a car from 1 PM to 5 PM (4 hours total)
- He gets 2 hours free
- The first paid hour costs $10
- Each subsequent paid hour costs twice the previous hour

Since Kai gets 2 hours free out of the 4 total hours, he pays for 2 hours.

Let's calculate the cost:
- First paid hour: $10
- Second paid hour: $10 × 2 = $20

Total payment = $10 + $20 = $30

Therefore, Kai paid $30 for the luxury car rental.",True,30,arithmetic_reasoning,high,hard
GSM_008,canonical,anthropic/claude-3.7-sonnet,"# Calculating Virus Spread

I need to track the number of infected people over 3 days, where each infected person infects 3 new people daily.

## Initial condition:
- Day 0: 16 people are already infected

## Calculating the spread:
- Day 1: Each of the 16 infected people infects 3 new people
  - New infections: 16 × 3 = 48 people
  - Total infected by end of day 1: 16 + 48 = 64 people

- Day 2: Each of the 64 infected people infects 3 new people
  - New infections: 64 × 3 = 192 people
  - Total infected by end of day 2: 64 + 192 = 256 people

- Day 3: Each of the 256 infected people infects 3 new people
  - New infections: 256 × 3 = 768 people
  - Total infected by end of day 3: 256 + 768 = 1,024 people

Therefore, after 3 days, 1,024 people are infected.",True,1024,arithmetic_reasoning,high,medium
GSM_009,canonical,anthropic/claude-3.7-sonnet,"To solve this problem, I need to find the total number of eggs Nia eats over the 108 days, then convert that to dozens.

First, let me calculate the eggs eaten during each period:
- First 84 days: 5 eggs per day × 84 days = 420 eggs
- Next 24 days: 7 eggs per day × 24 days = 168 eggs

Total eggs for the entire 108 days:
420 + 168 = 588 eggs

To convert to dozens:
588 eggs ÷ 12 eggs per dozen = 49 dozens

Therefore, Nia will need 49 dozens of eggs for the 108 days.",False,49,arithmetic_reasoning,high,medium
GSM_010,canonical,anthropic/claude-3.7-sonnet,"# Finding the total number of popcorn pieces

Let me work through this step by step, tracking the popping rates and total kernels popped.

## Initial conditions:
- First 30 seconds: 60 kernels pop
- This means the initial popping rate is 60 kernels per 30 seconds

## Breaking down each time period:

### First 30 seconds (0-30s):
- 60 kernels pop
- Total so far: 60 kernels

### Second 30 seconds (30-60s):
- 4 times the initial amount = 4 × 60 = 240 kernels
- Total so far: 60 + 240 = 300 kernels

### Third 30 seconds (60-90s):
- 6 times the initial popping rate = 6 × 60 = 360 kernels
- Total so far: 300 + 360 = 660 kernels

### Fourth 30 seconds (90-120s):
- Half the rate of the previous 30 seconds
- Previous rate: 360 kernels
- Half of that: 360 ÷ 2 = 180 kernels
- Total so far: 660 + 180 = 840 kernels

### After removing from heat (residual popping):
- A quarter of the number that popped in the final 30 seconds
- Final 30 seconds had: 180 kernels
- A quarter of that: 180 × 0.25 = 45 kernels
- Final total: 840 + 45 = 885 kernels

Therefore, Zahra has 885 pieces of popcorn to eat.",True,885,arithmetic_reasoning,medium,medium
GSM_011,canonical,anthropic/claude-3.7-sonnet,"I need to calculate how much water Pavel uses and how much is left.

Given:
- Pavel has 328 grams of water in total
- Giant cubes: 12 grams per cube
- Medium cubes: 11 grams per cube
- Small cubes: 1/5 gram per cube
- Pavel makes: 8 giant cubes, 13 medium cubes, and 15 small cubes

First, let's calculate how much water is used for each type of cube:
- Giant cubes: 8 × 12 grams = 96 grams
- Medium cubes: 13 × 11 grams = 143 grams
- Small cubes: 15 × (1/5) gram = 15/5 = 3 grams

Total water used = 96 + 143 + 3 = 242 grams

Water remaining = Total water - Water used
Water remaining = 328 - 242 = 86 grams

Therefore, Pavel has 86 grams of water left.",True,86,arithmetic_reasoning,medium,medium
GSM_012,canonical,anthropic/claude-3.7-sonnet,"I need to find the total number of potted plants Camila will have left after giving some away.

First, let me find how many potted plants Camila has currently:
- On each of her 52 window ledges, she has 7 potted plants
- Total plants on window ledges = 52 × 7 = 364 plants
- She also received 29 new potted plants
- Total plants = 364 + 29 = 393 plants

Now, let me determine how many plants Camila will give away:
- She will give 6 plants from each of the 52 ledges
- Total plants given away = 52 × 6 = 312 plants

Therefore, the number of plants Camila will remain with:
393 - 312 = 81 potted plants",True,81,arithmetic_reasoning,medium,medium
