problem_id,variant_type,model,model_answer,ground_truth,verified,parse_status,correct_alternative,human_review_flag,correct_canonical,greedy_answer,gave_greedy_answer,difficulty_params_instance_type
CC_01,canonical,anthropic/claude-3.7-sonnet,"Count: 2
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_clean,False,False,True,"Count: 2
 Coins: [3, 3]",,standard
CC_01,W1,anthropic/claude-3.7-sonnet,"Count: 2
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [3, 3]",,standard
CC_01,W2,anthropic/claude-3.7-sonnet,"Count: 2
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [3, 3]",,standard
CC_01,W3,anthropic/claude-3.7-sonnet,"Total: 2 Scoops: [3, 3]","Total: 2
 Scoops: [3, 3]",False,parse_failed,False,True,False,"Count: 2
 Coins: [3, 3]",,standard
CC_01,W4,anthropic/claude-3.7-sonnet,"Count: 2
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [3, 3]",,standard
CC_02,canonical,anthropic/claude-3.7-sonnet,"Count: 2
Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_clean,False,False,True,"Count: 2
 Coins: [5, 6]",,standard
CC_02,W1,anthropic/claude-3.7-sonnet,"Count: 2
Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [5, 6]",,standard
CC_02,W2,anthropic/claude-3.7-sonnet,"Count: 2
Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [5, 6]",,standard
CC_02,W3,anthropic/claude-3.7-sonnet,"Total: 2 Scoops: [5, 6]","Total: 2
 Scoops: [5, 6]",False,parse_failed,False,True,False,"Count: 2
 Coins: [5, 6]",,standard
CC_02,W4,anthropic/claude-3.7-sonnet,"Count: 2
Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [5, 6]",,standard
