problem_id,model,contamination_pole,difficulty,phase1_steps_json,phase1_final_answer,phase1_parseable,cci_score,cci_matched,cci_total,inject_at_step,injected_value,true_value_at_injection,tep_score,tep_diverged_steps,tep_total_steps,session_b_correct,correct_answer
GSM_001,openai/o4-mini,high,medium,"[{""step"": 1, ""description"": ""Remaining minutes"", ""value"": 86.0}, {""step"": 2, ""description"": ""Cost for first 20 minutes"", ""value"": 20.0}, {""step"": 3, ""description"": ""Cost for remaining 66 minutes"", ""value"": 66.0}, {""step"": 4, ""description"": ""Total cost"", ""value"": 18.0}]",51.0,True,0.0000,0,4,2,23.0,20.0,1.0000,2,2,True,51
GSM_002,openai/o4-mini,high,easy,"[{""step"": 1, ""description"": ""18 * 3"", ""value"": 54.0}, {""step"": 2, ""description"": ""54 / 2"", ""value"": 27.0}, {""step"": 3, ""description"": ""18 + 27"", ""value"": 45.0}]",45.0,True,0.0000,0,3,1,62.1,54.0,1.0000,2,2,False,30
GSM_003,openai/o4-mini,high,medium,"[{""step"": 1, ""description"": ""50% of 30"", ""value"": 15.0}, {""step"": 2, ""description"": ""Yellow cards (30 + 15)"", ""value"": 45.0}, {""step"": 3, ""description"": ""Blue cards (30 + 45)"", ""value"": 75.0}, {""step"": 4, ""description"": ""Total cards (30 + 45 + 75)"", ""value"": 150.0}]",150.0,True,0.0000,0,4,2,51.75,45.0,1.0000,2,2,True,150
GSM_004,openai/o4-mini,high,easy,"[{""step"": 1, ""description"": ""days worked per month (2 weeks \u00d7 6 days/week)"", ""value"": 12.0}, {""step"": 2, ""description"": ""monthly earnings (12 days \u00d7 \u00a3150/day)"", ""value"": 1800.0}, {""step"": 3, ""description"": ""annual earnings (1800 \u00d7 12 months)"", ""value"": 21600.0}]",21600.0,True,0.3333,1,3,1,13.8,12.0,1.0000,2,2,True,21600
GSM_005,openai/o4-mini,high,hard,"[{""step"": 1, ""description"": ""classes per day"", ""value"": 6.0}, {""step"": 2, ""description"": ""minutes per day"", ""value"": 7.0}, {""step"": 3, ""description"": ""class minutes per week"", ""value"": 420.0}, {""step"": 4, ""description"": ""extra learning minutes per weekend day = (1/7) \u00d7 2520"", ""value"": 360.0}, {""step"": 5, ""description"": ""total weekend extra minutes"", ""value"": 360.0}, {""step"": 6, ""description"": ""total learning minutes per week"", ""value"": 2520.0}, {""step"": 7, ""description"": ""total learning hours per week"", ""value"": 3240.0}]",54.0,True,0.1429,1,7,3,483.0,420.0,1.0000,4,4,True,54
GSM_006,openai/o4-mini,high,medium,"[{""step"": 1, ""description"": ""initial total cost"", ""value"": 10.0}, {""step"": 2, ""description"": ""30% of 560"", ""value"": 560.0}, {""step"": 3, ""description"": ""total after 30% increase"", ""value"": 560.0}, {""step"": 4, ""description"": ""25% of 728"", ""value"": 728.0}, {""step"": 5, ""description"": ""total after 25% decrease"", ""value"": 728.0}]",546.0,True,0.0000,0,5,2,644.0,560.0,0.6667,2,3,True,546
GSM_007,openai/o4-mini,high,hard,"[{""step"": 1, ""description"": ""duration of hire (5 PM \u2013 1 PM)"", ""value"": 5.0}, {""step"": 2, ""description"": ""paid hours (duration \u2013 free hours)"", ""value"": 4.0}, {""step"": 3, ""description"": ""cost of first paid hour"", ""value"": 10.0}, {""step"": 4, ""description"": ""cost of second paid hour (first hour cost \u00d7 2)"", ""value"": 10.0}, {""step"": 5, ""description"": ""total cost (10 + 20)"", ""value"": 10.0}]",30.0,True,0.2000,1,5,2,4.6,4.0,0.6667,2,3,True,30
GSM_008,openai/o4-mini,high,medium,"[{""step"": 1, ""description"": ""new infections on day 1"", ""value"": 16.0}, {""step"": 2, ""description"": ""total infections after day 1"", ""value"": 16.0}, {""step"": 3, ""description"": ""new infections on day 2"", ""value"": 64.0}, {""step"": 4, ""description"": ""total infections after day 2"", ""value"": 64.0}, {""step"": 5, ""description"": ""new infections on day 3"", ""value"": 256.0}, {""step"": 6, ""description"": ""total infections after day 3"", ""value"": 256.0}]",1024.0,True,0.0000,0,6,3,73.6,64.0,1.0000,3,3,True,1024
GSM_009,openai/o4-mini,high,medium,"[{""step"": 1, ""description"": ""5 eggs/day \u00d7 84 days"", ""value"": 420.0}, {""step"": 2, ""description"": ""7 eggs/day \u00d7 24 days"", ""value"": 168.0}, {""step"": 3, ""description"": ""420 eggs + 168 eggs"", ""value"": 588.0}, {""step"": 4, ""description"": ""588 eggs \u00f7 12 eggs/dozen"", ""value"": 49.0}]",49.0,True,0.7500,3,4,2,193.2,168.0,0.5000,1,2,True,49
GSM_010,openai/o4-mini,medium,medium,"[{""step"": 1, ""description"": ""kernels popped in first 30 seconds"", ""value"": 60.0}, {""step"": 2, ""description"": ""kernels popped in second 30 seconds"", ""value"": 4.0}, {""step"": 3, ""description"": ""kernels popped in third 30 seconds"", ""value"": 6.0}, {""step"": 4, ""description"": ""kernels popped in fourth 30 seconds"", ""value"": 1.0}, {""step"": 5, ""description"": ""kernels popped from residual heat"", ""value"": 1.0}, {""step"": 6, ""description"": ""sum after first two intervals"", ""value"": 60.0}, {""step"": 7, ""description"": ""sum after first three intervals"", ""value"": 300.0}, {""step"": 8, ""description"": ""sum after four intervals"", ""value"": 660.0}, {""step"": 9, ""description"": ""sum including residual"", ""value"": 840.0}]",885.0,True,0.0000,0,9,4,1.15,1.0,1.0000,5,5,True,885
