panel,label_executed,label_appendix,n
full_440,retrieval,retrieval,2
full_440,computation,retrieval,0
full_440,mixed,retrieval,3
full_440,ambiguous,retrieval,3
full_440,retrieval,computation,0
full_440,computation,computation,0
full_440,mixed,computation,0
full_440,ambiguous,computation,0
full_440,retrieval,mixed,0
full_440,computation,mixed,0
full_440,mixed,mixed,137
full_440,ambiguous,mixed,162
full_440,retrieval,ambiguous,6
full_440,computation,ambiguous,4
full_440,mixed,ambiguous,17
full_440,ambiguous,ambiguous,106
complete_case_169,retrieval,retrieval,2
complete_case_169,computation,retrieval,0
complete_case_169,mixed,retrieval,36
complete_case_169,ambiguous,retrieval,0
complete_case_169,retrieval,computation,0
complete_case_169,computation,computation,0
complete_case_169,mixed,computation,0
complete_case_169,ambiguous,computation,0
complete_case_169,retrieval,mixed,0
complete_case_169,computation,mixed,4
complete_case_169,mixed,mixed,23
complete_case_169,ambiguous,mixed,0
complete_case_169,retrieval,ambiguous,6
complete_case_169,computation,ambiguous,0
complete_case_169,mixed,ambiguous,98
complete_case_169,ambiguous,ambiguous,0
complete_case_169_p75_frozen,retrieval,retrieval,2
complete_case_169_p75_frozen,computation,retrieval,0
complete_case_169_p75_frozen,mixed,retrieval,3
complete_case_169_p75_frozen,ambiguous,retrieval,0
complete_case_169_p75_frozen,retrieval,computation,0
complete_case_169_p75_frozen,computation,computation,0
complete_case_169_p75_frozen,mixed,computation,0
complete_case_169_p75_frozen,ambiguous,computation,0
complete_case_169_p75_frozen,retrieval,mixed,0
complete_case_169_p75_frozen,computation,mixed,0
complete_case_169_p75_frozen,mixed,mixed,137
complete_case_169_p75_frozen,ambiguous,mixed,0
complete_case_169_p75_frozen,retrieval,ambiguous,6
complete_case_169_p75_frozen,computation,ambiguous,4
complete_case_169_p75_frozen,mixed,ambiguous,17
complete_case_169_p75_frozen,ambiguous,ambiguous,0
