cci_threshold,w3_cutoff,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,n_confident,confident_label_rate
0.05,0.0,50,0,15,154,0,169,15,0.08875739644970414
0.05,0.0,75,0,17,152,0,169,17,0.10059171597633136
0.05,0.0,90,0,17,152,0,169,17,0.10059171597633136
0.05,0.25,50,8,15,146,0,169,23,0.13609467455621302
0.05,0.25,75,0,17,152,0,169,17,0.10059171597633136
0.05,0.25,90,0,17,152,0,169,17,0.10059171597633136
0.05,0.5,50,8,15,146,0,169,23,0.13609467455621302
0.05,0.5,75,0,17,152,0,169,17,0.10059171597633136
0.05,0.5,90,0,17,152,0,169,17,0.10059171597633136
0.05,0.75,50,8,15,146,0,169,23,0.13609467455621302
0.05,0.75,75,0,17,152,0,169,17,0.10059171597633136
0.05,0.75,90,0,17,152,0,169,17,0.10059171597633136
0.05,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.05,1.0,75,0,0,169,0,169,0,0.0
0.05,1.0,90,0,0,169,0,169,0,0.0
0.1,0.0,50,0,15,154,0,169,15,0.08875739644970414
0.1,0.0,75,0,17,152,0,169,17,0.10059171597633136
0.1,0.0,90,0,17,152,0,169,17,0.10059171597633136
0.1,0.25,50,8,15,146,0,169,23,0.13609467455621302
0.1,0.25,75,0,17,152,0,169,17,0.10059171597633136
0.1,0.25,90,0,17,152,0,169,17,0.10059171597633136
0.1,0.5,50,8,15,146,0,169,23,0.13609467455621302
0.1,0.5,75,0,17,152,0,169,17,0.10059171597633136
0.1,0.5,90,0,17,152,0,169,17,0.10059171597633136
0.1,0.75,50,8,15,146,0,169,23,0.13609467455621302
0.1,0.75,75,0,17,152,0,169,17,0.10059171597633136
0.1,0.75,90,0,17,152,0,169,17,0.10059171597633136
0.1,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.1,1.0,75,0,0,169,0,169,0,0.0
0.1,1.0,90,0,0,169,0,169,0,0.0
0.15,0.0,50,0,15,154,0,169,15,0.08875739644970414
0.15,0.0,75,0,17,152,0,169,17,0.10059171597633136
0.15,0.0,90,0,17,152,0,169,17,0.10059171597633136
0.15,0.25,50,8,15,146,0,169,23,0.13609467455621302
0.15,0.25,75,0,17,152,0,169,17,0.10059171597633136
0.15,0.25,90,0,17,152,0,169,17,0.10059171597633136
0.15,0.5,50,8,15,146,0,169,23,0.13609467455621302
0.15,0.5,75,0,17,152,0,169,17,0.10059171597633136
0.15,0.5,90,0,17,152,0,169,17,0.10059171597633136
0.15,0.75,50,8,15,146,0,169,23,0.13609467455621302
0.15,0.75,75,0,17,152,0,169,17,0.10059171597633136
0.15,0.75,90,0,17,152,0,169,17,0.10059171597633136
0.15,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.15,1.0,75,0,0,169,0,169,0,0.0
0.15,1.0,90,0,0,169,0,169,0,0.0
0.2,0.0,50,0,15,154,0,169,15,0.08875739644970414
0.2,0.0,75,0,17,152,0,169,17,0.10059171597633136
0.2,0.0,90,0,17,152,0,169,17,0.10059171597633136
0.2,0.25,50,8,15,146,0,169,23,0.13609467455621302
0.2,0.25,75,0,17,152,0,169,17,0.10059171597633136
0.2,0.25,90,0,17,152,0,169,17,0.10059171597633136
0.2,0.5,50,8,15,146,0,169,23,0.13609467455621302
0.2,0.5,75,0,17,152,0,169,17,0.10059171597633136
0.2,0.5,90,0,17,152,0,169,17,0.10059171597633136
0.2,0.75,50,8,15,146,0,169,23,0.13609467455621302
0.2,0.75,75,0,17,152,0,169,17,0.10059171597633136
0.2,0.75,90,0,17,152,0,169,17,0.10059171597633136
0.2,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.2,1.0,75,0,0,169,0,169,0,0.0
0.2,1.0,90,0,0,169,0,169,0,0.0
0.25,0.0,50,0,15,154,0,169,15,0.08875739644970414
0.25,0.0,75,0,17,152,0,169,17,0.10059171597633136
0.25,0.0,90,0,17,152,0,169,17,0.10059171597633136
0.25,0.25,50,8,15,146,0,169,23,0.13609467455621302
0.25,0.25,75,0,17,152,0,169,17,0.10059171597633136
0.25,0.25,90,0,17,152,0,169,17,0.10059171597633136
0.25,0.5,50,8,15,146,0,169,23,0.13609467455621302
0.25,0.5,75,0,17,152,0,169,17,0.10059171597633136
0.25,0.5,90,0,17,152,0,169,17,0.10059171597633136
0.25,0.75,50,8,15,146,0,169,23,0.13609467455621302
0.25,0.75,75,0,17,152,0,169,17,0.10059171597633136
0.25,0.75,90,0,17,152,0,169,17,0.10059171597633136
0.25,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.25,1.0,75,0,0,169,0,169,0,0.0
0.25,1.0,90,0,0,169,0,169,0,0.0
0.3,0.0,50,0,15,154,0,169,15,0.08875739644970414
0.3,0.0,75,0,17,152,0,169,17,0.10059171597633136
0.3,0.0,90,0,17,152,0,169,17,0.10059171597633136
0.3,0.25,50,8,15,146,0,169,23,0.13609467455621302
0.3,0.25,75,0,17,152,0,169,17,0.10059171597633136
0.3,0.25,90,0,17,152,0,169,17,0.10059171597633136
0.3,0.5,50,8,15,146,0,169,23,0.13609467455621302
0.3,0.5,75,0,17,152,0,169,17,0.10059171597633136
0.3,0.5,90,0,17,152,0,169,17,0.10059171597633136
0.3,0.75,50,8,15,146,0,169,23,0.13609467455621302
0.3,0.75,75,0,17,152,0,169,17,0.10059171597633136
0.3,0.75,90,0,17,152,0,169,17,0.10059171597633136
0.3,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.3,1.0,75,0,0,169,0,169,0,0.0
0.3,1.0,90,0,0,169,0,169,0,0.0
0.35,0.0,50,0,4,165,0,169,4,0.023668639053254437
0.35,0.0,75,0,5,164,0,169,5,0.029585798816568046
0.35,0.0,90,0,5,164,0,169,5,0.029585798816568046
0.35,0.25,50,8,4,157,0,169,12,0.07100591715976332
0.35,0.25,75,0,5,164,0,169,5,0.029585798816568046
0.35,0.25,90,0,5,164,0,169,5,0.029585798816568046
0.35,0.5,50,8,4,157,0,169,12,0.07100591715976332
0.35,0.5,75,0,5,164,0,169,5,0.029585798816568046
0.35,0.5,90,0,5,164,0,169,5,0.029585798816568046
0.35,0.75,50,8,4,157,0,169,12,0.07100591715976332
0.35,0.75,75,0,5,164,0,169,5,0.029585798816568046
0.35,0.75,90,0,5,164,0,169,5,0.029585798816568046
0.35,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.35,1.0,75,0,0,169,0,169,0,0.0
0.35,1.0,90,0,0,169,0,169,0,0.0
0.4,0.0,50,0,4,165,0,169,4,0.023668639053254437
0.4,0.0,75,0,5,164,0,169,5,0.029585798816568046
0.4,0.0,90,0,5,164,0,169,5,0.029585798816568046
0.4,0.25,50,8,4,157,0,169,12,0.07100591715976332
0.4,0.25,75,0,5,164,0,169,5,0.029585798816568046
0.4,0.25,90,0,5,164,0,169,5,0.029585798816568046
0.4,0.5,50,8,4,157,0,169,12,0.07100591715976332
0.4,0.5,75,0,5,164,0,169,5,0.029585798816568046
0.4,0.5,90,0,5,164,0,169,5,0.029585798816568046
0.4,0.75,50,8,4,157,0,169,12,0.07100591715976332
0.4,0.75,75,0,5,164,0,169,5,0.029585798816568046
0.4,0.75,90,0,5,164,0,169,5,0.029585798816568046
0.4,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.4,1.0,75,0,0,169,0,169,0,0.0
0.4,1.0,90,0,0,169,0,169,0,0.0
0.45,0.0,50,0,4,165,0,169,4,0.023668639053254437
0.45,0.0,75,0,5,164,0,169,5,0.029585798816568046
0.45,0.0,90,0,5,164,0,169,5,0.029585798816568046
0.45,0.25,50,8,4,157,0,169,12,0.07100591715976332
0.45,0.25,75,0,5,164,0,169,5,0.029585798816568046
0.45,0.25,90,0,5,164,0,169,5,0.029585798816568046
0.45,0.5,50,8,4,157,0,169,12,0.07100591715976332
0.45,0.5,75,0,5,164,0,169,5,0.029585798816568046
0.45,0.5,90,0,5,164,0,169,5,0.029585798816568046
0.45,0.75,50,8,4,157,0,169,12,0.07100591715976332
0.45,0.75,75,0,5,164,0,169,5,0.029585798816568046
0.45,0.75,90,0,5,164,0,169,5,0.029585798816568046
0.45,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.45,1.0,75,0,0,169,0,169,0,0.0
0.45,1.0,90,0,0,169,0,169,0,0.0
0.5,0.0,50,0,4,165,0,169,4,0.023668639053254437
0.5,0.0,75,0,5,164,0,169,5,0.029585798816568046
0.5,0.0,90,0,5,164,0,169,5,0.029585798816568046
0.5,0.25,50,8,4,157,0,169,12,0.07100591715976332
0.5,0.25,75,0,5,164,0,169,5,0.029585798816568046
0.5,0.25,90,0,5,164,0,169,5,0.029585798816568046
0.5,0.5,50,8,4,157,0,169,12,0.07100591715976332
0.5,0.5,75,0,5,164,0,169,5,0.029585798816568046
0.5,0.5,90,0,5,164,0,169,5,0.029585798816568046
0.5,0.75,50,8,4,157,0,169,12,0.07100591715976332
0.5,0.75,75,0,5,164,0,169,5,0.029585798816568046
0.5,0.75,90,0,5,164,0,169,5,0.029585798816568046
0.5,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.5,1.0,75,0,0,169,0,169,0,0.0
0.5,1.0,90,0,0,169,0,169,0,0.0
0.55,0.0,50,0,4,165,0,169,4,0.023668639053254437
0.55,0.0,75,0,5,164,0,169,5,0.029585798816568046
0.55,0.0,90,0,5,164,0,169,5,0.029585798816568046
0.55,0.25,50,8,4,157,0,169,12,0.07100591715976332
0.55,0.25,75,0,5,164,0,169,5,0.029585798816568046
0.55,0.25,90,0,5,164,0,169,5,0.029585798816568046
0.55,0.5,50,8,4,157,0,169,12,0.07100591715976332
0.55,0.5,75,0,5,164,0,169,5,0.029585798816568046
0.55,0.5,90,0,5,164,0,169,5,0.029585798816568046
0.55,0.75,50,8,4,157,0,169,12,0.07100591715976332
0.55,0.75,75,0,5,164,0,169,5,0.029585798816568046
0.55,0.75,90,0,5,164,0,169,5,0.029585798816568046
0.55,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.55,1.0,75,0,0,169,0,169,0,0.0
0.55,1.0,90,0,0,169,0,169,0,0.0
0.6,0.0,50,0,4,165,0,169,4,0.023668639053254437
0.6,0.0,75,0,5,164,0,169,5,0.029585798816568046
0.6,0.0,90,0,5,164,0,169,5,0.029585798816568046
0.6,0.25,50,8,4,157,0,169,12,0.07100591715976332
0.6,0.25,75,0,5,164,0,169,5,0.029585798816568046
0.6,0.25,90,0,5,164,0,169,5,0.029585798816568046
0.6,0.5,50,8,4,157,0,169,12,0.07100591715976332
0.6,0.5,75,0,5,164,0,169,5,0.029585798816568046
0.6,0.5,90,0,5,164,0,169,5,0.029585798816568046
0.6,0.75,50,8,4,157,0,169,12,0.07100591715976332
0.6,0.75,75,0,5,164,0,169,5,0.029585798816568046
0.6,0.75,90,0,5,164,0,169,5,0.029585798816568046
0.6,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.6,1.0,75,0,0,169,0,169,0,0.0
0.6,1.0,90,0,0,169,0,169,0,0.0
0.65,0.0,50,0,4,165,0,169,4,0.023668639053254437
0.65,0.0,75,0,5,164,0,169,5,0.029585798816568046
0.65,0.0,90,0,5,164,0,169,5,0.029585798816568046
0.65,0.25,50,8,4,157,0,169,12,0.07100591715976332
0.65,0.25,75,0,5,164,0,169,5,0.029585798816568046
0.65,0.25,90,0,5,164,0,169,5,0.029585798816568046
0.65,0.5,50,8,4,157,0,169,12,0.07100591715976332
0.65,0.5,75,0,5,164,0,169,5,0.029585798816568046
0.65,0.5,90,0,5,164,0,169,5,0.029585798816568046
0.65,0.75,50,8,4,157,0,169,12,0.07100591715976332
0.65,0.75,75,0,5,164,0,169,5,0.029585798816568046
0.65,0.75,90,0,5,164,0,169,5,0.029585798816568046
0.65,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.65,1.0,75,0,0,169,0,169,0,0.0
0.65,1.0,90,0,0,169,0,169,0,0.0
0.7,0.0,50,0,0,169,0,169,0,0.0
0.7,0.0,75,0,0,169,0,169,0,0.0
0.7,0.0,90,0,0,169,0,169,0,0.0
0.7,0.25,50,8,0,161,0,169,8,0.047337278106508875
0.7,0.25,75,0,0,169,0,169,0,0.0
0.7,0.25,90,0,0,169,0,169,0,0.0
0.7,0.5,50,8,0,161,0,169,8,0.047337278106508875
0.7,0.5,75,0,0,169,0,169,0,0.0
0.7,0.5,90,0,0,169,0,169,0,0.0
0.7,0.75,50,8,0,161,0,169,8,0.047337278106508875
0.7,0.75,75,0,0,169,0,169,0,0.0
0.7,0.75,90,0,0,169,0,169,0,0.0
0.7,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.7,1.0,75,0,0,169,0,169,0,0.0
0.7,1.0,90,0,0,169,0,169,0,0.0
0.75,0.0,50,0,0,169,0,169,0,0.0
0.75,0.0,75,0,0,169,0,169,0,0.0
0.75,0.0,90,0,0,169,0,169,0,0.0
0.75,0.25,50,8,0,161,0,169,8,0.047337278106508875
0.75,0.25,75,0,0,169,0,169,0,0.0
0.75,0.25,90,0,0,169,0,169,0,0.0
0.75,0.5,50,8,0,161,0,169,8,0.047337278106508875
0.75,0.5,75,0,0,169,0,169,0,0.0
0.75,0.5,90,0,0,169,0,169,0,0.0
0.75,0.75,50,8,0,161,0,169,8,0.047337278106508875
