source,subtype,n,ids
question_bank_algo.csv instance_type,CC,10,"CC_01,CC_02,CC_03,CC_04,CC_05,CC_06,CC_07,CC_08,CC_09,CC_10"
question_bank_algo.csv instance_type,SP,31,"SP_001,SP_002,SP_021,SP_023,SP_028,SP_030,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_038,SP_039,SP_042,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,SP_063,SP_066,SP_073"
question_bank_algo.csv instance_type,WIS,30,"WIS_001,WIS_002,WIS_003,WIS_004,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_021,WIS_022,WIS_023,WIS_024,WIS_025,WIS_026,WIS_027,WIS_028,WIS_029,WIS_030,WIS_031,WIS_032"
paper frozen / claude difficulty_params_instance_type,CC,10,"CC_01,CC_02,CC_03,CC_04,CC_05,CC_06,CC_07,CC_08,CC_09,CC_10"
paper frozen / claude difficulty_params_instance_type,SP,34,"SP_003,SP_004,SP_005,SP_019,SP_020,SP_021,SP_023,SP_024,SP_026,SP_027,SP_028,SP_029,SP_030,SP_037,SP_038,SP_039,SP_040,SP_042,SP_044,SP_045,SP_046,SP_047,SP_048,SP_062,SP_063,SP_064,SP_065,SP_066,SP_068,SP_069,SP_070,SP_071,SP_072,SP_073"
paper frozen / claude difficulty_params_instance_type,WIS,17,"WIS_003,WIS_004,WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_023,WIS_024,WIS_025,WIS_026,WIS_027,WIS_028,WIS_029"
ALGO_P1_behavioral_claude.csv difficulty_params_instance_type,CC,10,"CC_01,CC_02,CC_03,CC_04,CC_05,CC_06,CC_07,CC_08,CC_09,CC_10"
ALGO_P1_behavioral_claude.csv difficulty_params_instance_type,SP,34,"SP_003,SP_004,SP_005,SP_019,SP_020,SP_021,SP_023,SP_024,SP_026,SP_027,SP_028,SP_029,SP_030,SP_037,SP_038,SP_039,SP_040,SP_042,SP_044,SP_045,SP_046,SP_047,SP_048,SP_062,SP_063,SP_064,SP_065,SP_066,SP_068,SP_069,SP_070,SP_071,SP_072,SP_073"
ALGO_P1_behavioral_claude.csv difficulty_params_instance_type,WIS,17,"WIS_003,WIS_004,WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_023,WIS_024,WIS_025,WIS_026,WIS_027,WIS_028,WIS_029"
ALGO_P1_behavioral_gpt4o.csv difficulty_params_instance_type,CC,0,
ALGO_P1_behavioral_gpt4o.csv difficulty_params_instance_type,SP,31,"SP_019,SP_020,SP_021,SP_023,SP_024,SP_026,SP_027,SP_028,SP_029,SP_030,SP_037,SP_038,SP_039,SP_040,SP_042,SP_044,SP_045,SP_046,SP_047,SP_048,SP_062,SP_063,SP_064,SP_065,SP_066,SP_068,SP_069,SP_070,SP_071,SP_072,SP_073"
ALGO_P1_behavioral_gpt4o.csv difficulty_params_instance_type,WIS,15,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_023,WIS_024,WIS_025,WIS_026,WIS_027,WIS_028,WIS_029"
ALGO_P1_behavioral_llama.csv difficulty_params_instance_type,CC,0,
ALGO_P1_behavioral_llama.csv difficulty_params_instance_type,SP,31,"SP_019,SP_020,SP_021,SP_023,SP_024,SP_026,SP_027,SP_028,SP_029,SP_030,SP_037,SP_038,SP_039,SP_040,SP_042,SP_044,SP_045,SP_046,SP_047,SP_048,SP_062,SP_063,SP_064,SP_065,SP_066,SP_068,SP_069,SP_070,SP_071,SP_072,SP_073"
ALGO_P1_behavioral_llama.csv difficulty_params_instance_type,WIS,15,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_023,WIS_024,WIS_025,WIS_026,WIS_027,WIS_028,WIS_029"
ALGO_P1_behavioral_gemini.csv difficulty_params_instance_type,CC,10,"CC_01,CC_02,CC_03,CC_04,CC_05,CC_06,CC_07,CC_08,CC_09,CC_10"
ALGO_P1_behavioral_gemini.csv difficulty_params_instance_type,SP,34,"SP_003,SP_004,SP_005,SP_019,SP_020,SP_021,SP_023,SP_024,SP_026,SP_027,SP_028,SP_029,SP_030,SP_037,SP_038,SP_039,SP_040,SP_042,SP_044,SP_045,SP_046,SP_047,SP_048,SP_062,SP_063,SP_064,SP_065,SP_066,SP_068,SP_069,SP_070,SP_071,SP_072,SP_073"
ALGO_P1_behavioral_gemini.csv difficulty_params_instance_type,WIS,17,"WIS_003,WIS_004,WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_023,WIS_024,WIS_025,WIS_026,WIS_027,WIS_028,WIS_029"
ALGO_P1_behavioral_o1mini.csv difficulty_params_instance_type,CC,10,"CC_01,CC_02,CC_03,CC_04,CC_05,CC_06,CC_07,CC_08,CC_09,CC_10"
