analysis,family,variant,n_items,n_models,observed_crossovers,null_mean,null_sd,null_ci_low,null_ci_high,null_p_ge_obs,verdict,n_null_sims,seed,tau_hi,tau_lo,min_n_variants,leg_noise_quantile,note
rate_threshold_candidates,ALGO,rate_over_variants,110.0,5.0,6,50.95,30.87,5.98,125.02,0.975,at_or_below_chance,1000,42,0.6667,0.3333,4.0,0.95,"Null = Bin(n, P)/n with P=additive LPM(item+model) on observed rates; same TAU and exact Bernoulli pooled-p leg filter (diff > q0.95 under equal-p). Family-native IDs only (ALGO: CC/SP/WIS; BW: BW/MBW; GSM: GSM). at_or_below_chance => single latent dimension + sampling noise suffices (consistent with one-factor EFA / O10 model-dominant VC). GSM rate-reliable ABOVE chance is the exception — candidate behavioral double-dissociation evidence on GSM only."
rate_reliable_crossovers,ALGO,rate_over_variants,110.0,5.0,0,8.79,7.87,0.0,29.02,1.0,at_or_below_chance,1000,42,0.6667,0.3333,4.0,0.95,"Null = Bin(n, P)/n with P=additive LPM(item+model) on observed rates; same TAU and exact Bernoulli pooled-p leg filter (diff > q0.95 under equal-p). Family-native IDs only (ALGO: CC/SP/WIS; BW: BW/MBW; GSM: GSM). at_or_below_chance => single latent dimension + sampling noise suffices (consistent with one-factor EFA / O10 model-dominant VC). GSM rate-reliable ABOVE chance is the exception — candidate behavioral double-dissociation evidence on GSM only."
binary_cell_crossovers,ALGO,W1,109.0,5.0,1156,1875.8,329.93,1257.97,2555.07,0.99,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,ALGO,W2,101.0,5.0,1535,1542.87,267.72,1018.92,2052.35,0.5215,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,ALGO,W3,79.0,5.0,321,794.11,181.93,468.93,1178.05,0.998,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,ALGO,W4,90.0,5.0,444,926.05,201.42,570.0,1353.07,0.997,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,ALGO,W5,3.0,5.0,0,0.0,0.0,0.0,0.0,1.0,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,ALGO,W6,60.0,5.0,383,453.48,112.52,245.97,687.02,0.7313,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,ALGO,canonical,110.0,5.0,971,2016.71,340.6,1378.97,2713.22,0.999,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,ALGO,ALL_VARIANTS_SUM,,,4810,7609.01,595.19,6457.23,8863.3,1.0,at_or_below_chance,1000,42,,,,,Sum of per-variant crossover counts; null sums paired sims.
