Loaded 60 plan rows

--- anthropic/claude-3.7-sonnet | 15 problems ---
  BW_155 | plan_len=9 | running...     API error at step 49: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
CCI=0.0 | exec=49 steps | illegal=48 | goal=False
  BW_010 | plan_len=24 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_001 | plan_len=21 | running... CCI=0.0 | exec=50 steps | illegal=47 | goal=False
  BW_011 | plan_len=29 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_120 | plan_len=11 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_227 | plan_len=26 | running... CCI=0.0 | exec=50 steps | illegal=47 | goal=False
  BW_137 | plan_len=34 | running... CCI=0.0 | exec=50 steps | illegal=43 | goal=False
  BW_172 | plan_len=32 | running... CCI=0.0 | exec=50 steps | illegal=47 | goal=False
  BW_467 | plan_len=35 | running... CCI=0.0 | exec=50 steps | illegal=35 | goal=False
  BW_080 | plan_len=11 | running... CCI=0.0 | exec=50 steps | illegal=45 | goal=False
  BW_E100 | plan_len=30 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E015 | plan_len=22 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E017 | plan_len=15 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E019 | plan_len=31 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E002 | plan_len=24 | running... CCI=None | exec=None steps | illegal=None | goal=False

--- openai/gpt-4o | 15 problems ---
  BW_155 | plan_len=8 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_010 | plan_len=8 | running... CCI=0.0 | exec=50 steps | illegal=48 | goal=False
  BW_001 | plan_len=14 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_011 | plan_len=18 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_120 | plan_len=6 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_227 | plan_len=16 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_137 | plan_len=20 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_172 | plan_len=20 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_467 | plan_len=12 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_080 | plan_len=10 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_E100 | plan_len=17 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E015 | plan_len=25 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E017 | plan_len=35 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E019 | plan_len=21 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E002 | plan_len=20 | running... CCI=None | exec=None steps | illegal=None | goal=False

--- meta-llama/llama-3.1-8b-instruct | 15 problems ---
  BW_155 | plan_len=12 | running... CCI=0.0833 | exec=50 steps | illegal=49 | goal=False
  BW_010 | plan_len=6 | running... CCI=0.5 | exec=50 steps | illegal=48 | goal=False
  BW_001 | plan_len=14 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_011 | plan_len=20 | running... CCI=0.0 | exec=50 steps | illegal=49 | goal=False
  BW_120 | plan_len=9 | running... CCI=0.1111 | exec=50 steps | illegal=47 | goal=False
  BW_227 | plan_len=16 | running... CCI=0.125 | exec=50 steps | illegal=47 | goal=False
  BW_137 | plan_len=20 | running... CCI=0.0 | exec=50 steps | illegal=48 | goal=False
  BW_172 | plan_len=20 | running... CCI=0.1 | exec=50 steps | illegal=47 | goal=False
  BW_467 | plan_len=12 | running... CCI=0.0833 | exec=50 steps | illegal=49 | goal=False
  BW_080 | plan_len=10 | running... CCI=0.2 | exec=50 steps | illegal=48 | goal=False
  BW_E100 | plan_len=12 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E015 | plan_len=15 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E017 | plan_len=17 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E019 | plan_len=20 | running... CCI=None | exec=None steps | illegal=None | goal=False
  BW_E002 | plan_len=16 | running... CCI=None | exec=None steps | illegal=None | goal=False

Done. Results in results/probe2a_cci.csv
