problem_id,family,variant,model_answer,correct
GSM_001,GSM,canonical,"First, calculate the cost for the first 20 minutes:
20 minutes * $0.9/minute = $18

Then, calculate the cost for the remaining 66 minutes:
66 minutes * $0.5/minute = $33

Add the costs together:
$18 + $33 = $51

51",True
GSM_001,GSM,W3,"86 * 0.9 = 77.4 
77.4 + 86 * 0.5 = 77.4 + 43 = 120.4 
120.4",False
GSM_002,GSM,canonical,18 + (2/3 * 18) = 18 + 12 = 30,True
GSM_002,GSM,W3,27,False
GSM_003,GSM,canonical,"There are 30 purple cards. The number of yellow cards is 50% more than purple cards, so it is 30 + (0.5 * 30) = 45. The number of blue cards is the sum of purple and yellow cards, so it is 30 + 45 = 75. The total number of cards is 30 + 45 + 75 = 150.

150",True
GSM_003,GSM,W3,60,False
GSM_004,GSM,canonical,"To find the total amount the painter earns in a year, we need to calculate the total number of days he works in a year and then multiply it by his daily wage.

Since he works 2 weeks every month, and there are 12 months in a year, the total number of weeks he works in a year is 2 * 12 = 24 weeks.

Since he works 6 days every week, the total number of days he works in a year is 24 * 6 = 144 days.

Now, we can multiply the total number of days he works in a year by his daily wage to find the total",False
GSM_004,GSM,W3,365 * 2 * 6 * 150 = 219000,False
GSM_005,GSM,canonical,"To find the total time Liam spends learning, we need to calculate the time he spends in classes and the extra time he spends on Saturday and Sunday.

1. Time spent in classes:
   - Number of classes per day: 7 (6 regular classes + 1 extra class)
   - Duration of each class: 60 minutes
   - Total classes per week: 7 * 6 = 42 classes
   - Total minutes spent in classes per week: 42 * 60 = 2520 minutes

2. Extra time spent on Saturday and Sunday:
   - Total minutes in a week: 7 *",False
GSM_005,GSM,W3,60 * 7 + (60 * 7) * (1/7),False
GSM_006,GSM,canonical,"To find the final value of Kayla's shares, we need to calculate the value after the first year and then the value after the second year.

Initial value of 10 shares = 10 * 56 = 560

After the first year, the stock price increases by 30%:
New price = 56 + (56 * 0.30) = 56 + 16.8 = 72.8
Value of 10 shares after the first year = 10 * 72.8 = 728

After the second year, the stock price decreases by 25%:
New price = 72",False
GSM_006,GSM,W3,"## Step 1: Calculate the initial value of the paintings
Michael buys 10 paintings for €56 each, so the initial value is 10 * 56 = 560.

## Step 2: Calculate the value after the first year
The painting value increases by 30% in the first year. To calculate the new value, we need to find 30% of the initial value and add it to the initial value. 30% of 560 is 0.3 * 560 = 168. The new value is 560 + 168 = 728.

## Step 3: Calculate the value after",False
GSM_007,GSM,canonical,"To find the total cost, we need to calculate the number of paid hours and the cost of each hour.

Kai gets 2 hours free, so he used the car from 1 PM to 3 PM. This means he used 2 paid hours (from 1 PM to 3 PM) and 1 free hour (from 3 PM to 5 PM).

The first paid hour costs $10, and each hour after that costs twice the cost, which is $20.

So, the total cost is:
2 hours * $10 = $20
1 hour * $20 = $20
Total cost =",False
GSM_007,GSM,W3,3,False
GSM_008,GSM,canonical,# 256,False
GSM_008,GSM,W3,## 16 * (1 + 3)^3 = 16 * 64 = 1024,True
GSM_009,GSM,canonical,"To find the total number of eggs Nia needs for 108 days, we need to calculate the total number of eggs she eats in the first 84 days and the next 24 days, and then add them together.

In the first 84 days, Nia eats 5 eggs a day. So, the total number of eggs she eats in the first 84 days is:
5 eggs/day * 84 days = 420 eggs

In the next 24 days, Nia eats 7 eggs a day. So, the total number of eggs she eats in the next 24 days is:
7 eggs/day *",False
GSM_009,GSM,W3,108,False
GSM_010,GSM,canonical,"60 
120 
360 
180 
60 
24 
Total: 804",False
GSM_010,GSM,W3,"60 + 240 + 360 + (360/2) + (360/4) = 
60 + 240 + 360 + 180 + 90 = 
930",False
GSM_011,GSM,canonical,"To find the amount of water Pavel has left, we need to calculate the total amount of water used for each type of cube and subtract it from the total amount of water (328 grams).

8 giant cubes that use 12 grams each will use 8 * 12 = 96 grams.
15 small cubes that use 1/5 grams each will use 15 * 1/5 = 3 grams.
13 medium cubes that use 11 grams each will use 13 * 11 = 143 grams.

Total water used = 96 + 3 + 143 = 242 grams.

Water left = 328 -",False
