analysis,scope,metric,x,y,spearman_rho,ci_low,ci_high,p_value,p_value_method,n,n_clusters,bootstrap,n_boot,seed,models,note,verdict
model_mean_tep_vs_canonical_accuracy,ALGO,TEP,mean_tep,canonical_accuracy,-0.4,-1.0,0.875,0.4869,cluster_bootstrap_two_sided,5,5,bootstrap_over_models,5000,42,"Claude,GPT-4o,Gemini,Llama,o4-mini",model means; TEP from ALGO_P2_tep.csv; canonical_accuracy = P1 correct rate on same problem_ids,discriminant_ok_independent_of_capability
model_mean_tep_vs_canonical_accuracy,GSM,TEP,mean_tep,canonical_accuracy,-0.4,-1.0,1.0,0.5375,cluster_bootstrap_two_sided,4,4,bootstrap_over_models,5000,42,"Claude,GPT-4o,Gemini,Llama",model means; TEP from GSM_P2_tep.csv; canonical_accuracy = P1 correct rate on same problem_ids,discriminant_ok_independent_of_capability
model_mean_tep_vs_canonical_accuracy,ALGO_excl_o4mini,TEP,mean_tep,canonical_accuracy,-1.0,-1.0,-1.0,0.0002,cluster_bootstrap_two_sided,4,4,bootstrap_over_models,5000,42,"Claude,GPT-4o,Gemini,Llama",sensitivity: drop o4-mini (acc=1.0 ceiling). Remaining order Claude<Gemini<GPT-4o<Llama TEP is exact inverse of capability,discriminant_validity_failure_tracks_capability
model_mean_tep_vs_canonical_accuracy,ALGO_GSM_pooled,TEP,mean_tep,canonical_accuracy,-0.3167,-0.8948,0.5046,0.3956,cluster_bootstrap_two_sided,9,9,bootstrap_over_family_model_cells,5000,42,ALGO:Claude;ALGO:GPT-4o;ALGO:Gemini;ALGO:Llama;ALGO:o4-mini;GSM:Claude;GSM:GPT-4o;GSM:Gemini;GSM:Llama,PRIMARY pooled: bootstrap over family×model cells (K=2 family cluster undefined),discriminant_ok_independent_of_capability
model_mean_tep_vs_canonical_accuracy,ALGO_GSM_pooled_family_cluster,TEP,mean_tep,canonical_accuracy,,,,,cluster_bootstrap_two_sided,9,2,cluster_by_family,5000,42,ALGO:Claude;ALGO:GPT-4o;ALGO:Gemini;ALGO:Llama;ALGO:o4-mini;GSM:Claude;GSM:GPT-4o;GSM:Gemini;GSM:Llama,family-cluster bootstrap undefined with n_clusters=2<3 (narrow CI artifact). Use cell-bootstrap row. withdrawn: only 2 families,undefined
model_mean_cci_vs_canonical_accuracy,ALGO,CCI,mean_cci,canonical_accuracy,1.0,1.0,1.0,0.0002,cluster_bootstrap_two_sided,3,3,bootstrap_over_models,5000,42,"Claude,GPT-4o,Llama",model means; CCI from ALGO_P2_cci; Gemini ALGO CCI all-NaN excluded if absent,discriminant_validity_failure_tracks_capability
model_mean_cci_vs_canonical_accuracy,GSM,CCI,mean_cci,canonical_accuracy,0.8,-1.0,1.0,0.1017,cluster_bootstrap_two_sided,4,4,bootstrap_over_models,5000,42,"Claude,GPT-4o,Gemini,Llama",model means; CCI from GSM_P2; Gemini ALGO CCI all-NaN excluded if absent,tracks_capability_ns
model_mean_cci_vs_canonical_accuracy,ALGO_GSM_pooled,CCI,mean_cci,canonical_accuracy,0.5714,-0.2075,0.9565,0.1644,cluster_bootstrap_two_sided,7,7,bootstrap_over_family_model_cells,5000,42,ALGO:Claude;ALGO:GPT-4o;ALGO:Llama;GSM:Claude;GSM:GPT-4o;GSM:Gemini;GSM:Llama,PRIMARY pooled: bootstrap over family×model cells,tracks_capability_ns
model_mean_cci_vs_canonical_accuracy,ALGO_GSM_pooled_family_cluster,CCI,mean_cci,canonical_accuracy,,,,,cluster_bootstrap_two_sided,7,2,cluster_by_family,5000,42,ALGO:Claude;ALGO:GPT-4o;ALGO:Llama;GSM:Claude;GSM:GPT-4o;GSM:Gemini;GSM:Llama,family-cluster bootstrap undefined with n_clusters=2<3 (narrow CI artifact). Use cell-bootstrap row. withdrawn: only 2 families,undefined
item_within_model,GSM/Claude,TEP,tep,canonical_ok,-0.0922,-0.3759,0.2122,0.5486,cluster_bootstrap_two_sided,44,44,cluster_by_problem_id,5000,42,Claude,item-level within model,discriminant_ok_independent_of_capability
