problem_id,variant_type,exclusion_reason,detail
MBW_001,W5,invalid_gold,gold_does_not_simulate
MBW_002,W3,invalid_gold,gold_does_not_simulate
MBW_002,W6,invalid_gold,gold_does_not_simulate
MBW_010,W1,invalid_gold,gold_does_not_simulate
MBW_010,W2,invalid_gold,gold_does_not_simulate
MBW_010,W3,invalid_gold,gold_does_not_simulate
MBW_010,W4,invalid_gold,gold_does_not_simulate
MBW_010,W6,invalid_gold,gold_does_not_simulate
MBW_010,canonical,invalid_gold,gold_does_not_simulate
MBW_014,W3,invalid_gold,gold_does_not_simulate
MBW_014,W6,invalid_gold,gold_does_not_simulate
MBW_037,W3,invalid_gold,gold_does_not_simulate
MBW_037,W6,invalid_gold,gold_does_not_simulate
MBW_10,W1,invalid_gold,gold_does_not_simulate
MBW_10,W5,invalid_gold,gold_does_not_simulate
MBW_100,W5,invalid_gold,gold_does_not_simulate
MBW_127,W5,invalid_gold,gold_does_not_simulate
MBW_185,W5,invalid_gold,gold_does_not_simulate
MBW_495,W3,invalid_gold,gold_does_not_simulate
MBW_495,W6,invalid_gold,gold_does_not_simulate
MBW_496,W1,invalid_gold,gold_does_not_simulate
MBW_496,W2,invalid_gold,unparsed_state
MBW_496,W4,invalid_gold,gold_does_not_simulate
MBW_496,W5,invalid_gold,gold_does_not_simulate
MBW_497,W1,invalid_gold,unparsed_state
MBW_497,W2,invalid_gold,unparsed_state
MBW_497,W4,invalid_gold,gold_does_not_simulate
MBW_497,W5,invalid_gold,gold_does_not_simulate
MBW_498,W1,invalid_gold,gold_does_not_simulate
MBW_498,W2,invalid_gold,unparsed_state
MBW_498,W4,invalid_gold,gold_does_not_simulate
MBW_498,W5,invalid_gold,gold_does_not_simulate
MBW_499,W1,invalid_gold,unparsed_state
MBW_499,W2,invalid_gold,unparsed_state
MBW_499,W4,invalid_gold,gold_does_not_simulate
MBW_499,W5,invalid_gold,gold_does_not_simulate
MBW_500,W1,invalid_gold,unparsed_state
MBW_500,W2,invalid_gold,unparsed_state
MBW_500,W4,invalid_gold,gold_does_not_simulate
MBW_500,W5,invalid_gold,gold_does_not_simulate
