cell,model,subtype,variant,pool,k,n,n_clone_families,acc,iid_bootstrap_lo,iid_bootstrap_hi,iid_width,cluster_bootstrap_lo,cluster_bootstrap_hi,cluster_width,width_ratio_cluster_over_iid,wilson_lo,wilson_hi,wilson_width,note
Claude|ALL|canonical|bank110,Claude,ALL,canonical,bank_110,40,110,51,0.36363636363636365,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.19718309859154928,0.48031496062992124,0.28313186203837193,1.5572252412110457,0.2797508773735517,0.4567250681507558,0.1769741907772041,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W1|bank110,Claude,ALL,W1,bank_110,45,110,51,0.4090909090909091,0.3181818181818182,0.5,0.18181818181818182,0.24657037919396468,0.5389231277704332,0.2923527485764685,1.6079401171705765,0.3217882494780518,0.5025290475381534,0.18074079806010163,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W2|bank110,Claude,ALL,W2,bank_110,50,110,51,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.18181818181818177,0.2708333333333333,0.6140413533834586,0.34320802005012524,1.8876441102756893,0.364597551188735,0.5475610973193676,0.18296354613063265,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W3|bank110,Claude,ALL,W3,bank_110,10,110,51,0.09090909090909091,0.045454545454545456,0.15454545454545454,0.10909090909090909,0.0196078431372549,0.1969837261503926,0.17737588301313773,1.625945594287096,0.05012978804195375,0.15929804853096863,0.10916826048901487,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W4|bank110,Claude,ALL,W4,bank_110,68,110,51,0.6181818181818182,0.5272727272727272,0.7090909090909091,0.18181818181818188,0.4042499462712229,0.784,0.3797500537287771,2.0886252955082734,0.5248580322761885,0.703529481602745,0.17867144932655643,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W5|bank110,Claude,ALL,W5,bank_110,0,50,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.07135003417431873,0.07135003417431873,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|coin_change|canonical|bank110,Claude,coin_change,canonical,bank_110_subtype,11,25,14,0.44,0.24,0.64,0.4,0.1111111111111111,0.6666666666666666,0.5555555555555556,1.3888888888888888,0.2666537494700256,0.6293298298043557,0.3626760803343301,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|coin_change|W1|bank110,Claude,coin_change,W1,bank_110_subtype,14,25,14,0.56,0.36,0.76,0.4,0.2222222222222222,0.7741935483870968,0.5519713261648745,1.3799283154121862,0.3706701701956443,0.7333462505299744,0.3626760803343301,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|coin_change|W2|bank110,Claude,coin_change,W2,bank_110_subtype,8,25,14,0.32,0.16,0.52,0.36,0.0,0.6052631578947368,0.6052631578947368,1.6812865497076024,0.1720498751689114,0.515900862654233,0.34385098748532156,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|coin_change|W3|bank110,Claude,coin_change,W3,bank_110_subtype,9,25,14,0.36,0.1990000000000089,0.56,0.36099999999999116,0.1,0.54,0.44000000000000006,1.218836565096983,0.20247656431735636,0.5548184539895337,0.3523418896721773,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|coin_change|W4|bank110,Claude,coin_change,W4,bank_110_subtype,18,25,14,0.72,0.52,0.88,0.36,0.4,0.8918918918918919,0.49189189189189186,1.3663663663663663,0.524230281034417,0.8571632616261842,0.3329329805917671,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|canonical|table7_chall,Claude,CC,canonical,table7_chall,7,10,4,0.7,0.4,1.0,0.6,0.0,0.9545454545454546,0.9545454545454546,1.590909090909091,0.39677321997956516,0.892210712513788,0.49543749253422287,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|canonical|table7_std,Claude,CC,canonical,table7_std,4,15,12,0.26666666666666666,0.06666666666666667,0.46833333333330907,0.4016666666666424,0.07142857142857142,0.4666666666666667,0.3952380952380953,0.9839952578542386,0.10897276103182807,0.5195088965768675,0.4105361355450394,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W1|table7_chall,Claude,CC,W1,table7_chall,7,10,4,0.7,0.4,1.0,0.6,0.0,0.875,0.875,1.4583333333333335,0.39677321997956516,0.892210712513788,0.49543749253422287,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W1|table7_std,Claude,CC,W1,table7_std,7,15,12,0.4666666666666667,0.2,0.7333333333333333,0.5333333333333332,0.2,0.7333333333333333,0.5333333333333332,1.0,0.24809225259746442,0.6988336984894921,0.45074144589202764,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W2|table7_chall,Claude,CC,W2,table7_chall,7,10,4,0.7,0.4,1.0,0.6,0.0,0.9545454545454546,0.9545454545454546,1.590909090909091,0.39677321997956516,0.892210712513788,0.49543749253422287,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W2|table7_std,Claude,CC,W2,table7_std,1,15,12,0.06666666666666667,0.0,0.2,0.2,0.0,0.23076923076923078,0.23076923076923078,1.1538461538461537,0.011866588606194828,0.29817077552423993,0.2863041869180451,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W3|table7_chall,Claude,CC,W3,table7_chall,6,10,4,0.6,0.3,0.9,0.6000000000000001,0.0,0.75,0.75,1.2499999999999998,0.3126695474501863,0.8318224187964902,0.5191528713463038,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W3|table7_std,Claude,CC,W3,table7_std,3,15,12,0.2,0.0,0.4,0.4,0.0,0.4166666666666667,0.4166666666666667,1.0416666666666667,0.07047420643610411,0.4518593533465045,0.3813851469104004,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W4|table7_chall,Claude,CC,W4,table7_chall,8,10,4,0.8,0.5,1.0,0.5,0.0,1.0,1.0,2.0,0.49015684672072335,0.9433190520193067,0.4531622052985833,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W4|table7_std,Claude,CC,W4,table7_std,10,15,12,0.6666666666666666,0.4,0.8666666666666667,0.4666666666666667,0.4375,0.8666666666666667,0.4291666666666667,0.9196428571428572,0.4171312515121297,0.8482389930530876,0.4311077415409579,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|shortest_path|canonical|bank110,Claude,shortest_path,canonical,bank_110_subtype,22,55,20,0.4,0.2727272727272727,0.5272727272727272,0.2545454545454545,0.04,0.5421686746987951,0.5021686746987951,1.9728055077452666,0.28118303786433585,0.5318743908935498,0.25069135302921397,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
