family,problem_id,model,contam,cci_composite_num,impl_post_correct,retrieval_votes,computation_votes,votes_total,tri_plus_score,tri_plus_confidence,tri_plus_label
ALGO,CC_01,Claude,0.0,0.0,False,2,2,4,0,0.0,mixed
ALGO,CC_01,Gemini,0.0,0.0,False,2,2,4,0,0.0,mixed
ALGO,CC_01,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_01,mock,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_01,GPT-4o,0.0,0.6666666666666666,True,1,3,4,2,0.5,computation_signal_plus
ALGO,CC_01,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,CC_02,Claude,0.0,0.3333333333333333,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_02,Gemini,0.0,0.3333333333333333,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_02,Llama,0.0,0.3333333333333333,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_02,GPT-4o,0.0,0.3333333333333333,True,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_02,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,CC_03,Claude,0.0,0.3333333333333333,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_03,Gemini,0.0,0.0,False,2,2,4,0,0.0,mixed
ALGO,CC_03,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_03,GPT-4o,0.0,0.3333333333333333,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_03,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,CC_031,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_031,Gemini,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_031,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_031,GPT-4o,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_031,o4-mini,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_032,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_032,Gemini,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_032,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_032,GPT-4o,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_032,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,CC_033,Claude,0.6875,,,1,0,1,-1,1.0,insufficient
ALGO,CC_033,Gemini,0.6875,,,1,0,1,-1,1.0,insufficient
ALGO,CC_033,Llama,0.6875,,,1,0,1,-1,1.0,insufficient
ALGO,CC_033,GPT-4o,0.6875,,,1,0,1,-1,1.0,insufficient
ALGO,CC_033,o4-mini,0.6875,,,1,1,2,0,0.0,mixed
ALGO,CC_034,Claude,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_034,Gemini,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_034,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_034,GPT-4o,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_034,o4-mini,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_035,Claude,0.6364,,,1,1,2,0,0.0,mixed
ALGO,CC_035,Gemini,0.6364,,,1,0,1,-1,1.0,insufficient
ALGO,CC_035,Llama,0.6364,,,1,0,1,-1,1.0,insufficient
ALGO,CC_035,GPT-4o,0.6364,,,1,1,2,0,0.0,mixed
ALGO,CC_035,o4-mini,0.6364,,,1,1,2,0,0.0,mixed
ALGO,CC_036,Claude,0.6667,,,2,0,2,-2,1.0,retrieval_signal_plus
ALGO,CC_036,Gemini,0.6667,,,1,0,1,-1,1.0,insufficient
ALGO,CC_036,Llama,0.6667,,,1,0,1,-1,1.0,insufficient
ALGO,CC_036,GPT-4o,0.6667,,,1,0,1,-1,1.0,insufficient
ALGO,CC_036,o4-mini,0.6667,,,2,0,2,-2,1.0,retrieval_signal_plus
ALGO,CC_037,Claude,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,CC_037,Gemini,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,CC_037,Llama,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,CC_037,GPT-4o,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,CC_037,o4-mini,0.5714,,,1,0,1,-1,1.0,insufficient
ALGO,CC_038,Claude,0.5556,,,0,0,0,0,0.0,insufficient
ALGO,CC_038,Gemini,0.5556,,,1,0,1,-1,1.0,insufficient
ALGO,CC_038,Llama,0.5556,,,0,0,0,0,0.0,insufficient
ALGO,CC_038,GPT-4o,0.5556,,,1,0,1,-1,1.0,insufficient
ALGO,CC_038,o4-mini,0.5556,,,1,0,1,-1,1.0,insufficient
ALGO,CC_039,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_039,Gemini,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_039,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_039,GPT-4o,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_039,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,CC_04,Claude,0.0,0.0,False,3,1,4,-2,0.5,retrieval_signal_plus
ALGO,CC_04,Gemini,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,CC_04,Llama,0.0,0.6666666666666666,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_04,GPT-4o,0.0,0.6666666666666666,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_04,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,CC_040,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_040,Gemini,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_040,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_040,GPT-4o,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_040,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,CC_041,Claude,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_041,Gemini,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_041,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_041,GPT-4o,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_041,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,CC_042,Claude,0.5385,,,0,0,0,0,0.0,insufficient
ALGO,CC_042,Gemini,0.5385,,,0,0,0,0,0.0,insufficient
ALGO,CC_042,Llama,0.5385,,,0,0,0,0,0.0,insufficient
ALGO,CC_042,GPT-4o,0.5385,,,0,0,0,0,0.0,insufficient
ALGO,CC_042,o4-mini,0.5385,,,0,1,1,1,1.0,insufficient
ALGO,CC_043,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_043,Gemini,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_043,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_043,GPT-4o,0.0,,,0,1,1,1,1.0,insufficient
ALGO,CC_043,o4-mini,0.0,,,1,1,2,0,0.0,mixed
ALGO,CC_044,Claude,0.5,,,0,0,0,0,0.0,insufficient
ALGO,CC_044,Gemini,0.5,,,0,0,0,0,0.0,insufficient
ALGO,CC_044,Llama,0.5,,,0,0,0,0,0.0,insufficient
ALGO,CC_044,GPT-4o,0.5,,,0,0,0,0,0.0,insufficient
ALGO,CC_044,o4-mini,0.5,,,0,1,1,1,1.0,insufficient
