family,problem_id,clone_family_id,clone_family_size,clone_members,gold_key,identical_gold_key_within_family,near_dup_jaccard_floor,near_dup_ratio_floor
ALGO,CC_01,ALGO_CLONE_001,8,"CC_01,CC_02,CC_03,CC_04,CC_040,CC_05,CC_07,CC_08",2,True,0.85,0.9
ALGO,CC_02,ALGO_CLONE_001,8,"CC_01,CC_02,CC_03,CC_04,CC_040,CC_05,CC_07,CC_08",2,True,0.85,0.9
ALGO,CC_03,ALGO_CLONE_001,8,"CC_01,CC_02,CC_03,CC_04,CC_040,CC_05,CC_07,CC_08",2,True,0.85,0.9
ALGO,CC_04,ALGO_CLONE_001,8,"CC_01,CC_02,CC_03,CC_04,CC_040,CC_05,CC_07,CC_08",2,True,0.85,0.9
ALGO,CC_05,ALGO_CLONE_001,8,"CC_01,CC_02,CC_03,CC_04,CC_040,CC_05,CC_07,CC_08",2,True,0.85,0.9
ALGO,CC_06,,1,,3,False,0.85,0.9
ALGO,CC_07,ALGO_CLONE_001,8,"CC_01,CC_02,CC_03,CC_04,CC_040,CC_05,CC_07,CC_08",2,True,0.85,0.9
ALGO,CC_08,ALGO_CLONE_001,8,"CC_01,CC_02,CC_03,CC_04,CC_040,CC_05,CC_07,CC_08",2,True,0.85,0.9
ALGO,CC_09,ALGO_CLONE_004,3,"CC_031,CC_041,CC_09",5,True,0.85,0.9
ALGO,CC_10,,1,,7,False,0.85,0.9
ALGO,SP_001,,1,,17,False,0.85,0.9
ALGO,SP_002,,1,,40,False,0.85,0.9
ALGO,SP_003,,1,,22,False,0.85,0.9
ALGO,SP_004,,1,,8,False,0.85,0.9
ALGO,SP_005,,1,,32,False,0.85,0.9
ALGO,WIS_001,,1,,"selected:{0,2,4,6,9}",False,0.85,0.9
ALGO,WIS_002,,1,,"selected:{1,10,11,3,7}",False,0.85,0.9
ALGO,WIS_003,,1,,"selected:{1,10,11,13,2,3,4}",False,0.85,0.9
ALGO,WIS_004,,1,,"selected:{0,1,11,12,3,6,9}",False,0.85,0.9
ALGO,WIS_005,,1,,"selected:{11,14,2,5,7,8}",False,0.85,0.9
ALGO,CC_031,ALGO_CLONE_004,3,"CC_031,CC_041,CC_09",5,True,0.85,0.9
ALGO,CC_032,,1,,4,False,0.85,0.9
ALGO,CC_033,,1,,13,False,0.85,0.9
ALGO,CC_034,,1,,3,False,0.85,0.9
ALGO,CC_035,ALGO_CLONE_002,2,"CC_035,CC_045",8,True,0.85,0.9
ALGO,CC_036,,1,,12,False,0.85,0.9
ALGO,CC_037,,1,,11,False,0.85,0.9
ALGO,CC_038,ALGO_CLONE_003,2,"CC_038,CC_043",6,True,0.85,0.9
ALGO,CC_039,,1,,4,False,0.85,0.9
ALGO,CC_040,ALGO_CLONE_001,8,"CC_01,CC_02,CC_03,CC_04,CC_040,CC_05,CC_07,CC_08",2,True,0.85,0.9
ALGO,CC_041,ALGO_CLONE_004,3,"CC_031,CC_041,CC_09",5,True,0.85,0.9
ALGO,CC_042,,1,,10,False,0.85,0.9
ALGO,CC_043,ALGO_CLONE_003,2,"CC_038,CC_043",6,True,0.85,0.9
ALGO,CC_044,,1,,9,False,0.85,0.9
ALGO,CC_045,ALGO_CLONE_002,2,"CC_035,CC_045",8,True,0.85,0.9
ALGO,SP_019,ALGO_CLONE_005,13,"SP_019,SP_020,SP_021,SP_036,SP_037,SP_038,SP_039,SP_040,SP_054,SP_062,SP_063,SP_064,SP_065",12,True,0.85,0.9
ALGO,SP_020,ALGO_CLONE_005,13,"SP_019,SP_020,SP_021,SP_036,SP_037,SP_038,SP_039,SP_040,SP_054,SP_062,SP_063,SP_064,SP_065",12,True,0.85,0.9
ALGO,SP_021,ALGO_CLONE_005,13,"SP_019,SP_020,SP_021,SP_036,SP_037,SP_038,SP_039,SP_040,SP_054,SP_062,SP_063,SP_064,SP_065",12,True,0.85,0.9
ALGO,SP_023,ALGO_CLONE_006,8,"SP_023,SP_024,SP_026,SP_042,SP_044,SP_066,SP_068,SP_069",5,True,0.85,0.9
ALGO,SP_024,ALGO_CLONE_006,8,"SP_023,SP_024,SP_026,SP_042,SP_044,SP_066,SP_068,SP_069",5,True,0.85,0.9
ALGO,SP_026,ALGO_CLONE_006,8,"SP_023,SP_024,SP_026,SP_042,SP_044,SP_066,SP_068,SP_069",5,True,0.85,0.9
ALGO,SP_027,ALGO_CLONE_007,12,"SP_027,SP_028,SP_029,SP_030,SP_045,SP_046,SP_047,SP_048,SP_070,SP_071,SP_072,SP_073",3,True,0.85,0.9
ALGO,SP_028,ALGO_CLONE_007,12,"SP_027,SP_028,SP_029,SP_030,SP_045,SP_046,SP_047,SP_048,SP_070,SP_071,SP_072,SP_073",3,True,0.85,0.9
ALGO,SP_029,ALGO_CLONE_007,12,"SP_027,SP_028,SP_029,SP_030,SP_045,SP_046,SP_047,SP_048,SP_070,SP_071,SP_072,SP_073",3,True,0.85,0.9
ALGO,SP_030,ALGO_CLONE_007,12,"SP_027,SP_028,SP_029,SP_030,SP_045,SP_046,SP_047,SP_048,SP_070,SP_071,SP_072,SP_073",3,True,0.85,0.9
ALGO,WIS_006,,1,,"selected:{0,1,3,4,5,6}",False,0.85,0.9
ALGO,WIS_007,,1,,"selected:{0,2,3,4,5}",False,0.85,0.9
ALGO,WIS_009,,1,,"selected:{0,1,2,3,4,5,6,8}",False,0.85,0.9
ALGO,WIS_010,,1,,"selected:{0,2,4,5,6,7}",False,0.85,0.9
ALGO,WIS_012,,1,,"selected:{0,2,3,4,5,6,7,8}",False,0.85,0.9
ALGO,WIS_013,ALGO_CLONE_013,12,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_024,WIS_026,WIS_027,WIS_029","selected:{4,5}",True,0.85,0.9
ALGO,WIS_014,ALGO_CLONE_013,12,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_024,WIS_026,WIS_027,WIS_029","selected:{4,5}",True,0.85,0.9
ALGO,WIS_015,ALGO_CLONE_013,12,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_024,WIS_026,WIS_027,WIS_029","selected:{4,5}",True,0.85,0.9
ALGO,WIS_016,ALGO_CLONE_013,12,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_024,WIS_026,WIS_027,WIS_029","selected:{4,5}",True,0.85,0.9
ALGO,WIS_017,ALGO_CLONE_013,12,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_024,WIS_026,WIS_027,WIS_029","selected:{4,5}",True,0.85,0.9
ALGO,WIS_018,ALGO_CLONE_013,12,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_024,WIS_026,WIS_027,WIS_029","selected:{4,5}",True,0.85,0.9
ALGO,WIS_019,ALGO_CLONE_013,12,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_024,WIS_026,WIS_027,WIS_029","selected:{4,5}",True,0.85,0.9
ALGO,WIS_020,ALGO_CLONE_013,12,"WIS_013,WIS_014,WIS_015,WIS_016,WIS_017,WIS_018,WIS_019,WIS_020,WIS_024,WIS_026,WIS_027,WIS_029","selected:{4,5}",True,0.85,0.9
ALGO,SP_031,,1,,22,False,0.85,0.9
ALGO,SP_032,ALGO_CLONE_008,2,"SP_032,SP_058",20,True,0.85,0.9
ALGO,SP_033,,1,,23,False,0.85,0.9
ALGO,SP_034,ALGO_CLONE_009,2,"SP_034,SP_056",21,True,0.85,0.9
ALGO,SP_035,,1,,19,False,0.85,0.9
ALGO,SP_036,ALGO_CLONE_005,13,"SP_019,SP_020,SP_021,SP_036,SP_037,SP_038,SP_039,SP_040,SP_054,SP_062,SP_063,SP_064,SP_065",12,True,0.85,0.9
ALGO,SP_037,ALGO_CLONE_005,13,"SP_019,SP_020,SP_021,SP_036,SP_037,SP_038,SP_039,SP_040,SP_054,SP_062,SP_063,SP_064,SP_065",12,True,0.85,0.9
ALGO,SP_038,ALGO_CLONE_005,13,"SP_019,SP_020,SP_021,SP_036,SP_037,SP_038,SP_039,SP_040,SP_054,SP_062,SP_063,SP_064,SP_065",12,True,0.85,0.9
ALGO,SP_039,ALGO_CLONE_005,13,"SP_019,SP_020,SP_021,SP_036,SP_037,SP_038,SP_039,SP_040,SP_054,SP_062,SP_063,SP_064,SP_065",12,True,0.85,0.9
ALGO,SP_040,ALGO_CLONE_005,13,"SP_019,SP_020,SP_021,SP_036,SP_037,SP_038,SP_039,SP_040,SP_054,SP_062,SP_063,SP_064,SP_065",12,True,0.85,0.9
