problem_id,variant_type,model,model_answer,ground_truth,verified,parse_status,correct_alternative,human_review_flag,correct_canonical,greedy_answer,gave_greedy_answer,difficulty_params_instance_type
CC_01,canonical,openai/gpt-4o,"Count: 2  
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_clean,False,False,True,"Count: 2
 Coins: [3, 3]",,standard
CC_01,W1,openai/gpt-4o,"Count: 2 Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [3, 3]",,standard
CC_01,W2,openai/gpt-4o,"Count: 2  
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [3, 3]",,standard
CC_01,W3,openai/gpt-4o,"Total: 2 Scoops: [3 g, 3 g]","Total: 2
 Scoops: [3, 3]",False,parse_failed,False,True,False,"Count: 2
 Coins: [3, 3]",,standard
CC_01,W4,openai/gpt-4o,"Count: 2  
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [3, 3]",,standard
CC_02,canonical,openai/gpt-4o,"Count: 2  
Coins: [6, 5]","Count: 2
 Coins: [5, 6]",True,parsed_clean,False,False,True,"Count: 2
 Coins: [5, 6]",,standard
CC_02,W1,openai/gpt-4o,"Count: 2 Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [5, 6]",,standard
CC_02,W2,openai/gpt-4o,"Count: 2  
Coins: [6, 5]","Count: 2
 Coins: [5, 6]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [5, 6]",,standard
CC_02,W3,openai/gpt-4o,"Total: 2 Scoops: [6 g, 5 g]","Total: 2
 Scoops: [5, 6]",False,parse_failed,False,True,False,"Count: 2
 Coins: [5, 6]",,standard
CC_02,W4,openai/gpt-4o,"Count: 2
Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [5, 6]",,standard
CC_03,canonical,openai/gpt-4o,"Count: 2
Coins: [6, 7]","Count: 2
 Coins: [6, 7]",True,parsed_clean,False,False,True,"Count: 2
 Coins: [6, 7]",,standard
CC_03,W1,openai/gpt-4o,"Count: 2 Coins: [6, 7]","Count: 2
 Coins: [6, 7]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [6, 7]",,standard
CC_03,W2,openai/gpt-4o,"Count: 2  
Coins: [6, 7]","Count: 2
 Coins: [6, 7]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [6, 7]",,standard
CC_03,W3,openai/gpt-4o,"Total: 2 Scoops: [6, 7]","Total: 2
 Scoops: [6, 7]",False,parse_failed,False,True,False,"Count: 2
 Coins: [6, 7]",,standard
CC_03,W4,openai/gpt-4o,"```
Count: 2
Coins: [6, 7]
```","Count: 2
 Coins: [6, 7]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [6, 7]",,standard
CC_04,canonical,openai/gpt-4o,"Count: 3
Coins: [10, 10, 7]","Count: 2
Coins: [17, 10]",False,parsed_clean,False,False,False,"Count: 2
Coins: [17, 10]",,standard
CC_04,W1,openai/gpt-4o,"Count: 3 Coins: [17, 7, 3]","Count: 2
Coins: [17, 10]",False,parsed_clean,False,False,False,"Count: 2
Coins: [17, 10]",,standard
CC_04,W2,openai/gpt-4o,"Count: 3  
Coins: [10, 10, 7]","Count: 2
Coins: [17, 10]",False,parsed_clean,False,False,False,"Count: 2
Coins: [17, 10]",,standard
CC_04,W3,openai/gpt-4o,"Total: 2 Scoops: [17, 10]","Total: 2
Scoops: [17, 10]",False,parse_failed,False,True,False,"Count: 2
Coins: [17, 10]",,standard
CC_04,W4,openai/gpt-4o,"```
Count: 3
Coins: [10, 10, 7]
```","Count: 2
Coins: [17, 10]",False,parsed_clean,False,False,False,"Count: 2
Coins: [17, 10]",,standard
CC_05,canonical,openai/gpt-4o,"Count: 2  
Coins: [7, 7]","Count: 2
 Coins: [7, 7]",True,parsed_clean,False,False,True,"Count: 2
 Coins: [7, 7]",,standard
CC_05,W1,openai/gpt-4o,"Count: 3 Coins: [7, 7]","Count: 2
 Coins: [7, 7]",False,parsed_clean,False,False,False,"Count: 2
 Coins: [7, 7]",,standard
CC_05,W2,openai/gpt-4o,"Count: 2
Coins: [7, 7]","Count: 2
 Coins: [7, 7]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [7, 7]",,standard
CC_05,W3,openai/gpt-4o,"Total: 2 Scoops: [7 g, 7 g]","Total: 2
 Scoops: [7, 7]",False,parse_failed,False,True,False,"Count: 2
 Coins: [7, 7]",,standard
CC_05,W4,openai/gpt-4o,"```
Count: 2
Coins: [7, 7]
```","Count: 2
 Coins: [7, 7]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [7, 7]",,standard
CC_06,canonical,openai/gpt-4o,"Count: 3
Coins: [12, 7, 7]","Count: 3
 Coins: [12, 7, 7]",True,parsed_clean,False,False,True,"Count: 3
 Coins: [12, 7, 7]",,standard
CC_06,W1,openai/gpt-4o,"Count: 3 Coins: [8, 8, 10]","Count: 3
 Coins: [12, 7, 7]",False,parsed_clean,False,False,False,"Count: 3
 Coins: [12, 7, 7]",,standard
