panel,vote_tuple,pattern_kind,n
full_440,"(-1,0,1)",conflict_partial,223
full_440,"(-1,-1,1)",conflict_full,47
full_440,"(1,0,-1)",conflict_partial,15
full_440,"(1,-1,1)",conflict_full,10
full_440,"(-1,1,1)",conflict_full,3
full_440,"(1,-1,-1)",conflict_full,1
complete_case_169,"(1,0,-1)",conflict_partial,17
complete_case_169,"(1,-1,-1)",conflict_full,7
complete_case_169,"(-1,1,-1)",conflict_full,3
complete_case_169_p75_frozen,"(-1,0,1)",conflict_partial,92
complete_case_169_p75_frozen,"(-1,-1,1)",conflict_full,33
complete_case_169_p75_frozen,"(1,-1,1)",conflict_full,7
complete_case_169_p75_frozen,"(-1,1,1)",conflict_full,3
complete_case_169_p75_frozen,"(1,0,-1)",conflict_partial,2
