model,family,n_W3_errors,intrusion_count,intrusion_rate,wilson_ci95_lo,wilson_ci95_hi
Claude,ALGO,100,2,0.02,0.005501852234968185,0.07001316294199365
GPT-4o,ALGO,91,2,0.02197802197802198,0.006047879307120856,0.07663313830540361
Gemini,ALGO,82,4,0.04878048780487805,0.0191307559738843,0.11881634659643125
Llama,ALGO,108,0,0.0,0.0,0.03434857870416731
o4-mini,ALGO,43,5,0.11627906976744186,0.050703529948620846,0.24479448890641395
Claude,BW,56,0,0.0,0.0,0.06419614448811528
GPT-4o,BW,54,0,0.0,0.0,0.06641586678100189
Gemini,BW,58,0,0.0,0.0,0.062119996895293766
Llama,BW,58,0,0.0,0.0,0.062119996895293766
o4-mini,BW,53,0,0.0,0.0,0.0675843044530766
Claude,GSM,11,0,0.0,0.0,0.2588400172488141
GPT-4o,GSM,14,0,0.0,0.0,0.21531701192718142
Gemini,GSM,21,0,0.0,0.0,0.15464382326420195
Llama,GSM,17,0,0.0,0.0,0.18432366037156456
o4-mini,GSM,7,0,0.0,0.0,0.35433884297520657
