problem_id,model,difficulty,contamination_pole,p1_plan_length,p1_valid_steps,p1_validity_rate,p1_first_break,p2_total_steps,p2_valid_steps,p2_validity_rate,cci,goal_reached
BW_155,anthropic/claude-3.7-sonnet,easy,high,9,1,0.1111,1,50,0,0.0,0.0,False
BW_155,openai/gpt-4o,easy,high,8,2,0.25,2,50,0,0.0,0.0,False
BW_155,meta-llama/llama-3.1-8b-instruct,easy,high,12,2,0.1667,2,50,0,0.0,0.0,False
BW_010,openai/gpt-4o,easy,high,8,2,0.25,2,50,0,0.0,0.0,False
BW_001,openai/gpt-4o,medium,high,14,2,0.1429,2,50,0,0.0,0.0,False
BW_011,openai/gpt-4o,hard,high,18,2,0.1111,2,50,0,0.0,0.0,False
BW_120,openai/gpt-4o,easy,high,6,2,0.3333,2,50,0,0.0,0.0,False
BW_227,openai/gpt-4o,hard,high,16,2,0.125,2,50,0,0.0,0.0,False
BW_137,openai/gpt-4o,hard,high,20,2,0.1,2,50,0,0.0,0.0,False
BW_172,openai/gpt-4o,hard,high,20,2,0.1,2,50,0,0.0,0.0,False
BW_467,openai/gpt-4o,medium,high,12,2,0.1667,2,50,0,0.0,0.0,False
BW_080,openai/gpt-4o,medium,high,10,2,0.2,2,50,0,0.0,0.0,False
BW_010,meta-llama/llama-3.1-8b-instruct,easy,high,6,2,0.3333,2,50,0,0.0,0.0,False
BW_001,meta-llama/llama-3.1-8b-instruct,medium,high,14,2,0.1429,2,50,0,0.0,0.0,False
BW_011,meta-llama/llama-3.1-8b-instruct,hard,high,20,0,0.0,0,50,0,0.0,0.0,False
BW_120,meta-llama/llama-3.1-8b-instruct,easy,high,9,1,0.1111,1,50,1,0.02,0.1111,False
BW_227,meta-llama/llama-3.1-8b-instruct,hard,high,16,2,0.125,2,50,0,0.0,0.0,False
BW_137,meta-llama/llama-3.1-8b-instruct,hard,high,20,1,0.05,1,50,0,0.0,0.0,False
BW_172,meta-llama/llama-3.1-8b-instruct,hard,high,20,2,0.1,2,50,0,0.0,0.0,False
BW_467,meta-llama/llama-3.1-8b-instruct,medium,high,12,2,0.1667,2,50,0,0.0,0.0,False
BW_080,meta-llama/llama-3.1-8b-instruct,medium,high,10,2,0.2,2,50,0,0.0,0.0,False
BW_010,anthropic/claude-3.7-sonnet,easy,high,24,1,0.0417,1,50,0,0.0,0.0,False
BW_001,anthropic/claude-3.7-sonnet,medium,high,21,1,0.0476,1,11,0,0.0,0.0,False
BW_011,anthropic/claude-3.7-sonnet,hard,high,29,1,0.0345,1,50,0,0.0,0.0,False
BW_120,anthropic/claude-3.7-sonnet,easy,high,11,1,0.0909,1,50,0,0.0,0.0,False
BW_227,anthropic/claude-3.7-sonnet,hard,high,26,10,0.3846,10,50,0,0.0,0.0,False
BW_137,anthropic/claude-3.7-sonnet,hard,high,34,1,0.0294,1,50,0,0.0,0.0,False
BW_172,anthropic/claude-3.7-sonnet,hard,high,32,1,0.0312,1,50,0,0.0,0.0,False
BW_467,anthropic/claude-3.7-sonnet,medium,high,35,1,0.0286,1,50,0,0.0,0.0,False
BW_080,anthropic/claude-3.7-sonnet,medium,high,11,1,0.0909,1,50,0,0.0,0.0,False
BW_E100,anthropic/claude-3.7-sonnet,easy,low,30,0,0.0,0,50,0,0.0,0.0,False
BW_E015,anthropic/claude-3.7-sonnet,easy,low,22,0,0.0,0,50,0,0.0,0.0,False
BW_E017,anthropic/claude-3.7-sonnet,easy,low,15,0,0.0,0,50,0,0.0,0.0,False
BW_E019,anthropic/claude-3.7-sonnet,easy,low,31,0,0.0,0,50,0,0.0,0.0,False
BW_E002,anthropic/claude-3.7-sonnet,easy,low,24,0,0.0,0,50,0,0.0,0.0,False
BW_E100,openai/gpt-4o,easy,low,17,0,0.0,0,50,0,0.0,0.0,False
BW_E015,openai/gpt-4o,easy,low,25,0,0.0,0,50,0,0.0,0.0,False
BW_E017,openai/gpt-4o,easy,low,35,0,0.0,0,50,0,0.0,0.0,False
BW_E019,openai/gpt-4o,easy,low,21,0,0.0,0,50,1,0.02,0.0,False
BW_E002,openai/gpt-4o,easy,low,20,0,0.0,0,50,1,0.02,0.0,False
BW_E100,meta-llama/llama-3.1-8b-instruct,easy,low,12,0,0.0,0,50,1,0.02,0.0,False
BW_E015,meta-llama/llama-3.1-8b-instruct,easy,low,15,0,0.0,0,50,1,0.02,0.0,False
BW_E017,meta-llama/llama-3.1-8b-instruct,easy,low,17,0,0.0,0,50,1,0.02,0.0,False
BW_E019,meta-llama/llama-3.1-8b-instruct,easy,low,20,0,0.0,0,50,0,0.0,0.0,False
BW_E002,meta-llama/llama-3.1-8b-instruct,easy,low,16,0,0.0,0,50,0,0.0,0.0,False
