family,level,model,n,n_clusters,tep_mean,ci_low,ci_high,tep_median,bootstrap,n_boot,seed,source,model_full,problem_id,subtype,instance_type,tep,cci,critical_step_index,n_post_steps_compared,comparison_mode,cluster_id
ALGO,model_summary,Claude,58,13,0.1552,0.0663,0.2895,0.0,cluster_by_clone_family,5000,42,ALGO_P2_phase2_normal*.csv × ALGO_P2_phase2_injected*.csv,,,,,,,,,,
ALGO,model_summary,GPT-4o,61,14,0.3402,0.1552,0.6364,0.0,cluster_by_clone_family,5000,42,ALGO_P2_phase2_normal*.csv × ALGO_P2_phase2_injected*.csv,,,,,,,,,,
ALGO,model_summary,Gemini,61,14,0.2022,0.121,0.3687,0.0,cluster_by_clone_family,5000,42,ALGO_P2_phase2_normal*.csv × ALGO_P2_phase2_injected*.csv,,,,,,,,,,
ALGO,model_summary,Llama,61,14,0.6251,0.4433,0.8018,1.0,cluster_by_clone_family,5000,42,ALGO_P2_phase2_normal*.csv × ALGO_P2_phase2_injected*.csv,,,,,,,,,,
ALGO,model_summary,o4-mini,61,14,0.3443,0.2033,0.522,0.0,cluster_by_clone_family,5000,42,ALGO_P2_phase2_normal*.csv × ALGO_P2_phase2_injected*.csv,,,,,,,,,,
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_01,coin_change,adversarial,1.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_01,coin_change,adversarial,1.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_01,coin_change,adversarial,1.0,0.0,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_01,coin_change,adversarial,1.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_01,coin_change,adversarial,0.0,,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_02,coin_change,adversarial,0.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_02,coin_change,adversarial,0.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
