problem_id,model,complete_case,label_executed,label_appendix
CC_01,Claude,True,mixed,mixed
CC_02,Claude,True,mixed,ambiguous
CC_03,Claude,True,mixed,ambiguous
CC_031,Claude,False,ambiguous,mixed
CC_032,Claude,False,ambiguous,ambiguous
CC_033,Claude,False,ambiguous,ambiguous
CC_034,Claude,False,ambiguous,mixed
CC_035,Claude,False,ambiguous,mixed
CC_036,Claude,False,ambiguous,ambiguous
CC_037,Claude,False,ambiguous,ambiguous
CC_038,Claude,False,ambiguous,ambiguous
CC_039,Claude,False,ambiguous,ambiguous
CC_04,Claude,True,mixed,mixed
CC_040,Claude,False,ambiguous,mixed
CC_041,Claude,False,ambiguous,mixed
CC_042,Claude,False,ambiguous,ambiguous
CC_043,Claude,False,ambiguous,mixed
CC_044,Claude,False,ambiguous,ambiguous
CC_045,Claude,False,ambiguous,ambiguous
CC_05,Claude,True,computation,ambiguous
CC_06,Claude,True,mixed,mixed
CC_07,Claude,True,mixed,ambiguous
CC_08,Claude,True,mixed,mixed
CC_09,Claude,True,mixed,mixed
CC_10,Claude,True,mixed,ambiguous
SP_001,Claude,False,ambiguous,mixed
SP_002,Claude,False,ambiguous,ambiguous
SP_003,Claude,True,mixed,mixed
SP_004,Claude,True,mixed,mixed
SP_005,Claude,True,mixed,mixed
SP_019,Claude,True,retrieval,ambiguous
SP_020,Claude,True,retrieval,ambiguous
SP_021,Claude,True,mixed,mixed
SP_023,Claude,True,mixed,ambiguous
SP_024,Claude,True,mixed,mixed
SP_026,Claude,True,mixed,mixed
SP_027,Claude,True,mixed,mixed
SP_028,Claude,True,mixed,mixed
SP_029,Claude,True,mixed,mixed
SP_030,Claude,True,mixed,mixed
SP_031,Claude,False,ambiguous,mixed
SP_032,Claude,False,ambiguous,ambiguous
SP_033,Claude,False,ambiguous,ambiguous
SP_034,Claude,False,ambiguous,mixed
SP_035,Claude,False,ambiguous,mixed
SP_036,Claude,False,ambiguous,ambiguous
SP_037,Claude,True,retrieval,retrieval
SP_038,Claude,True,mixed,mixed
SP_039,Claude,True,mixed,mixed
SP_040,Claude,True,mixed,mixed
SP_042,Claude,True,mixed,mixed
SP_044,Claude,True,mixed,mixed
SP_045,Claude,True,mixed,mixed
SP_046,Claude,True,mixed,mixed
SP_047,Claude,True,mixed,mixed
SP_048,Claude,True,mixed,mixed
SP_049,Claude,False,ambiguous,mixed
SP_050,Claude,False,ambiguous,ambiguous
SP_051,Claude,False,ambiguous,ambiguous
SP_052,Claude,False,ambiguous,ambiguous
SP_053,Claude,False,ambiguous,mixed
SP_054,Claude,False,ambiguous,ambiguous
SP_055,Claude,False,ambiguous,ambiguous
SP_056,Claude,False,ambiguous,ambiguous
SP_057,Claude,False,ambiguous,ambiguous
SP_058,Claude,False,ambiguous,ambiguous
SP_059,Claude,False,ambiguous,ambiguous
SP_060,Claude,False,ambiguous,ambiguous
SP_061,Claude,False,ambiguous,ambiguous
SP_062,Claude,True,retrieval,ambiguous
SP_063,Claude,True,mixed,mixed
SP_064,Claude,True,retrieval,ambiguous
SP_065,Claude,True,retrieval,ambiguous
SP_066,Claude,True,mixed,mixed
SP_068,Claude,True,mixed,mixed
SP_069,Claude,True,mixed,mixed
SP_070,Claude,True,mixed,mixed
SP_071,Claude,True,mixed,mixed
SP_072,Claude,True,mixed,mixed
SP_073,Claude,True,mixed,mixed
WIS_001,Claude,False,ambiguous,mixed
WIS_002,Claude,False,ambiguous,mixed
WIS_003,Claude,True,mixed,mixed
WIS_004,Claude,True,mixed,mixed
WIS_005,Claude,False,ambiguous,mixed
WIS_006,Claude,False,ambiguous,mixed
WIS_007,Claude,False,ambiguous,mixed
WIS_009,Claude,False,ambiguous,ambiguous
WIS_010,Claude,False,ambiguous,mixed
WIS_012,Claude,False,ambiguous,ambiguous
WIS_013,Claude,True,mixed,mixed
WIS_014,Claude,True,mixed,mixed
WIS_015,Claude,True,mixed,mixed
WIS_016,Claude,False,ambiguous,mixed
WIS_017,Claude,False,ambiguous,mixed
WIS_018,Claude,False,ambiguous,mixed
WIS_019,Claude,True,mixed,mixed
WIS_020,Claude,True,mixed,mixed
WIS_021,Claude,False,ambiguous,mixed
WIS_022,Claude,False,ambiguous,mixed
WIS_023,Claude,False,ambiguous,mixed
WIS_024,Claude,True,mixed,mixed
WIS_025,Claude,True,mixed,mixed
WIS_026,Claude,True,mixed,mixed
WIS_027,Claude,True,mixed,mixed
WIS_028,Claude,False,ambiguous,mixed
WIS_029,Claude,True,mixed,mixed
WIS_030,Claude,False,ambiguous,mixed
WIS_031,Claude,False,ambiguous,mixed
WIS_032,Claude,False,ambiguous,mixed
CC_01,GPT-4o,False,ambiguous,mixed
CC_02,GPT-4o,False,ambiguous,mixed
CC_03,GPT-4o,False,ambiguous,mixed
CC_031,GPT-4o,False,ambiguous,mixed
CC_032,GPT-4o,False,ambiguous,mixed
CC_033,GPT-4o,False,ambiguous,ambiguous
CC_034,GPT-4o,False,ambiguous,mixed
CC_035,GPT-4o,False,ambiguous,mixed
CC_036,GPT-4o,False,ambiguous,ambiguous
CC_037,GPT-4o,False,ambiguous,ambiguous
CC_038,GPT-4o,False,ambiguous,ambiguous
CC_039,GPT-4o,False,ambiguous,mixed
CC_04,GPT-4o,False,ambiguous,mixed
CC_040,GPT-4o,False,ambiguous,mixed
CC_041,GPT-4o,False,ambiguous,mixed
CC_042,GPT-4o,False,ambiguous,ambiguous
CC_043,GPT-4o,False,ambiguous,mixed
CC_044,GPT-4o,False,ambiguous,ambiguous
CC_045,GPT-4o,False,ambiguous,ambiguous
CC_05,GPT-4o,False,ambiguous,mixed
CC_06,GPT-4o,False,ambiguous,mixed
CC_07,GPT-4o,False,ambiguous,mixed
CC_08,GPT-4o,False,ambiguous,mixed
CC_09,GPT-4o,False,ambiguous,mixed
CC_10,GPT-4o,False,ambiguous,mixed
SP_001,GPT-4o,False,ambiguous,mixed
SP_002,GPT-4o,False,ambiguous,mixed
SP_003,GPT-4o,False,ambiguous,mixed
SP_004,GPT-4o,False,ambiguous,mixed
SP_005,GPT-4o,False,ambiguous,mixed
SP_019,GPT-4o,True,mixed,ambiguous
SP_020,GPT-4o,False,ambiguous,retrieval
SP_021,GPT-4o,True,mixed,mixed
SP_023,GPT-4o,False,ambiguous,ambiguous
SP_024,GPT-4o,True,computation,ambiguous
SP_026,GPT-4o,False,ambiguous,mixed
SP_027,GPT-4o,True,mixed,ambiguous
SP_028,GPT-4o,False,ambiguous,mixed
SP_029,GPT-4o,True,mixed,mixed
SP_030,GPT-4o,False,ambiguous,mixed
SP_031,GPT-4o,False,ambiguous,mixed
SP_032,GPT-4o,False,ambiguous,ambiguous
SP_033,GPT-4o,False,ambiguous,mixed
SP_034,GPT-4o,False,ambiguous,ambiguous
SP_035,GPT-4o,False,ambiguous,ambiguous
SP_036,GPT-4o,False,ambiguous,ambiguous
SP_037,GPT-4o,False,ambiguous,retrieval
SP_038,GPT-4o,False,ambiguous,mixed
SP_039,GPT-4o,False,ambiguous,mixed
SP_040,GPT-4o,True,mixed,mixed
SP_042,GPT-4o,True,mixed,ambiguous
SP_044,GPT-4o,True,computation,ambiguous
SP_045,GPT-4o,True,mixed,mixed
SP_046,GPT-4o,True,mixed,mixed
SP_047,GPT-4o,True,mixed,mixed
SP_048,GPT-4o,False,ambiguous,mixed
SP_049,GPT-4o,False,ambiguous,ambiguous
SP_050,GPT-4o,False,ambiguous,mixed
SP_051,GPT-4o,False,ambiguous,ambiguous
SP_052,GPT-4o,False,ambiguous,ambiguous
SP_053,GPT-4o,False,ambiguous,ambiguous
SP_054,GPT-4o,False,ambiguous,ambiguous
SP_055,GPT-4o,False,ambiguous,ambiguous
SP_056,GPT-4o,False,ambiguous,ambiguous
SP_057,GPT-4o,False,ambiguous,ambiguous
SP_058,GPT-4o,False,ambiguous,mixed
SP_059,GPT-4o,False,ambiguous,mixed
SP_060,GPT-4o,False,ambiguous,ambiguous
SP_061,GPT-4o,False,ambiguous,mixed
SP_062,GPT-4o,False,ambiguous,ambiguous
SP_063,GPT-4o,False,ambiguous,mixed
SP_064,GPT-4o,False,ambiguous,ambiguous
SP_065,GPT-4o,False,ambiguous,ambiguous
SP_066,GPT-4o,False,ambiguous,ambiguous
SP_068,GPT-4o,False,ambiguous,ambiguous
SP_069,GPT-4o,True,computation,ambiguous
SP_070,GPT-4o,False,ambiguous,ambiguous
SP_071,GPT-4o,True,mixed,mixed
SP_072,GPT-4o,False,ambiguous,mixed
SP_073,GPT-4o,True,mixed,mixed
WIS_001,GPT-4o,False,ambiguous,mixed
WIS_002,GPT-4o,False,ambiguous,mixed
WIS_003,GPT-4o,False,ambiguous,mixed
WIS_004,GPT-4o,False,ambiguous,mixed
WIS_005,GPT-4o,False,ambiguous,mixed
WIS_006,GPT-4o,False,ambiguous,mixed
WIS_007,GPT-4o,False,ambiguous,mixed
WIS_009,GPT-4o,False,ambiguous,ambiguous
WIS_010,GPT-4o,False,ambiguous,mixed
WIS_012,GPT-4o,False,ambiguous,ambiguous
WIS_013,GPT-4o,True,mixed,mixed
WIS_014,GPT-4o,True,mixed,mixed
WIS_015,GPT-4o,True,mixed,mixed
WIS_016,GPT-4o,False,ambiguous,mixed
WIS_017,GPT-4o,False,ambiguous,mixed
WIS_018,GPT-4o,False,ambiguous,mixed
WIS_019,GPT-4o,False,ambiguous,mixed
WIS_020,GPT-4o,False,ambiguous,mixed
WIS_021,GPT-4o,False,ambiguous,mixed
WIS_022,GPT-4o,False,ambiguous,mixed
WIS_023,GPT-4o,True,mixed,mixed
WIS_024,GPT-4o,True,mixed,mixed
WIS_025,GPT-4o,True,mixed,mixed
WIS_026,GPT-4o,True,mixed,mixed
WIS_027,GPT-4o,True,mixed,mixed
WIS_028,GPT-4o,True,mixed,mixed
WIS_029,GPT-4o,True,mixed,mixed
WIS_030,GPT-4o,False,ambiguous,mixed
WIS_031,GPT-4o,False,ambiguous,mixed
WIS_032,GPT-4o,False,ambiguous,mixed
CC_01,Llama,False,ambiguous,mixed
CC_02,Llama,False,ambiguous,mixed
CC_03,Llama,False,ambiguous,mixed
CC_031,Llama,False,ambiguous,mixed
CC_032,Llama,False,ambiguous,mixed
CC_033,Llama,False,ambiguous,ambiguous
CC_034,Llama,False,ambiguous,mixed
CC_035,Llama,False,ambiguous,ambiguous
