bank,problem_id,variant,problem_family,problem_subtype,char_len_canonical,char_len_variant,char_similarity,n_tokens_canonical,n_tokens_variant,token_jaccard,text_identical_to_canonical,answer_identical_to_canonical,answer_expected,near_duplicate_vs_canonical,near_duplicate_w6_peer,near_dup_jaccard_floor,transform_status
ALGO,CC_01,W1,coin change,coin_change,375,303,0.4189,61,47,0.2703,False,True,identical,False,,0.85,transformed
ALGO,CC_01,W2,coin change,coin_change,375,621,0.2912,61,96,0.2841,False,True,identical,False,,0.85,transformed
ALGO,CC_01,W3,coin change,coin_change,375,452,0.2346,61,83,0.3068,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_01,W4,coin change,coin_change,375,497,0.2202,61,71,0.125,False,True,identical,False,,0.85,transformed
ALGO,CC_02,W1,coin change,coin_change,379,286,0.4391,64,47,0.338,False,True,identical,False,,0.85,transformed
ALGO,CC_02,W2,coin change,coin_change,379,622,0.2977,64,96,0.3182,False,True,identical,False,,0.85,transformed
ALGO,CC_02,W3,coin change,coin_change,379,451,0.2193,64,83,0.2826,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_02,W4,coin change,coin_change,379,500,0.2321,64,71,0.1443,False,True,identical,False,,0.85,transformed
ALGO,CC_03,W1,coin change,coin_change,383,306,0.3657,65,50,0.3857,False,True,identical,False,,0.85,transformed
ALGO,CC_03,W2,coin change,coin_change,383,626,0.2478,65,97,0.3258,False,True,identical,False,,0.85,transformed
ALGO,CC_03,W3,coin change,coin_change,383,457,0.2238,65,85,0.2766,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_03,W4,coin change,coin_change,383,504,0.2165,65,72,0.1531,False,True,identical,False,,0.85,transformed
ALGO,CC_04,W1,coin change,coin_change,389,298,0.4891,66,49,0.3944,False,True,identical,False,,0.85,transformed
ALGO,CC_04,W2,coin change,coin_change,389,628,0.3127,66,97,0.3371,False,True,identical,False,,0.85,transformed
ALGO,CC_04,W3,coin change,coin_change,389,467,0.2173,66,87,0.2842,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_04,W4,coin change,coin_change,389,493,0.2744,66,73,0.16,False,True,identical,False,,0.85,transformed
ALGO,CC_05,W1,coin change,coin_change,383,276,0.525,65,44,0.4462,False,True,identical,False,,0.85,transformed
ALGO,CC_05,W2,coin change,coin_change,383,622,0.2488,65,96,0.3295,False,True,identical,False,,0.85,transformed
ALGO,CC_05,W3,coin change,coin_change,383,459,0.2328,65,85,0.2903,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_05,W4,coin change,coin_change,383,487,0.2207,65,72,0.1515,False,True,identical,False,,0.85,transformed
ALGO,CC_06,W1,coin change,coin_change,384,303,0.5066,65,49,0.3971,False,True,identical,False,,0.85,transformed
ALGO,CC_06,W2,coin change,coin_change,384,627,0.3046,65,97,0.3258,False,True,identical,False,,0.85,transformed
ALGO,CC_06,W3,coin change,coin_change,384,459,0.2206,65,84,0.2935,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_06,W4,coin change,coin_change,384,505,0.261,65,72,0.1531,False,True,identical,False,,0.85,transformed
ALGO,CC_07,W1,coin change,coin_change,382,283,0.4421,65,45,0.4394,False,True,identical,False,,0.85,transformed
ALGO,CC_07,W2,coin change,coin_change,382,625,0.3019,65,97,0.3258,False,True,identical,False,,0.85,transformed
ALGO,CC_07,W3,coin change,coin_change,382,458,0.2214,65,85,0.2903,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_07,W4,coin change,coin_change,382,503,0.2305,65,72,0.1531,False,True,identical,False,,0.85,transformed
