problem_id,model,cci,session_status,skip_count,violation_format_error,violation_precondition,n_executed_actions,n_canonical_shape,n_nl_remappable,null_cause
BW_155,openai/gpt-4o,0.0,blank,0,49,0,50,1,48,has_score
BW_010,openai/gpt-4o,0.0,blank,0,48,0,50,2,46,has_score
BW_001,openai/gpt-4o,0.0,blank,0,49,0,50,1,48,has_score
BW_011,openai/gpt-4o,0.0,blank,0,49,0,50,1,48,has_score
BW_120,openai/gpt-4o,0.0,blank,0,49,0,50,1,48,has_score
BW_227,openai/gpt-4o,0.0,blank,0,49,0,50,1,48,has_score
BW_137,openai/gpt-4o,0.0,blank,0,49,0,50,1,48,has_score
BW_172,openai/gpt-4o,0.0,blank,0,49,0,50,1,48,has_score
BW_467,openai/gpt-4o,0.0,blank,0,49,0,50,1,48,has_score
BW_080,openai/gpt-4o,0.0,blank,0,49,0,50,1,48,has_score
BW_E100,openai/gpt-4o,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_E015,openai/gpt-4o,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_E017,openai/gpt-4o,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_E019,openai/gpt-4o,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_E002,openai/gpt-4o,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_155,meta-llama/llama-3.1-8b-instruct,0.0833,blank,0,49,0,50,1,49,has_score
BW_010,meta-llama/llama-3.1-8b-instruct,0.5,blank,0,0,48,50,50,0,has_score
BW_001,meta-llama/llama-3.1-8b-instruct,0.0,blank,0,49,0,50,1,49,has_score
BW_011,meta-llama/llama-3.1-8b-instruct,0.0,blank,0,49,0,50,1,49,has_score
BW_120,meta-llama/llama-3.1-8b-instruct,0.1111,blank,0,21,26,50,29,21,has_score
BW_227,meta-llama/llama-3.1-8b-instruct,0.125,blank,0,46,1,50,4,46,has_score
BW_137,meta-llama/llama-3.1-8b-instruct,0.0,blank,0,47,1,50,3,47,has_score
BW_172,meta-llama/llama-3.1-8b-instruct,0.1,blank,0,15,32,50,35,1,has_score
BW_467,meta-llama/llama-3.1-8b-instruct,0.0833,blank,0,49,0,50,1,49,has_score
BW_080,meta-llama/llama-3.1-8b-instruct,0.2,blank,0,0,48,50,50,0,has_score
BW_E100,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_E015,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_E017,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_E019,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_E002,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_001,anthropic/claude-sonnet-4,0.0,complete,0,22,21,50,49,0,has_score
BW_002,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_010,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,6,13,0,8,7,0,abort_excessive_illegal
BW_011,anthropic/claude-sonnet-4,0.1,complete,0,2,16,50,49,0,has_score
BW_014,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_022,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,0,blank_status_null_cci
BW_080,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,6,13,0,10,9,0,abort_excessive_illegal
