artifact,metric,models_affected,issue,denominator_label,action
table1_gsm.csv,P1 canonical / W3 accuracy,"GPT-4o, Llama",20/44 bank-valid canonical; raw has GSM_021-040 (wrong IDs) + missing GSM_041-064,partial_canonical,Reconcile ID mapping or finish missing bank IDs (checklist 1.7)
probe2_gsm_metrics.csv / main.tex CCI,GSM P2 mean CCI,o4-mini,0/44 GSM P2 rows,missing,Exclude o4-mini from five-model P2 claims or run P2
gsm_cci_wilcoxon_sensitivity.csv,Claude vs GPT-4o paired CCI,"Claude, GPT-4o",Two analyses: zero-imputed n=44 vs complete-case intersection,see analysis column,Never report imputed p without complete-case counterpart
ALGO P2A elicited metrics,Algorithm elicitation sessions,"Claude, Gemini, Llama",61/110 sessions vs 450 for GPT-4o/o4-mini,partial,Do not pool elicited counts across models without label
BW_P1_behavioral.csv / table1_bw,BW P1 canonical accuracy,"Claude, GPT-4o, Llama",Combined file contains 44 GSM IDs not in BW bank (109 observed vs 65 bank),contaminated_extra_ids,Filter to BW bank IDs only before cross-family tables
main.tex / cross-model P2 claims,GSM Probe 2 five-model comparison,all five,Only 4/5 models have GSM P2 rows; o4-mini 0/44,four_model_only,"Never claim ""five models on Probe 2"" without o4-mini runs"
GSM,P1,GPT-4o,"GSM_041,GSM_042,GSM_043,GSM_044,GSM_045,GSM_046,GSM_047,GSM_048,GSM_049,GSM_050,GSM_051,GSM_052,GSM_053,GSM_054,GSM_055,GSM_056,GSM_057,GSM_058,GSM_059,GSM_060,GSM_061,GSM_062,GSM_063,GSM_064",partial,Auto-flagged from master_coverage_table
GSM,P1,Llama,"GSM_041,GSM_042,GSM_043,GSM_044,GSM_045,GSM_046,GSM_047,GSM_048,GSM_049,GSM_050,GSM_051,GSM_052,GSM_053,GSM_054,GSM_055,GSM_056,GSM_057,GSM_058,GSM_059,GSM_060,GSM_061,GSM_062,GSM_063,GSM_064",partial,Auto-flagged from master_coverage_table
ALGO,P2A_elicited,Claude,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",partial,Auto-flagged from master_coverage_table
ALGO,P2A_elicited,Gemini,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",partial,Auto-flagged from master_coverage_table
ALGO,P2A_elicited,Llama,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",partial,Auto-flagged from master_coverage_table
