model_a,model_b,subtype,n,a_W3,b_W3,acc_diff,ci_lo,ci_hi,fisher_p,odds_ratio,rebuild_csv_fisher_p
Claude,GPT-4o,SP,11,0,5,-0.45454545454545453,-0.7272727272727273,-0.18181818181818182,0.03508771929824561,0.0,0.0350877192982456
Claude,GPT-4o,CC,5,4,0,0.8,0.4,1.0,0.04761904761904762,inf,0.0476190476190476
Claude,GPT-4o,WIS,1,0,0,0.0,0.0,0.0,1.0,,1.0
Claude,Llama,SP,1,0,0,0.0,0.0,0.0,1.0,,1.0
Claude,Llama,CC,2,2,0,1.0,1.0,1.0,0.3333333333333333,inf,0.3333333333333333
Claude,Gemini,SP,18,0,8,-0.4444444444444444,-0.6666666666666666,-0.2222222222222222,0.0028921023359288096,0.0,0.0028921023359288
Claude,Gemini,CC,5,5,5,0.0,0.0,0.0,1.0,,1.0
Claude,Gemini,WIS,2,0,0,0.0,0.0,0.0,1.0,,1.0
Claude,o4-mini,SP,22,0,20,-0.9090909090909091,-1.0,-0.7727272727272727,2.6234507478872397e-10,0.0,2.6234507478872397e-10
Claude,o4-mini,CC,7,5,7,-0.2857142857142857,-0.5714285714285714,0.0,0.46153846153846156,0.0,0.4615384615384615
Claude,o4-mini,WIS,6,0,0,0.0,0.0,0.0,1.0,,1.0
GPT-4o,Llama,SP,2,1,0,0.5,0.0,1.0,1.0,inf,1.0
GPT-4o,Llama,CC,1,0,0,0.0,0.0,0.0,1.0,,1.0
GPT-4o,Llama,WIS,1,0,0,0.0,0.0,0.0,1.0,,1.0
GPT-4o,Gemini,SP,10,5,6,-0.09999999999999998,-0.4,0.20000000000000007,1.0,0.6666666666666666,1.0
GPT-4o,Gemini,CC,4,0,4,-1.0,-1.0,-1.0,0.028571428571428567,0.0,0.0285714285714285
GPT-4o,Gemini,WIS,3,0,0,0.0,0.0,0.0,1.0,,1.0
GPT-4o,o4-mini,SP,14,7,14,-0.5,-0.7857142857142857,-0.2142857142857143,0.005797101449275362,0.0,0.0057971014492753
GPT-4o,o4-mini,CC,6,0,6,-1.0,-1.0,-1.0,0.0021645021645021645,0.0,0.0021645021645021
GPT-4o,o4-mini,WIS,6,0,0,0.0,0.0,0.0,1.0,,1.0
Llama,Gemini,CC,2,0,2,-1.0,-1.0,-1.0,0.3333333333333333,0.0,0.3333333333333333
Llama,Gemini,WIS,1,0,0,0.0,0.0,0.0,1.0,,1.0
Llama,o4-mini,SP,2,0,2,-1.0,-1.0,-1.0,0.3333333333333333,0.0,0.3333333333333333
Llama,o4-mini,CC,2,0,2,-1.0,-1.0,-1.0,0.3333333333333333,0.0,0.3333333333333333
Llama,o4-mini,WIS,1,0,0,0.0,0.0,0.0,1.0,,1.0
Gemini,o4-mini,SP,23,9,20,-0.47826086956521735,-0.6956521739130435,-0.26086956521739135,0.001802636991922118,0.09642857142857143,0.0018026369919221
Gemini,o4-mini,CC,5,5,5,0.0,0.0,0.0,1.0,,1.0
Gemini,o4-mini,WIS,6,0,0,0.0,0.0,0.0,1.0,,1.0
