family,model,x,y,n,rho,p
ALGO,Claude,canonical,VAR,110,-0.3939890205166077,2.0575015614456406e-05
ALGO,Claude,canonical,W3_kept,110,0.15537971921347118,0.10504326397706157
ALGO,GPT-4o,canonical,VAR,110,-0.45909311552019705,4.546782020664896e-07
ALGO,GPT-4o,canonical,W3_kept,110,0.4317952528392501,2.4772536192470185e-06
ALGO,Gemini,canonical,VAR,110,-0.435093672309298,2.034070808965306e-06
ALGO,Gemini,canonical,W3_kept,110,0.3774110716811933,4.8140986856399336e-05
ALGO,Llama,canonical,VAR,110,-0.16166178800901704,0.09155106150133038
ALGO,Llama,canonical,W3_kept,110,-0.03547590863517874,0.7129180199306053
ALGO,o4-mini,canonical,VAR,110,,
ALGO,o4-mini,canonical,W3_kept,110,,
BW,Claude,canonical,VAR,109,-0.7410225409713003,3.20434237609107e-20
BW,Claude,canonical,W3_kept,109,0.4685380614151647,2.7760581889987677e-07
BW,GPT-4o,canonical,VAR,109,-0.6060439169062118,2.8946278363552217e-12
BW,GPT-4o,canonical,W3_kept,109,0.345118004516165,0.0002376769338349908
BW,Gemini,canonical,VAR,65,-0.3192338013177913,0.009541658636998835
BW,Gemini,canonical,W3_kept,65,0.03138824102871722,0.8039711264132792
BW,Llama,canonical,VAR,109,-0.7695397384603225,1.4345498053756562e-22
BW,Llama,canonical,W3_kept,109,0.32587726510187487,0.0005443428884374304
BW,o4-mini,canonical,VAR,65,-0.758782665713212,2.430443187836421e-13
BW,o4-mini,canonical,W3_kept,65,-0.2099465840021502,0.09323679127816983
GSM,Claude,canonical,VAR,44,-0.5296425396142667,0.00021808526763994403
GSM,Claude,canonical,W3_kept,44,0.1793740008335438,0.24399552004549807
GSM,GPT-4o,canonical,VAR,40,-0.23347764462018308,0.14707407677673476
GSM,GPT-4o,canonical,W3_kept,40,-0.0758692863633992,0.6417199058307608
GSM,Gemini,canonical,VAR,44,-0.27247158581252734,0.07355569284968763
GSM,Gemini,canonical,W3_kept,44,0.014388861576723854,0.9261403657695628
GSM,Llama,canonical,VAR,40,-0.43948168911978486,0.004549067467821752
GSM,Llama,canonical,W3_kept,40,0.06579516949597689,0.6866779287766863
GSM,o4-mini,canonical,VAR,44,-0.6541079380448053,1.4699976333944987e-06
GSM,o4-mini,canonical,W3_kept,44,0.6602316602316601,1.0825186906636722e-06
