Loaded 60 plan rows

--- anthropic/claude-3.7-sonnet | 15 problems ---
  BW_155 | inject@2/9 | running... Loaded 60 plan rows
Resuming — 0 sessions already done

--- anthropic/claude-3.7-sonnet | 15 problems ---
  BW_155 | inject@2/9 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_155 | inject@3/9 | running... TEP=None | first=illegal_both | A=0 R=0 X=46
  BW_155 | inject@4/9 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_155 | inject@6/9 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_010 | inject@2/24 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_010 | inject@8/24 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_010 | inject@12/24 | running... TEP=None | first=illegal_both | A=0 R=0 X=37
  BW_010 | inject@16/24 | running... TEP=None | first=illegal_both | A=0 R=0 X=33
  BW_001 | inject@2/21 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_001 | inject@7/21 | running... TEP=None | first=illegal_both | A=0 R=0 X=42
  BW_001 | inject@10/21 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_001 | inject@14/21 | running... TEP=None | first=illegal_both | A=0 R=0 X=35
  BW_011 | inject@2/29 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_011 | inject@9/29 | running... TEP=None | first=illegal_both | A=0 R=0 X=40
  BW_011 | inject@14/29 | running... TEP=None | first=illegal_both | A=0 R=0 X=35
  BW_011 | inject@19/29 | running... TEP=None | first=illegal_both | A=0 R=0 X=30
  BW_120 | inject@2/11 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_120 | inject@3/11 | running... TEP=None | first=illegal_both | A=0 R=0 X=46
  BW_120 | inject@5/11 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_120 | inject@7/11 | running... TEP=None | first=illegal_both | A=0 R=0 X=42
  BW_227 | inject@2/26 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_227 | inject@8/26 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_227 | inject@13/26 | running... TEP=None | first=illegal_both | A=0 R=0 X=36
  BW_227 | inject@17/26 | running... TEP=None | first=illegal_both | A=0 R=0 X=32
  BW_137 | inject@2/34 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_137 | inject@11/34 | running... TEP=None | first=illegal_both | A=0 R=0 X=38
  BW_137 | inject@17/34 | running... TEP=None | first=illegal_both | A=0 R=0 X=32
  BW_137 | inject@22/34 | running... TEP=None | first=illegal_both | A=0 R=0 X=27
  BW_172 | inject@2/32 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_172 | inject@10/32 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_172 | inject@16/32 | running... TEP=None | first=illegal_both | A=0 R=0 X=33
  BW_172 | inject@21/32 | running... TEP=None | first=illegal_both | A=0 R=0 X=28
  BW_467 | inject@2/35 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_467 | inject@11/35 | running... TEP=None | first=illegal_both | A=0 R=0 X=38
  BW_467 | inject@17/35 | running... TEP=None | first=illegal_both | A=0 R=0 X=32
  BW_467 | inject@23/35 | running... TEP=None | first=illegal_both | A=0 R=0 X=26
  BW_080 | inject@2/11 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_080 | inject@3/11 | running... TEP=None | first=illegal_both | A=0 R=0 X=46
  BW_080 | inject@5/11 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_080 | inject@7/11 | running... TEP=None | first=illegal_both | A=0 R=0 X=42
  BW_E100 | inject@2/30 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E100 | inject@10/30 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_E100 | inject@15/30 | running... TEP=None | first=illegal_both | A=0 R=0 X=34
  BW_E100 | inject@20/30 | running... TEP=None | first=illegal_both | A=0 R=0 X=29
  BW_E015 | inject@2/22 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E015 | inject@7/22 | running... TEP=None | first=illegal_both | A=0 R=0 X=42
  BW_E015 | inject@11/22 | running... TEP=None | first=illegal_both | A=0 R=0 X=38
  BW_E015 | inject@14/22 | running... TEP=None | first=illegal_both | A=0 R=0 X=35
  BW_E017 | inject@2/15 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E017 | inject@5/15 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_E017 | inject@7/15 | running... TEP=None | first=illegal_both | A=0 R=0 X=42
