family,probe,model,gap_kind,gap_id,api_needed
GSM,P1,GPT-4o,missing_canonical,GSM_041,yes
GSM,P1,GPT-4o,missing_canonical,GSM_042,yes
GSM,P1,GPT-4o,missing_canonical,GSM_043,yes
GSM,P1,GPT-4o,missing_canonical,GSM_044,yes
GSM,P1,GPT-4o,missing_canonical,GSM_045,yes
GSM,P1,GPT-4o,missing_canonical,GSM_046,yes
GSM,P1,GPT-4o,missing_canonical,GSM_047,yes
GSM,P1,GPT-4o,missing_canonical,GSM_048,yes
GSM,P1,GPT-4o,missing_canonical,GSM_049,yes
GSM,P1,GPT-4o,missing_canonical,GSM_050,yes
GSM,P1,GPT-4o,missing_canonical,GSM_051,yes
GSM,P1,GPT-4o,missing_canonical,GSM_052,yes
GSM,P1,GPT-4o,missing_canonical,GSM_053,yes
GSM,P1,GPT-4o,missing_canonical,GSM_054,yes
GSM,P1,GPT-4o,missing_canonical,GSM_055,yes
GSM,P1,GPT-4o,missing_canonical,GSM_056,yes
GSM,P1,GPT-4o,missing_canonical,GSM_057,yes
GSM,P1,GPT-4o,missing_canonical,GSM_058,yes
GSM,P1,GPT-4o,missing_canonical,GSM_059,yes
GSM,P1,GPT-4o,missing_canonical,GSM_060,yes
GSM,P1,GPT-4o,missing_canonical,GSM_061,yes
GSM,P1,GPT-4o,missing_canonical,GSM_062,yes
GSM,P1,GPT-4o,missing_canonical,GSM_063,yes
GSM,P1,GPT-4o,missing_canonical,GSM_064,yes
GSM,P1,GPT-4o,missing_w1,GSM_041,yes
GSM,P1,GPT-4o,missing_w2,GSM_041,yes
GSM,P1,GPT-4o,missing_w3,GSM_041,yes
GSM,P1,GPT-4o,missing_w4,GSM_041,yes
GSM,P1,GPT-4o,missing_w5,GSM_041,yes
GSM,P1,GPT-4o,missing_w6,GSM_041,no
GSM,P1,GPT-4o,missing_w1,GSM_042,yes
GSM,P1,GPT-4o,missing_w2,GSM_042,yes
GSM,P1,GPT-4o,missing_w3,GSM_042,yes
GSM,P1,GPT-4o,missing_w4,GSM_042,yes
GSM,P1,GPT-4o,missing_w5,GSM_042,yes
GSM,P1,GPT-4o,missing_w6,GSM_042,no
GSM,P1,GPT-4o,missing_w1,GSM_043,yes
GSM,P1,GPT-4o,missing_w2,GSM_043,yes
GSM,P1,GPT-4o,missing_w3,GSM_043,yes
GSM,P1,GPT-4o,missing_w4,GSM_043,yes
GSM,P1,GPT-4o,missing_w5,GSM_043,yes
GSM,P1,GPT-4o,missing_w6,GSM_043,no
GSM,P1,GPT-4o,missing_w1,GSM_044,yes
GSM,P1,GPT-4o,missing_w2,GSM_044,yes
GSM,P1,GPT-4o,missing_w3,GSM_044,yes
GSM,P1,GPT-4o,missing_w4,GSM_044,yes
GSM,P1,GPT-4o,missing_w5,GSM_044,yes
GSM,P1,GPT-4o,missing_w6,GSM_044,no
GSM,P1,GPT-4o,missing_w1,GSM_045,yes
GSM,P1,GPT-4o,missing_w2,GSM_045,yes
GSM,P1,GPT-4o,missing_w3,GSM_045,yes
GSM,P1,GPT-4o,missing_w4,GSM_045,yes
GSM,P1,GPT-4o,missing_w5,GSM_045,yes
GSM,P1,GPT-4o,missing_w6,GSM_045,no
GSM,P1,GPT-4o,missing_w1,GSM_046,yes
GSM,P1,GPT-4o,missing_w2,GSM_046,yes
GSM,P1,GPT-4o,missing_w3,GSM_046,yes
GSM,P1,GPT-4o,missing_w4,GSM_046,yes
GSM,P1,GPT-4o,missing_w5,GSM_046,yes
GSM,P1,GPT-4o,missing_w6,GSM_046,no
GSM,P1,GPT-4o,missing_w1,GSM_047,yes
GSM,P1,GPT-4o,missing_w2,GSM_047,yes
GSM,P1,GPT-4o,missing_w3,GSM_047,yes
GSM,P1,GPT-4o,missing_w4,GSM_047,yes
GSM,P1,GPT-4o,missing_w5,GSM_047,yes
GSM,P1,GPT-4o,missing_w6,GSM_047,no
GSM,P1,GPT-4o,missing_w1,GSM_048,yes
GSM,P1,GPT-4o,missing_w2,GSM_048,yes
GSM,P1,GPT-4o,missing_w3,GSM_048,yes
GSM,P1,GPT-4o,missing_w4,GSM_048,yes
GSM,P1,GPT-4o,missing_w5,GSM_048,yes
GSM,P1,GPT-4o,missing_w6,GSM_048,no
GSM,P1,GPT-4o,missing_w1,GSM_049,yes
GSM,P1,GPT-4o,missing_w2,GSM_049,yes
GSM,P1,GPT-4o,missing_w3,GSM_049,yes
GSM,P1,GPT-4o,missing_w4,GSM_049,yes
GSM,P1,GPT-4o,missing_w5,GSM_049,yes
GSM,P1,GPT-4o,missing_w6,GSM_049,no
GSM,P1,GPT-4o,missing_w1,GSM_050,yes
GSM,P1,GPT-4o,missing_w2,GSM_050,yes
GSM,P1,GPT-4o,missing_w3,GSM_050,yes
