problem_id,variant_type,model,raw_response,behavioral_correct,correct_answer,problem_family,contamination_pole,difficulty,variant_type_normalized,included,exclusion_reason,old_verified,rescored_correct,verify_method,rescore_reason,verdict_changed
BW_001,W1,google/gemini-2.5-flash,"1. pick-up h
2. stack h l
3. pick-up b
4. stack b h
5. pick-up d
6. stack d b
7. pick-up g
8. stack g d
9. pick-up i
10. stack i g
11. pick-up f
12. stack f i
13. pick-up j
14. stack j f",True,"pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,high,medium,W1,True,in_bank_ok,True,True,state_machine,correct,False
BW_001,W2,google/gemini-2.5-flash,"1. pick-up l
2. stack l h
3. pick-up h
4. stack h b
5. pick-up b
6. stack b d
7. pick-up d
8. stack d g
9. pick-up g
10. stack g i
11. pick-up i
12. stack i f
13. pick-up f
14. stack f j",False,"pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,high,medium,W2,True,in_bank_ok,False,False,state_machine,incorrect,False
BW_001,W3,google/gemini-2.5-flash,"1. select Fiona
2. place Fiona under Ian
3. select James
4. place James under Fiona
5. select Grace
6. place Grace under Derek
7. select Ian
8. place Ian under Grace
9. select Derek
10. place Derek under Ben
11. select Ben
12. place Ben under Hannah
13. select Hannah
14. place Hannah under Leo",False,"select Hannah
place Hannah under Leo
select Ben
place Ben under Hannah
select Derek
place Derek under Ben
select Grace
place Grace under Derek
select Ian
place Ian under Grace
select Fiona
place Fiona under Ian
select James
place James under Fiona",planning_suite,high,medium,W3,True,in_bank_ok,False,False,state_machine,incorrect,False
BW_001,W4,google/gemini-2.5-flash,"1. pick-up j
2. stack j f
3. pick-up f
4. stack f i
5. pick-up i
6. stack i g
7. pick-up g
8. stack g d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b h
13. pick-up h
14. stack h l",False,"pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,high,medium,W4,True,in_bank_ok,False,False,state_machine,incorrect,False
BW_001,W5,google/gemini-2.5-flash,"1. unstack j f
2. put-down j
3. unstack f i
4. put-down f
5. unstack i g
6. put-down i
7. unstack g d
8. put-down g
9. unstack d b
10. put-down d
11. unstack b h
12. put-down b
13. unstack h l
14. put-down h
15. pick-up l
16. put-down l",True,"unstack j f
put-down j
unstack f i
put-down f
unstack i g
put-down i
unstack g d
put-down g
unstack d b
put-down d
unstack b h
put-down b
unstack h l
put-down h",planning_suite,high,medium,W5,True,in_bank_ok,False,True,state_machine,correct,True
BW_001,W6,google/gemini-2.5-flash,"1. pick-up d
2. put-down d
3. pick-up h
4. stack h d
5. pick-up e
6. stack e h
7. pick-up i
8. stack i e
9. pick-up a
10. stack a i
11. pick-up c
12. stack c a
13. pick-up f
14. stack f c
15. pick-up b
16. stack b f
17. pick-up g
18. stack g b",True,"pick-up h
stack h d
pick-up e
stack e h
pick-up i
stack i e
pick-up a
stack a i
pick-up c
stack c a
pick-up f
stack f c
pick-up b
stack b f
pick-up g
stack g b",planning_suite,high,medium,W6,True,in_bank_ok,True,True,state_machine,correct,False
BW_001,canonical,google/gemini-2.5-flash,"1. pick-up j
2. stack j f
3. pick-up f
4. stack f i
5. pick-up i
6. stack i g
7. pick-up g
8. stack g d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b h
13. pick-up h
14. stack h l",False,"pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,high,medium,canonical,True,in_bank_ok,False,False,state_machine,incorrect,False
BW_002,W1,google/gemini-2.5-flash,"1. pick-up j
2. stack j g
3. pick-up g
4. stack g a
5. pick-up a
6. stack a b
7. pick-up b
8. stack b k
9. pick-up k
10. stack k h
11. pick-up h
12. stack h i",False,"pick-up k
 stack k h
 pick-up i
 stack i k
 pick-up b
 stack b i
 pick-up a
 stack a b
 pick-up g
 stack g a
 pick-up j
 stack j g",planning_suite,high,hard,W1,True,in_bank_ok,False,False,state_machine,incorrect,False
BW_002,W2,google/gemini-2.5-flash,"1. pick-up j
2. stack j g
3. pick-up g
4. stack g a
5. pick-up a
6. stack a b
7. pick-up b
8. stack b k
9. pick-up k
10. stack k h
11. pick-up h
12. stack h i",False,"pick-up k
 stack k h
 pick-up i
 stack i k
 pick-up b
 stack b i
 pick-up a
 stack a b
 pick-up g
 stack g a
 pick-up j
 stack j g",planning_suite,high,hard,W2,True,in_bank_ok,False,False,state_machine,incorrect,False
BW_002,W3,google/gemini-2.5-flash,"1. select Jake
2. place Jake under Grace
3. select Grace
4. place Grace under Alice
5. select Alice
6. place Alice under Bob
7. select Bob
8. place Bob under Kevin
9. select Kevin
10. place Kevin under Henry
11. select Henry
12. place Henry under Ivan",False,"select Jake
place Jake under Grace
select Grace
place Grace under Alice
select Alice
place Alice under Bob
select Bob
place Bob under Kevin
select Kevin
place Kevin under Henry
select Henry
place Henry under Ivan",planning_suite,high,hard,W3,True,in_bank_ok,True,False,state_machine,incorrect,True
