problem_id,model,variant_type,rcs,difficulty,contamination_pole
GSM_001,anthropic/claude-3.7-sonnet,w6,True,medium,high
GSM_002,anthropic/claude-3.7-sonnet,w6,True,easy,high
GSM_003,anthropic/claude-3.7-sonnet,w6,True,medium,high
GSM_004,anthropic/claude-3.7-sonnet,w6,False,easy,high
GSM_005,anthropic/claude-3.7-sonnet,w6,True,hard,high
GSM_006,anthropic/claude-3.7-sonnet,w6,True,medium,high
GSM_007,anthropic/claude-3.7-sonnet,w6,False,hard,high
GSM_008,anthropic/claude-3.7-sonnet,w6,True,medium,high
GSM_009,anthropic/claude-3.7-sonnet,w6,False,medium,high
GSM_010,anthropic/claude-3.7-sonnet,w6,True,medium,medium
GSM_011,anthropic/claude-3.7-sonnet,w6,True,medium,medium
GSM_012,anthropic/claude-3.7-sonnet,w6,True,medium,medium
GSM_013,anthropic/claude-3.7-sonnet,w6,False,medium,medium
GSM_014,anthropic/claude-3.7-sonnet,w6,True,medium,medium
GSM_015,anthropic/claude-3.7-sonnet,w6,False,hard,medium
GSM_016,anthropic/claude-3.7-sonnet,w6,True,hard,medium
GSM_017,anthropic/claude-3.7-sonnet,w6,True,hard,medium
GSM_018,anthropic/claude-3.7-sonnet,w6,True,hard,medium
GSM_019,anthropic/claude-3.7-sonnet,w6,False,hard,medium
GSM_020,anthropic/claude-3.7-sonnet,w6,True,hard,medium
GSM_001,meta-llama/llama-3.1-8b-instruct,w6,True,medium,high
GSM_002,meta-llama/llama-3.1-8b-instruct,w6,True,easy,high
GSM_003,meta-llama/llama-3.1-8b-instruct,w6,True,medium,high
GSM_004,meta-llama/llama-3.1-8b-instruct,w6,False,easy,high
GSM_005,meta-llama/llama-3.1-8b-instruct,w6,False,hard,high
GSM_006,meta-llama/llama-3.1-8b-instruct,w6,True,medium,high
GSM_007,meta-llama/llama-3.1-8b-instruct,w6,True,hard,high
GSM_008,meta-llama/llama-3.1-8b-instruct,w6,True,medium,high
GSM_009,meta-llama/llama-3.1-8b-instruct,w6,True,medium,high
GSM_010,meta-llama/llama-3.1-8b-instruct,w6,False,medium,medium
GSM_011,meta-llama/llama-3.1-8b-instruct,w6,False,medium,medium
GSM_012,meta-llama/llama-3.1-8b-instruct,w6,False,medium,medium
GSM_013,meta-llama/llama-3.1-8b-instruct,w6,False,medium,medium
GSM_014,meta-llama/llama-3.1-8b-instruct,w6,False,medium,medium
GSM_015,meta-llama/llama-3.1-8b-instruct,w6,False,hard,medium
GSM_016,meta-llama/llama-3.1-8b-instruct,w6,False,hard,medium
GSM_017,meta-llama/llama-3.1-8b-instruct,w6,False,hard,medium
GSM_018,meta-llama/llama-3.1-8b-instruct,w6,True,hard,medium
GSM_019,meta-llama/llama-3.1-8b-instruct,w6,True,hard,medium
GSM_020,meta-llama/llama-3.1-8b-instruct,w6,True,hard,medium
GSM_001,openai/gpt-4o,w6,True,medium,high
GSM_002,openai/gpt-4o,w6,True,easy,high
GSM_003,openai/gpt-4o,w6,True,medium,high
GSM_004,openai/gpt-4o,w6,False,easy,high
GSM_005,openai/gpt-4o,w6,False,hard,high
GSM_006,openai/gpt-4o,w6,True,medium,high
GSM_007,openai/gpt-4o,w6,True,hard,high
GSM_008,openai/gpt-4o,w6,True,medium,high
GSM_009,openai/gpt-4o,w6,False,medium,high
GSM_010,openai/gpt-4o,w6,True,medium,medium
GSM_011,openai/gpt-4o,w6,True,medium,medium
GSM_012,openai/gpt-4o,w6,True,medium,medium
GSM_013,openai/gpt-4o,w6,False,medium,medium
GSM_014,openai/gpt-4o,w6,True,medium,medium
GSM_015,openai/gpt-4o,w6,False,hard,medium
GSM_016,openai/gpt-4o,w6,True,hard,medium
GSM_017,openai/gpt-4o,w6,True,hard,medium
GSM_018,openai/gpt-4o,w6,True,hard,medium
GSM_019,openai/gpt-4o,w6,False,hard,medium
GSM_020,openai/gpt-4o,w6,True,hard,medium
