family,problem_id,model,contam,var_canonical,var_w3,vri_gap,cci_effective,match_first,impl_post_correct,retrieval_votes,computation_votes,votes_total,tri_score,tri_v2_confidence,tri_v2_label,legacy_label,p1_rename_fragile,p1_w3_keep,p1_multi_variant,p1_vri_high,p2_cci_comp,p2_cci_retr,p2_match_first,p2_crit_step,p2_impl_recovery,p2_impl_fail,p3_contam_high,p3_contam_low,p3_depth_high
ALGO,CC_01,Claude,0.0,1.0,1.0,0.0,0.0,0.0,False,2.0,3.0,5.0,1.0,0.2,weak_computation,mixed,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_01,Gemini,0.0,1.0,1.0,0.0,0.0,0.0,False,2.0,3.0,5.0,1.0,0.2,weak_computation,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_01,Llama,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,1.0,3.0,-1.0,0.3333333333333333,weak_retrieval,ambiguous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_01,mock,0.0,1.0,,,,,,0.0,1.0,1.0,1.0,1.0,insufficient,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_01,GPT-4o,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,True,2.0,4.0,6.0,2.0,0.3333333333333333,computation,ambiguous,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ALGO,CC_01,o4-mini,0.0,1.0,1.0,0.0,,,True,0.0,4.0,4.0,4.0,1.0,computation,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALGO,CC_02,Claude,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,False,1.0,3.0,4.0,2.0,0.5,computation,mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_02,Gemini,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,False,1.0,3.0,4.0,2.0,0.5,computation,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_02,Llama,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,False,3.0,2.0,5.0,-1.0,0.2,weak_retrieval,ambiguous,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_02,GPT-4o,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,True,2.0,2.0,4.0,0.0,0.0,mixed,ambiguous,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALGO,CC_02,o4-mini,0.0,1.0,1.0,0.0,,,True,0.0,4.0,4.0,4.0,1.0,computation,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALGO,CC_03,Claude,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,False,1.0,3.0,4.0,2.0,0.5,computation,mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_03,Gemini,0.0,1.0,1.0,0.0,0.0,0.0,False,2.0,3.0,5.0,1.0,0.2,weak_computation,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_03,Llama,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,1.0,3.0,-1.0,0.3333333333333333,weak_retrieval,ambiguous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_03,GPT-4o,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,False,3.0,1.0,4.0,-2.0,0.5,retrieval,ambiguous,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALGO,CC_03,o4-mini,0.0,1.0,1.0,0.0,,,True,0.0,4.0,4.0,4.0,1.0,computation,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALGO,CC_031,Claude,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_031,Gemini,0.0,1.0,0.0,1.0,,,,2.0,1.0,3.0,-1.0,0.3333333333333333,weak_retrieval,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_031,Llama,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_031,GPT-4o,0.0,1.0,0.0,1.0,,,,2.0,1.0,3.0,-1.0,0.3333333333333333,weak_retrieval,ambiguous,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_031,o4-mini,0.0,1.0,0.0,1.0,,,,2.0,1.0,3.0,-1.0,0.3333333333333333,weak_retrieval,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_032,Claude,0.0,0.0,1.0,-1.0,,,,0.0,1.0,1.0,1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_032,Gemini,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,1.0,1.0,insufficient,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_032,Llama,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_032,GPT-4o,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_032,o4-mini,0.0,1.0,1.0,0.0,,,,0.0,3.0,3.0,3.0,1.0,computation,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_033,Claude,0.6875,0.0,0.0,0.0,,,,1.0,0.0,1.0,-1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_033,Gemini,0.6875,0.0,0.0,0.0,,,,1.0,0.0,1.0,-1.0,1.0,insufficient,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_033,Llama,0.6875,0.0,0.0,0.0,,,,1.0,0.0,1.0,-1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_033,GPT-4o,0.6875,0.0,0.0,0.0,,,,1.0,0.0,1.0,-1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_033,o4-mini,0.6875,1.0,1.0,0.0,,,,1.0,2.0,3.0,1.0,0.3333333333333333,weak_computation,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_034,Claude,0.0,1.0,0.0,1.0,,,,2.0,1.0,3.0,-1.0,0.3333333333333333,weak_retrieval,ambiguous,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_034,Gemini,0.0,1.0,0.0,1.0,,,,2.0,1.0,3.0,-1.0,0.3333333333333333,weak_retrieval,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_034,Llama,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_034,GPT-4o,0.0,1.0,0.0,1.0,,,,2.0,1.0,3.0,-1.0,0.3333333333333333,weak_retrieval,ambiguous,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_034,o4-mini,0.0,1.0,0.0,1.0,,,,2.0,1.0,3.0,-1.0,0.3333333333333333,weak_retrieval,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALGO,CC_035,Claude,0.6364,1.0,1.0,0.0,,,,1.0,2.0,3.0,1.0,0.3333333333333333,weak_computation,ambiguous,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_035,Gemini,0.6364,0.0,0.0,0.0,,,,1.0,0.0,1.0,-1.0,1.0,insufficient,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_035,Llama,0.6364,0.0,0.0,0.0,,,,1.0,0.0,1.0,-1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_035,GPT-4o,0.6364,1.0,1.0,0.0,,,,1.0,2.0,3.0,1.0,0.3333333333333333,weak_computation,ambiguous,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_035,o4-mini,0.6364,1.0,1.0,0.0,,,,1.0,2.0,3.0,1.0,0.3333333333333333,weak_computation,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_036,Claude,0.6667,1.0,0.0,1.0,,,,3.0,0.0,3.0,-3.0,1.0,retrieval,ambiguous,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_036,Gemini,0.6667,0.0,0.0,0.0,,,,1.0,0.0,1.0,-1.0,1.0,insufficient,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_036,Llama,0.6667,0.0,0.0,0.0,,,,1.0,0.0,1.0,-1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_036,GPT-4o,0.6667,0.0,0.0,0.0,,,,1.0,0.0,1.0,-1.0,1.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_036,o4-mini,0.6667,1.0,0.0,1.0,,,,3.0,0.0,3.0,-3.0,1.0,retrieval,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALGO,CC_037,Claude,0.5714,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,insufficient,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
