metric,model,contamination_pole,value,n
mean_cci_excluding_valid_divergence,anthropic/claude-sonnet-4,,0.23105909090909088,44
mean_cci_excluding_valid_divergence,google/gemini-2.5-flash,,0.2696977272727273,44
mean_cci_excluding_valid_divergence,meta-llama/llama-3.1-8b-instruct,,0.16723181818181818,44
mean_cci_excluding_valid_divergence,openai/gpt-4o,,0.10833409090909091,44
mean_tep,anthropic/claude-sonnet-4,,0.5390159090909091,44
mean_tep,google/gemini-2.5-flash,,0.6515136363636364,44
mean_tep,meta-llama/llama-3.1-8b-instruct,,0.7727272727272727,44
mean_tep,openai/gpt-4o,,0.5984863636363635,44
valid_divergence_rate,anthropic/claude-sonnet-4,,0.0,44
valid_divergence_rate,google/gemini-2.5-flash,,0.0,44
valid_divergence_rate,meta-llama/llama-3.1-8b-instruct,,0.0,44
valid_divergence_rate,openai/gpt-4o,,0.0,44
mean_cci_by_contamination_excluding_valid_divergence,anthropic/claude-sonnet-4,high,0.2519777777777778,18
mean_cci_by_contamination_excluding_valid_divergence,anthropic/claude-sonnet-4,medium,0.21657692307692308,26
mean_cci_by_contamination_excluding_valid_divergence,google/gemini-2.5-flash,high,0.34304999999999997,18
mean_cci_by_contamination_excluding_valid_divergence,google/gemini-2.5-flash,medium,0.2189153846153846,26
mean_cci_by_contamination_excluding_valid_divergence,meta-llama/llama-3.1-8b-instruct,high,0.15463333333333334,18
mean_cci_by_contamination_excluding_valid_divergence,meta-llama/llama-3.1-8b-instruct,medium,0.17595384615384616,26
mean_cci_by_contamination_excluding_valid_divergence,openai/gpt-4o,high,0.10476111111111111,18
mean_cci_by_contamination_excluding_valid_divergence,openai/gpt-4o,medium,0.11080769230769232,26
