problem_id,var_canonical,var_w5,css,behavioral_model,contamination_score,crystallization_layer,cci,problem_family,var_signal,css_signal,contamination_signal,cci_signal,agreement,n_signals,diagnosis
GSM_005,1.0,1.0,0.5,anthropic/claude-sonnet-4,0.1167,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_057,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.1316,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_042,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.0,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_053,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.1091,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_058,0.0,1.0,0.75,anthropic/claude-sonnet-4,0.0,,,arithmetic_reasoning,retrieval,computation,computation,,diverging,2,diverging
GSM_063,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.0968,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_050,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.1714,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_013,0.0,0.0,0.75,anthropic/claude-sonnet-4,0.1111,-1.0,,arithmetic_reasoning,retrieval,computation,computation,,diverging,2,diverging
GSM_014,1.0,0.0,1.0,anthropic/claude-sonnet-4,0.1591,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_049,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.125,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_062,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.0741,,0.0,arithmetic_reasoning,retrieval,retrieval,computation,retrieval,diverging,3,diverging
GSM_048,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.0972,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_001,1.0,0.0,1.0,anthropic/claude-sonnet-4,0.1667,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_018,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.0893,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_041,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.1087,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_043,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.0,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_010,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.0625,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_056,1.0,0.0,0.75,anthropic/claude-sonnet-4,0.0988,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_047,1.0,1.0,0.25,anthropic/claude-sonnet-4,0.1579,,,arithmetic_reasoning,computation,retrieval,computation,,converging,2,converging_computation
GSM_060,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.08,,0.2857,arithmetic_reasoning,retrieval,retrieval,computation,retrieval,diverging,3,diverging
GSM_059,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.0566,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_008,1.0,0.0,0.75,anthropic/claude-sonnet-4,0.2273,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_051,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.1429,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_016,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.0565,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_015,1.0,1.0,0.5,anthropic/claude-sonnet-4,0.0779,-1.0,0.0,arithmetic_reasoning,computation,computation,computation,retrieval,diverging,3,diverging
GSM_045,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.1562,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_052,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.1765,,0.1429,arithmetic_reasoning,retrieval,retrieval,computation,retrieval,diverging,3,diverging
GSM_007,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.1389,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_064,1.0,0.0,1.0,anthropic/claude-sonnet-4,0.25,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_017,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.1013,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_011,1.0,0.0,0.75,anthropic/claude-sonnet-4,0.1,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_054,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.1296,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_009,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.1818,-1.0,,arithmetic_reasoning,retrieval,retrieval,computation,,diverging,2,diverging
GSM_055,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.0943,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_002,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.24,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_004,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.1875,-1.0,0.5,arithmetic_reasoning,computation,computation,computation,computation,converging,3,converging_computation
GSM_044,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.0685,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_046,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.0,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_019,0.0,1.0,0.75,anthropic/claude-sonnet-4,0.0659,-1.0,,arithmetic_reasoning,retrieval,computation,computation,,diverging,2,diverging
GSM_006,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.1892,-1.0,0.0,arithmetic_reasoning,computation,computation,computation,retrieval,diverging,3,diverging
GSM_061,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.0,,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_012,1.0,0.0,0.5,anthropic/claude-sonnet-4,0.1077,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_020,1.0,1.0,1.0,anthropic/claude-sonnet-4,0.0847,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_003,1.0,1.0,0.5,anthropic/claude-sonnet-4,0.1842,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
