subtype,model_a,model_b,definition,n,a_W3,b_W3,fisher_p,acc_diff,ci_lo,ci_hi
SP,Claude,GPT-4o,paired,34,0,9,0.002128700758502569,-0.2647058823529412,-0.4117647058823529,-0.11764705882352941
SP,Claude,GPT-4o,canonically-matched,11,0,5,0.03508771929824561,-0.45454545454545453,-0.7272727272727273,-0.18181818181818182
SP,Claude,Llama,paired,34,0,0,1.0,0.0,0.0,0.0
SP,Claude,Llama,canonically-matched,1,0,0,1.0,0.0,0.0,0.0
SP,Claude,Gemini,paired,34,0,11,0.00037323800558198173,-0.3235294117647059,-0.47058823529411764,-0.17647058823529413
SP,Claude,Gemini,canonically-matched,18,0,8,0.0028921023359288096,-0.4444444444444444,-0.6666666666666666,-0.2222222222222222
SP,Claude,o4-mini,paired,34,0,30,5.188549003749406e-15,-0.8823529411764706,-0.9705882352941176,-0.7647058823529411
SP,Claude,o4-mini,canonically-matched,22,0,20,2.6234507478872397e-10,-0.9090909090909091,-1.0,-0.7727272727272727
SP,GPT-4o,Llama,paired,34,9,0,0.002128700758502569,0.2647058823529412,0.11764705882352941,0.4117647058823529
SP,GPT-4o,Llama,canonically-matched,2,1,0,1.0,0.5,0.0,1.0
SP,GPT-4o,Gemini,paired,34,9,11,0.7906045203898735,-0.05882352941176472,-0.2058823529411765,0.08823529411764708
SP,GPT-4o,Gemini,canonically-matched,10,5,6,1.0,-0.09999999999999998,-0.4,0.20000000000000007
SP,GPT-4o,o4-mini,paired,34,9,30,3.700373425562224e-07,-0.6176470588235294,-0.7647058823529411,-0.4411764705882353
SP,GPT-4o,o4-mini,canonically-matched,14,7,14,0.005797101449275362,-0.5,-0.7857142857142857,-0.2142857142857143
SP,Llama,Gemini,paired,34,0,11,0.00037323800558198173,-0.3235294117647059,-0.5,-0.17647058823529413
SP,Llama,o4-mini,paired,34,0,30,5.188549003749406e-15,-0.8823529411764706,-0.9705882352941176,-0.7647058823529411
SP,Llama,o4-mini,canonically-matched,2,0,2,0.3333333333333333,-1.0,-1.0,-1.0
SP,Gemini,o4-mini,paired,34,11,30,4.136875576826001e-06,-0.5588235294117647,-0.7352941176470588,-0.38235294117647056
SP,Gemini,o4-mini,canonically-matched,23,9,20,0.001802636991922118,-0.47826086956521735,-0.6956521739130435,-0.26086956521739135
CC,Claude,GPT-4o,paired,10,6,0,0.010835913312693497,0.6,0.3,0.9
CC,Claude,GPT-4o,canonically-matched,5,4,0,0.04761904761904762,0.8,0.4,1.0
CC,Claude,Llama,paired,10,6,0,0.010835913312693497,0.6,0.3,0.9
CC,Claude,Llama,canonically-matched,2,2,0,0.3333333333333333,1.0,1.0,1.0
CC,Claude,Gemini,paired,10,6,7,1.0,-0.09999999999999998,-0.4,0.20000000000000007
CC,Claude,Gemini,canonically-matched,5,5,5,1.0,0.0,0.0,0.0
CC,Claude,o4-mini,paired,10,6,10,0.08668730650154799,-0.4,-0.7,-0.09999999999999998
CC,Claude,o4-mini,canonically-matched,7,5,7,0.46153846153846156,-0.2857142857142857,-0.5714285714285714,0.0
CC,GPT-4o,Llama,paired,10,0,0,1.0,0.0,0.0,0.0
CC,GPT-4o,Llama,canonically-matched,1,0,0,1.0,0.0,0.0,0.0
CC,GPT-4o,Gemini,paired,10,0,7,0.0030959752321981426,-0.7,-1.0,-0.4
CC,GPT-4o,Gemini,canonically-matched,4,0,4,0.028571428571428567,-1.0,-1.0,-1.0
CC,GPT-4o,o4-mini,paired,10,0,10,1.082508822446903e-05,-1.0,-1.0,-1.0
CC,GPT-4o,o4-mini,canonically-matched,6,0,6,0.0021645021645021645,-1.0,-1.0,-1.0
CC,Llama,Gemini,paired,10,0,7,0.0030959752321981426,-0.7,-1.0,-0.4
CC,Llama,Gemini,canonically-matched,2,0,2,0.3333333333333333,-1.0,-1.0,-1.0
CC,Llama,o4-mini,paired,10,0,10,1.082508822446903e-05,-1.0,-1.0,-1.0
CC,Llama,o4-mini,canonically-matched,2,0,2,0.3333333333333333,-1.0,-1.0,-1.0
CC,Gemini,o4-mini,paired,10,7,10,0.21052631578947367,-0.30000000000000004,-0.6,0.0
CC,Gemini,o4-mini,canonically-matched,5,5,5,1.0,0.0,0.0,0.0
WIS,Claude,GPT-4o,paired,17,0,0,1.0,0.0,0.0,0.0
WIS,Claude,GPT-4o,canonically-matched,1,0,0,1.0,0.0,0.0,0.0
WIS,Claude,Llama,paired,17,0,1,1.0,-0.058823529411764705,-0.17647058823529413,0.0
WIS,Claude,Gemini,paired,17,0,0,1.0,0.0,0.0,0.0
WIS,Claude,Gemini,canonically-matched,2,0,0,1.0,0.0,0.0,0.0
WIS,Claude,o4-mini,paired,17,0,0,1.0,0.0,0.0,0.0
WIS,Claude,o4-mini,canonically-matched,6,0,0,1.0,0.0,0.0,0.0
WIS,GPT-4o,Llama,paired,17,0,1,1.0,-0.058823529411764705,-0.17647058823529413,0.0
WIS,GPT-4o,Llama,canonically-matched,1,0,0,1.0,0.0,0.0,0.0
WIS,GPT-4o,Gemini,paired,17,0,0,1.0,0.0,0.0,0.0
WIS,GPT-4o,Gemini,canonically-matched,3,0,0,1.0,0.0,0.0,0.0
WIS,GPT-4o,o4-mini,paired,17,0,0,1.0,0.0,0.0,0.0
WIS,GPT-4o,o4-mini,canonically-matched,6,0,0,1.0,0.0,0.0,0.0
WIS,Llama,Gemini,paired,17,1,0,1.0,0.058823529411764705,0.0,0.17647058823529413
WIS,Llama,Gemini,canonically-matched,1,0,0,1.0,0.0,0.0,0.0
WIS,Llama,o4-mini,paired,17,1,0,1.0,0.058823529411764705,0.0,0.17647058823529413
WIS,Llama,o4-mini,canonically-matched,1,0,0,1.0,0.0,0.0,0.0
WIS,Gemini,o4-mini,paired,17,0,0,1.0,0.0,0.0,0.0
WIS,Gemini,o4-mini,canonically-matched,6,0,0,1.0,0.0,0.0,0.0
