problem_id,base_id,var_canonical,var_w5,css,behavioral_model,contamination_score,crystallization_layer,cci,problem_family,execution_unavailable,var_signal,css_signal,contamination_signal,cci_signal,agreement,n_signals,diagnosis
BW_120_W6,BW_120,,,,,,-1.0,,planning_suite,False,,,,,insufficient,0,insufficient
BW_227,BW_227,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0345,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_502,BW_502,1.0,1.0,0.25,anthropic/claude-sonnet-4,0.0429,,,planning_suite,False,computation,retrieval,computation,,converging,2,converging_computation
GSM_018,GSM_018,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_E017,BW_E017,1.0,1.0,0.25,anthropic/claude-sonnet-4,0.0423,-1.0,,planning_suite,True,computation,retrieval,computation,,execution_unavailable,2,execution_unavailable
GSM_058,GSM_058,0.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,retrieval,computation,,,insufficient,1,insufficient
GSM_061,GSM_061,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_497,BW_497,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0526,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_055,GSM_055,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
GSM_002,GSM_002,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_002,BW_002,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0375,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
GSM_012,GSM_012,1.0,0.0,0.25,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,retrieval,,,insufficient,1,insufficient
GSM_056,GSM_056,1.0,0.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_014,BW_014,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.0455,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
BW_172,BW_172,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0319,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_013,GSM_013,0.0,0.0,0.5,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,retrieval,computation,,,insufficient,1,insufficient
BW_510,BW_510,0.0,0.0,0.25,anthropic/claude-sonnet-4,0.0373,,0.0,planning_suite,False,retrieval,retrieval,computation,retrieval,diverging,3,diverging
BW_495,BW_495,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0411,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
BW_E015,BW_E015,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.0414,-1.0,,planning_suite,True,computation,computation,computation,,execution_unavailable,2,execution_unavailable
BW_E_005,BW_E_005,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0408,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
GSM_017,GSM_017,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_499,BW_499,1.0,0.0,0.25,anthropic/claude-sonnet-4,0.0408,,,planning_suite,False,computation,retrieval,computation,,converging,2,converging_computation
GSM_049,GSM_049,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_500,BW_500,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0357,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_E100_W6,BW_E100,,,,,,-1.0,,planning_suite,True,,,,,execution_unavailable,0,execution_unavailable
GSM_006,GSM_006,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
MBW_037,MBW_037,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0439,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
MBW_497,MBW_497,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0504,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_282,BW_282,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0411,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
GSM_001,GSM_001,1.0,0.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
MBW_100,MBW_100,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0439,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_057,GSM_057,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_010,BW_010,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.0411,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_042,GSM_042,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_137,BW_137,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0319,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_003,GSM_003,1.0,1.0,0.5,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
GSM_047,GSM_047,0.0,1.0,0.25,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,retrieval,retrieval,,,insufficient,1,insufficient
BW_E_002,BW_E_002,1.0,0.0,0.25,anthropic/claude-sonnet-4,0.0429,,,planning_suite,True,computation,retrieval,computation,,execution_unavailable,2,execution_unavailable
BW_E_001,BW_E_001,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0455,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
BW_504,BW_504,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0497,,0.0,planning_suite,False,retrieval,retrieval,computation,retrieval,diverging,3,diverging
BW_E_004,BW_E_004,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.0417,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
BW_331,BW_331,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.0455,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
MBW_001,MBW_001,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0385,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_408,BW_408,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0359,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
