family,probe,model,bank_canonical_n,observed_canonical_n,bank_total_n,observed_total_n,n_errors,canonical_complete,bank_complete,missing_canonical_ids,extra_canonical_ids,missing_pair_count,extra_pair_count,reference_full_n,coverage_label,canonical_expected,canonical_observed,W1_expected,W1_observed,W2_expected,W2_observed,W3_expected,W3_observed,W4_expected,W4_observed,W5_expected,W5_observed,W6_expected,W6_observed,reference_model,in_master_coverage_table,missing_canonical_n
GSM,P1,Claude,44,44,288.0,288.0,0.0,True,True,,,0.0,0.0,44.0,full_bank,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,24.0,24.0,,True,
GSM,P1,Gemini,44,44,288.0,288.0,0.0,True,True,,,0.0,0.0,44.0,full_bank,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,24.0,24.0,,True,
GSM,P1,GPT-4o,44,20,288.0,120.0,0.0,False,False,"GSM_041,GSM_042,GSM_043,GSM_044,GSM_045,GSM_046,GSM_047,GSM_048,GSM_049,GSM_050,GSM_051,GSM_052,GSM_053,GSM_054,GSM_055,GSM_056,GSM_057,GSM_058,GSM_059,GSM_060,GSM_061,GSM_062,GSM_063,GSM_064",,168.0,0.0,44.0,partial,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,24.0,0.0,,True,
GSM,P1,Llama,44,20,288.0,120.0,0.0,False,False,"GSM_041,GSM_042,GSM_043,GSM_044,GSM_045,GSM_046,GSM_047,GSM_048,GSM_049,GSM_050,GSM_051,GSM_052,GSM_053,GSM_054,GSM_055,GSM_056,GSM_057,GSM_058,GSM_059,GSM_060,GSM_061,GSM_062,GSM_063,GSM_064",,168.0,0.0,44.0,partial,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,24.0,0.0,,True,
GSM,P1,o4-mini,44,44,288.0,288.0,0.0,True,True,,,0.0,0.0,44.0,full_bank,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,24.0,24.0,,True,
ALGO,P1,Claude,110,110,690.0,690.0,0.0,True,True,,,0.0,0.0,110.0,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,,True,
ALGO,P1,Gemini,110,110,690.0,690.0,0.0,True,True,,,0.0,0.0,110.0,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,,True,
ALGO,P1,GPT-4o,110,110,690.0,690.0,0.0,True,True,,,0.0,0.0,110.0,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,,True,
ALGO,P1,Llama,110,110,690.0,690.0,0.0,True,True,,,0.0,0.0,110.0,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,,True,
ALGO,P1,o4-mini,110,110,690.0,690.0,0.0,True,True,,,0.0,0.0,110.0,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,,True,
