problem_id,var_canonical,var_w5,css,behavioral_model,contamination_score,cci,problem_family,var_signal,css_signal,contamination_signal,cci_signal,agreement,n_signals,diagnosis
GSM_014,1.0,,,anthropic/claude-3.7-sonnet,0.1591,0.4545454545454545,arithmetic_reasoning,computation,,computation,computation,converging,3,converging_computation
GSM_012,1.0,,,anthropic/claude-3.7-sonnet,0.1077,,arithmetic_reasoning,computation,,computation,,converging,2,converging_computation
GSM_013,0.0,,,anthropic/claude-3.7-sonnet,0.1111,0.3,arithmetic_reasoning,retrieval,,computation,retrieval,diverging,3,diverging
GSM_017,1.0,,,anthropic/claude-3.7-sonnet,0.1013,0.4166666666666667,arithmetic_reasoning,computation,,computation,computation,converging,3,converging_computation
GSM_020,1.0,,,anthropic/claude-3.7-sonnet,0.0847,,arithmetic_reasoning,computation,,computation,,converging,2,converging_computation
GSM_019,0.0,,,anthropic/claude-3.7-sonnet,0.0659,0.3,arithmetic_reasoning,retrieval,,computation,retrieval,diverging,3,diverging
GSM_005,0.0,,,anthropic/claude-3.7-sonnet,0.1167,0.3333333333333333,arithmetic_reasoning,retrieval,,computation,retrieval,diverging,3,diverging
GSM_004,1.0,,,anthropic/claude-3.7-sonnet,0.1875,,arithmetic_reasoning,computation,,computation,,converging,2,converging_computation
GSM_006,1.0,,,anthropic/claude-3.7-sonnet,0.1892,0.5714285714285714,arithmetic_reasoning,computation,,computation,computation,converging,3,converging_computation
GSM_007,1.0,,,anthropic/claude-3.7-sonnet,0.1389,0.8333333333333334,arithmetic_reasoning,computation,,computation,computation,converging,3,converging_computation
GSM_018,1.0,,,anthropic/claude-3.7-sonnet,0.0893,0.4545454545454545,arithmetic_reasoning,computation,,computation,computation,converging,3,converging_computation
GSM_009,0.0,,,anthropic/claude-3.7-sonnet,0.1818,0.2222222222222222,arithmetic_reasoning,retrieval,,computation,retrieval,diverging,3,diverging
GSM_011,1.0,,,anthropic/claude-3.7-sonnet,0.1,,arithmetic_reasoning,computation,,computation,,converging,2,converging_computation
GSM_002,1.0,,,anthropic/claude-3.7-sonnet,0.24,,arithmetic_reasoning,computation,,computation,,converging,2,converging_computation
GSM_001,1.0,,,anthropic/claude-3.7-sonnet,0.1667,0.4444444444444444,arithmetic_reasoning,computation,,computation,computation,converging,3,converging_computation
GSM_003,1.0,,,anthropic/claude-3.7-sonnet,0.1842,,arithmetic_reasoning,computation,,computation,,converging,2,converging_computation
GSM_008,1.0,,,anthropic/claude-3.7-sonnet,0.2273,0.6666666666666666,arithmetic_reasoning,computation,,computation,computation,converging,3,converging_computation
GSM_015,1.0,,,anthropic/claude-3.7-sonnet,0.0779,0.3333333333333333,arithmetic_reasoning,computation,,computation,retrieval,diverging,3,diverging
GSM_010,1.0,,,anthropic/claude-3.7-sonnet,0.0625,0.75,arithmetic_reasoning,computation,,computation,computation,converging,3,converging_computation
GSM_016,1.0,,,anthropic/claude-3.7-sonnet,0.0565,,arithmetic_reasoning,computation,,computation,,converging,2,converging_computation
