problem_id,family,subtype,variant_type,layer,n_layers,rank,logprob,cosine_to_gold_unembed,gold_value,gold_token_ids,gold_token_decoded,gold_first_token_note,model,model_answer,model_correct,p1_behavioral_correct,verify_reason
GSM_001,gsm,GSM,canonical,0,32,65504,-11.762071,-7.7e-05,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,1,32,62948,-11.761472,0.001827,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,2,32,51259,-11.756294,0.00626,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,3,32,103307,-11.789286,-0.00869,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,4,32,89661,-11.787292,-0.003471,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,5,32,124127,-11.878816,-0.022254,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,6,32,123633,-11.874234,-0.020949,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,7,32,107274,-11.827682,-0.009114,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,8,32,84524,-11.793907,0.00076,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,9,32,55834,-11.753143,0.009712,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,10,32,59117,-11.757955,0.012829,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,11,32,60373,-11.760014,0.011374,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,12,32,65475,-11.769676,0.008526,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,13,32,117960,-11.903964,-0.016686,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,14,32,57275,-11.754097,0.003377,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,15,32,76184,-11.794562,-0.005006,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,16,32,16727,-11.624335,0.007534,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,17,32,33728,-11.672762,-0.002255,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,18,32,20736,-11.588795,0.001506,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,19,32,12496,-11.494379,0.004908,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,20,32,6077,-11.393196,0.012008,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,21,32,3627,-11.2509,0.016221,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,22,32,1262,-11.063574,0.024961,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,23,32,896,-10.911583,0.028978,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,24,32,777,-10.757428,0.030203,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,25,32,543,-10.653207,0.033566,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,26,32,378,-10.406298,0.037273,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,27,32,243,-10.16258,0.042824,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,28,32,189,-9.853583,0.04797,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,29,32,107,-9.397934,0.058359,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,30,32,64,-8.688742,0.073268,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_001,gsm,GSM,canonical,31,32,49,-5.945493,0.127374,51,[3971],51,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",True,True,gsm_match
GSM_002,gsm,GSM,canonical,0,32,44921,-11.757814,0.004321,30,[966],30,first_token_of_content_span,meta-llama/Llama-3.1-8B-Instruct,18 + (2/3 * 18) = 18 + 12 = 30,True,True,gsm_match
