family,phase,track,source_file,model,n_rows,n_sessions
ALGO,2A,normal,results/raw/ALGO_P2_phase2_normal.csv,anthropic/claude-sonnet-4,450,110
ALGO,2A,normal,results/raw/ALGO_P2_phase2_normal.csv,google/gemini-2.5-flash,450,110
ALGO,2A,normal,results/raw/ALGO_P2_phase2_normal.csv,meta-llama/llama-3.1-8b-instruct,450,110
ALGO,2A,normal,results/raw/ALGO_P2_phase2_normal.csv,openai/gpt-4o,450,110
ALGO,2A,normal,results/raw/ALGO_P2_phase2_normal.csv,openai/o4-mini,450,110
ALGO,2A,normal_elicited,results/raw/ALGO_P2_phase2_normal_elicited.csv,anthropic/claude-sonnet-4,181,61
ALGO,2A,normal_elicited,results/raw/ALGO_P2_phase2_normal_elicited.csv,google/gemini-2.5-flash,181,61
ALGO,2A,normal_elicited,results/raw/ALGO_P2_phase2_normal_elicited.csv,meta-llama/llama-3.1-8b-instruct,181,61
ALGO,2A,normal_elicited,results/raw/ALGO_P2_phase2_normal_elicited.csv,openai/gpt-4o,450,110
ALGO,2A,normal_elicited,results/raw/ALGO_P2_phase2_normal_elicited.csv,openai/o4-mini,450,110
ALGO,2A,normal_gemini_sidecar,results/raw/ALGO_P2_phase2_normal_gemini.csv,google/gemini-2.5-flash,181,61
ALGO,2B,injected_plausible,results/raw/ALGO_P2_phase2_injected.csv,anthropic/claude-sonnet-4,181,61
ALGO,2B,injected_plausible,results/raw/ALGO_P2_phase2_injected.csv,google/gemini-2.5-flash,181,61
ALGO,2B,injected_plausible,results/raw/ALGO_P2_phase2_injected.csv,meta-llama/llama-3.1-8b-instruct,181,61
ALGO,2B,injected_plausible,results/raw/ALGO_P2_phase2_injected.csv,openai/gpt-4o,181,61
ALGO,2B,injected_plausible,results/raw/ALGO_P2_phase2_injected.csv,openai/o4-mini,181,61
ALGO,2B,injected_implausible,results/raw/ALGO_P2_phase2_injected_implausible.csv,anthropic/claude-sonnet-4,181,61
ALGO,2B,injected_implausible,results/raw/ALGO_P2_phase2_injected_implausible.csv,google/gemini-2.5-flash,181,61
ALGO,2B,injected_implausible,results/raw/ALGO_P2_phase2_injected_implausible.csv,meta-llama/llama-3.1-8b-instruct,181,61
ALGO,2B,injected_implausible,results/raw/ALGO_P2_phase2_injected_implausible.csv,openai/gpt-4o,181,61
ALGO,2B,injected_implausible,results/raw/ALGO_P2_phase2_injected_implausible.csv,openai/o4-mini,181,61
ALGO,2B,injected_gemini_sidecar,results/raw/ALGO_P2_phase2_injected_gemini.csv,google/gemini-2.5-flash,181,61
GSM,2A,cci_columns_in_shared_file,results/raw/GSM_P2_cci.csv,anthropic/claude-sonnet-4,44,44
GSM,2A,cci_columns_in_shared_file,results/raw/GSM_P2_cci.csv,google/gemini-2.5-flash,44,44
GSM,2A,cci_columns_in_shared_file,results/raw/GSM_P2_cci.csv,meta-llama/llama-3.1-8b-instruct,44,44
GSM,2A,cci_columns_in_shared_file,results/raw/GSM_P2_cci.csv,openai/gpt-4o,44,44
GSM,2B,tep_columns_in_shared_file,results/raw/GSM_P2_cci.csv,anthropic/claude-sonnet-4,44,44
GSM,2B,tep_columns_in_shared_file,results/raw/GSM_P2_cci.csv,google/gemini-2.5-flash,44,44
GSM,2B,tep_columns_in_shared_file,results/raw/GSM_P2_cci.csv,meta-llama/llama-3.1-8b-instruct,44,44
GSM,2B,tep_columns_in_shared_file,results/raw/GSM_P2_cci.csv,openai/gpt-4o,44,44
BW,2A,cci_strict,results/raw/BW_P2_cci.csv,anthropic/claude-sonnet-4,50,50
BW,2A,cci_strict,results/raw/BW_P2_cci.csv,meta-llama/llama-3.1-8b-instruct,50,50
BW,2A,cci_strict,results/raw/BW_P2_cci.csv,openai/gpt-4o,50,50
BW,2A,cci_nl,results/raw/BW_P2_cci_nl.csv,anthropic/claude-sonnet-4,50,50
BW,2A,cci_nl,results/raw/BW_P2_cci_nl.csv,meta-llama/llama-3.1-8b-instruct,50,50
BW,2A,cci_nl,results/raw/BW_P2_cci_nl.csv,openai/gpt-4o,50,50
BW,2A,mbw_cci_nl,results/raw/MBW_P2_cci_nl.csv,anthropic/claude-sonnet-4,15,15
BW,2A,mbw_cci_nl,results/raw/MBW_P2_cci_nl.csv,meta-llama/llama-3.1-8b-instruct,15,15
BW,2A,mbw_cci_nl,results/raw/MBW_P2_cci_nl.csv,openai/gpt-4o,15,15
BW,2B,tep,results/raw/BW_P2_tep.csv,anthropic/claude-sonnet-4,177,177
BW,2B,tep,results/raw/BW_P2_tep.csv,meta-llama/llama-3.1-8b-instruct,179,179
BW,2B,tep,results/raw/BW_P2_tep.csv,openai/gpt-4o,180,180
