problem_id,problem_family,variant_type,model,crystallization_layer,n_layers_processed,layer_cosine_similarities
GSM_001,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_002,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_003,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_004,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_005,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_006,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_007,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_008,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_009,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_010,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_011,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_012,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_013,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_014,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_015,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_016,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_017,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_018,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_019,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
GSM_020,arithmetic_reasoning,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,[]
