model,variant_type,var_score,n,ci_lower,ci_upper
anthropic/claude-3.7-sonnet,canonical,0.8,20,0.6,0.95
anthropic/claude-3.7-sonnet,w1,0.8,20,0.6,0.95
anthropic/claude-3.7-sonnet,w2,0.35,20,0.15,0.55
anthropic/claude-3.7-sonnet,w3,0.45,20,0.25,0.65
anthropic/claude-3.7-sonnet,w4,0.5,20,0.3,0.7
anthropic/claude-3.7-sonnet,w5,0.35,20,0.15,0.55
anthropic/claude-3.7-sonnet,w6,0.7,20,0.5,0.9
meta-llama/llama-3.1-8b-instruct,canonical,0.75,20,0.55,0.9
meta-llama/llama-3.1-8b-instruct,w1,0.75,20,0.55,0.9012499999999818
meta-llama/llama-3.1-8b-instruct,w2,0.3,20,0.1,0.5
meta-llama/llama-3.1-8b-instruct,w3,0.1,20,0.0,0.25
meta-llama/llama-3.1-8b-instruct,w4,0.25,20,0.1,0.45
meta-llama/llama-3.1-8b-instruct,w5,0.1,20,0.0,0.25
meta-llama/llama-3.1-8b-instruct,w6,0.5,20,0.3,0.7
openai/gpt-4o,canonical,0.9,20,0.75,1.0
openai/gpt-4o,w1,0.65,20,0.45,0.85
openai/gpt-4o,w2,0.3,20,0.1,0.5
openai/gpt-4o,w3,0.25,20,0.1,0.45
openai/gpt-4o,w4,0.35,20,0.15,0.55
openai/gpt-4o,w5,0.2,20,0.05,0.4
openai/gpt-4o,w6,0.7,20,0.5,0.9
