analysis,subset,clustering,n_pairs,n_clusters,mean_delta_perturbed,mean_delta_canonical,excess_rate_difference,ci_low,ci_high,p_clustered,p_value_method,n_boot,seed,ci_excludes_zero,note
o13_unpaired_equal_weight_defect_means,all_scored_rows,none_point_estimate,348,3,0.1706,0.0543,0.1163,,,,none,,42,,"O13 definition: per-defect (acc_after−acc_before) with Nones dropped per side (BW_parser before often None when legacy parse fails), then equal-weight average across 3 defects. n_affected_rows=348 (target 64+92+192=348). ALGO_SP_W3_node_mapping: Δp=0.2153 Δc=0.1127 aff=92; BW_W3_action_mapping: Δp=0.2092 Δc=0.0000 aff=64; BW_legacy_state_parser: Δp=0.0874 Δc=0.0502 aff=192"
o13_equal_weight_defect_means,all_matched_pairs,none_point_estimate,867,3,0.2193,0.0545,0.1648,,,,none,,42,,Equal-weight average of per-defect mean deltas (O13 TABLE A / sign-test input). Per-defect: ALGO_SP_W3_node_mapping: Δp=0.2153 Δc=0.1131 excess=0.1022 n=274; BW_W3_action_mapping: Δp=0.1831 Δc=0.0000 excess=0.1831 n=295; BW_legacy_state_parser: Δp=0.2595 Δc=0.0503 excess=0.2092 n=298
paired_excess_delta_pert_minus_delta_can,all_matched_pairs,cluster_by_defect,867,3,0.2195,0.0531,0.1665,0.1022,0.2092,0.0002,cluster_bootstrap_H0_mean_excess=0,5000,42,True,NOTE: clustering on 3 defects is itself low-powered (same limitation as O13 sign test); prefer problem_id clustering for power. Matched (model×problem) pairs; BW_legacy_state_parser aggregates non-canonical variants to mean Δ before pairing. O13 defect-equal-weight reference: Δ_pert≈0.171 Δ_can≈0.054 excess≈0.116.
paired_excess_delta_pert_minus_delta_can,all_matched_pairs,cluster_by_problem_id,867,105,0.2195,0.0531,0.1665,0.1417,0.191,0.0002,cluster_bootstrap_H0_mean_excess=0,5000,42,True,Matched (model×problem) pairs; BW_legacy_state_parser aggregates non-canonical variants to mean Δ before pairing. O13 defect-equal-weight reference: Δ_pert≈0.171 Δ_can≈0.054 excess≈0.116.
paired_excess_delta_pert_minus_delta_can,perturbed_verdict_flipped,cluster_by_defect,279,3,0.6822,0.1685,0.5137,0.3755,1.0,0.0002,cluster_bootstrap_H0_mean_excess=0,5000,42,True,NOTE: clustering on 3 defects is itself low-powered (same limitation as O13 sign test); prefer problem_id clustering for power. Subset where perturbed Δ≠0 (n=279 pairs). Selective-bias arm among the affected scored rows. O13 defect-equal-weight reference: Δ_pert≈0.171 Δ_can≈0.054 excess≈0.116.
paired_excess_delta_pert_minus_delta_can,perturbed_verdict_flipped,cluster_by_problem_id,279,101,0.6822,0.1685,0.5137,0.4599,0.5627,0.0002,cluster_bootstrap_H0_mean_excess=0,5000,42,True,Subset where perturbed Δ≠0 (n=279 pairs). Selective-bias arm among the affected scored rows. O13 defect-equal-weight reference: Δ_pert≈0.171 Δ_can≈0.054 excess≈0.116.
paired_excess_delta_pert_minus_delta_can,either_verdict_flipped,cluster_by_defect,280,3,0.6798,0.1643,0.5155,0.3755,1.0,0.0002,cluster_bootstrap_H0_mean_excess=0,5000,42,True,NOTE: clustering on 3 defects is itself low-powered (same limitation as O13 sign test); prefer problem_id clustering for power. Pairs where pert and/or canonical verdict flipped. O13 defect-equal-weight reference: Δ_pert≈0.171 Δ_can≈0.054 excess≈0.116.
paired_excess_delta_pert_minus_delta_can,either_verdict_flipped,cluster_by_problem_id,280,101,0.6798,0.1643,0.5155,0.462,0.565,0.0002,cluster_bootstrap_H0_mean_excess=0,5000,42,True,Pairs where pert and/or canonical verdict flipped. O13 defect-equal-weight reference: Δ_pert≈0.171 Δ_can≈0.054 excess≈0.116.
per_defect_descriptive,all_matched_pairs,defect=ALGO_SP_W3_node_mapping,274,1,0.2153,0.1131,0.1022,,,,none,,42,,n_pert_flipped=59; n_can_flipped=33
per_defect_descriptive,all_matched_pairs,defect=BW_W3_action_mapping,295,1,0.1831,0.0,0.1831,,,,none,,42,,n_pert_flipped=54; n_can_flipped=0
per_defect_descriptive,all_matched_pairs,defect=BW_legacy_state_parser,298,1,0.2595,0.0503,0.2092,,,,none,,42,,n_pert_flipped=166; n_can_flipped=15
reference_o13_defect_sign_test,n_graded_defects=3,defect_sign_test,3,3,0.1706,0.0543,0.1163,,,0.25,exact_binomial_sign_test,,,,"UNDERPOWERED reference (n=3, p=0.25). C5 replaces this with item-level rate difference + cluster-bootstrap CI. Clustering on 3 defects remains low-powered — report alongside problem_id clustering."
