problem_id,model,family,subtype,VAR,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6
BW_001,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BW_002,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
BW_010,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
BW_011,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_014,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_022,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_080,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_120,google/gemini-2.5-flash,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_137,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_155,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_172,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
BW_203,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
BW_227,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_282,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
BW_310,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
BW_331,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_350,google/gemini-2.5-flash,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_408,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_467,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_495,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
BW_496,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_497,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
BW_498,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_499,google/gemini-2.5-flash,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_500,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_501,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_502,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BW_503,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_504,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_505,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_506,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_507,google/gemini-2.5-flash,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_508,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
BW_509,google/gemini-2.5-flash,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_510,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
BW_511,google/gemini-2.5-flash,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_512,google/gemini-2.5-flash,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_513,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_514,google/gemini-2.5-flash,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_515,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_E002,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
BW_E015,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BW_E017,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
BW_E019,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
BW_E100,google/gemini-2.5-flash,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_E_001,google/gemini-2.5-flash,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_E_002,google/gemini-2.5-flash,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_E_003,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_E_004,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_E_005,google/gemini-2.5-flash,BW,blocksworld,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MBW_001,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_002,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_010,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_014,google/gemini-2.5-flash,BW,mystery_blocksworld,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MBW_037,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_10,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_100,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_127,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_185,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_495,google/gemini-2.5-flash,BW,mystery_blocksworld,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MBW_496,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_497,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_498,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_499,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBW_500,google/gemini-2.5-flash,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
