probe,phase,family,model,temperature_sent,temperature_value,client,driver,output_file,notes
P1,behavioral,GSM,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py --family arithmetic_reasoning,results/raw/GSM_P1_behavioral_claude.csv,
P1,behavioral,GSM,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py --family arithmetic_reasoning,results/raw/GSM_P1_behavioral_gpt4o.csv,
P1,behavioral,GSM,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py --family arithmetic_reasoning,results/raw/GSM_P1_behavioral_llama.csv,
P1,behavioral,GSM,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py --family arithmetic_reasoning,results/raw/GSM_P1_behavioral_gemini.csv,
P1,behavioral,GSM,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py --family arithmetic_reasoning,results/raw/GSM_P1_behavioral_o1mini.csv,
P1,behavioral,ALGO,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P1_SCR_run_behavioral_sweep.py,results/raw/ALGO_P1_behavioral_claude.csv,
P1,behavioral,ALGO,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P1_SCR_run_behavioral_sweep.py,results/raw/ALGO_P1_behavioral_gpt4o.csv,
P1,behavioral,ALGO,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P1_SCR_run_behavioral_sweep.py,results/raw/ALGO_P1_behavioral_llama.csv,
P1,behavioral,ALGO,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P1_SCR_run_behavioral_sweep.py,results/raw/ALGO_P1_behavioral_gemini.csv,
P1,behavioral,ALGO,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P1_SCR_run_behavioral_sweep.py,results/raw/ALGO_P1_behavioral_o1mini.csv,
