model,subtype,n_sessions,phase1_parseable_rate,greedy_assessment_correct_rate,critical_point_identified_rate,first_decision_match_rate_raw,first_decision_match_rate,final_correct_rate,final_correct_when_match,final_correct_when_mismatch
Claude,coin_change,25,0.88,0.6818181818181818,0.0,0.0,0.48,0.68,0.9166666666666666,0.46153846153846156
Claude,shortest_path,55,0.7090909090909091,0.9565217391304348,0.4,0.0,0.34545454545454546,0.43636363636363634,0.15789473684210525,0.5833333333333334
Claude,wis,30,0.7666666666666667,0.4782608695652174,0.4666666666666667,0.0,0.13333333333333333,0.4666666666666667,0.5,0.46153846153846156
Gemini,coin_change,25,0.88,0.5909090909090909,0.0,0.0,0.36,0.48,0.7777777777777778,0.3125
Gemini,shortest_path,55,0.5636363636363636,0.9444444444444444,0.43636363636363634,0.0,0.14545454545454545,0.09090909090909091,0.0,0.10638297872340426
Gemini,wis,30,0.6333333333333333,0.5263157894736842,0.26666666666666666,0.0,0.03333333333333333,0.5333333333333333,1.0,0.5172413793103449
Llama,coin_change,25,0.84,0.44,0.0,0.0,0.32,0.16,0.125,0.17647058823529413
Llama,shortest_path,55,0.5454545454545454,0.9487179487179487,0.2909090909090909,0.0,0.2545454545454545,0.09090909090909091,0.07142857142857142,0.0975609756097561
Llama,wis,30,0.8333333333333334,0.6538461538461539,0.26666666666666666,0.0,0.26666666666666666,0.5,0.5,0.5
GPT-4o,coin_change,25,0.96,0.7083333333333334,0.0,0.0,0.6,0.72,0.7333333333333333,0.7
GPT-4o,shortest_path,55,0.7636363636363637,0.9574468085106383,0.2909090909090909,0.0,0.2,0.34545454545454546,0.09090909090909091,0.4090909090909091
GPT-4o,wis,30,0.9333333333333333,0.5714285714285714,0.03333333333333333,0.0,0.16666666666666666,0.6,0.6,0.6
