claim_text,section_or_table,paper_value,recomputed_value,raw_file_used,filter_applied,MATCH/MISMATCH/NOT_RECOMPUTABLE,note
Table 3 Claude Acc_can,Table 3,.841,0.840909,GSM_P1_behavioral_claude.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,37/44
Table 3 Claude Acc_W3,Table 3,.750,0.75,GSM_P1_behavioral_claude.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,33/44
Table 3 Claude Delta,Table 3,.091,0.0909091,GSM_P1_behavioral_claude.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 Claude R_W3,Table 3,.892,0.891892,GSM_P1_behavioral_claude.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 Claude Acc_can Wilson CI,Table 3,"[.71,.92]","[0.71,0.92]",GSM_P1_behavioral_claude.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 37/44; paper omits leading zeros
Table 3 Claude Acc_W3 Wilson CI,Table 3,"[.61,.85]","[0.61,0.85]",GSM_P1_behavioral_claude.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 33/44
Table 3 Claude n,Table 3,44,44,GSM_P1_behavioral_claude.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 GPT-4o Acc_can,Table 3,.850,0.85,GSM_P1_behavioral_gpt4o.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,17/20
Table 3 GPT-4o Acc_W3,Table 3,.300,0.3,GSM_P1_behavioral_gpt4o.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,6/20
Table 3 GPT-4o Delta,Table 3,.550,0.55,GSM_P1_behavioral_gpt4o.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 GPT-4o R_W3,Table 3,.353,0.352941,GSM_P1_behavioral_gpt4o.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 GPT-4o Acc_can Wilson CI,Table 3,"[.64,.95]","[0.64,0.95]",GSM_P1_behavioral_gpt4o.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 17/20; paper omits leading zeros
Table 3 GPT-4o Acc_W3 Wilson CI,Table 3,"[.15,.52]","[0.15,0.52]",GSM_P1_behavioral_gpt4o.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 6/20
Table 3 GPT-4o n,Table 3,20,20,GSM_P1_behavioral_gpt4o.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 Llama Acc_can,Table 3,.800,0.8,GSM_P1_behavioral_llama.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,16/20
Table 3 Llama Acc_W3,Table 3,.150,0.15,GSM_P1_behavioral_llama.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,3/20
Table 3 Llama Delta,Table 3,.650,0.65,GSM_P1_behavioral_llama.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
