model,problem_id,variant,layer,rank,logprob,cosine_to_gold_unembed,gold_content,gold_token_id,gold_token_decoded,gold_unigram_count,gold_token_id_rank_proxy,n_layers,sep_note
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,0,43610,-11.757497,0.006821,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,1,28283,-11.750934,0.012342,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,2,41058,-11.752088,0.008187,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,3,103482,-11.789134,-0.007956,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,4,102590,-11.8007,-0.00838,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,5,122554,-11.862483,-0.018769,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,6,126952,-11.898186,-0.029729,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,7,126184,-11.898905,-0.029038,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,8,110122,-11.836824,-0.012238,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,9,73636,-11.779597,-0.000318,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,10,66165,-11.76918,0.007934,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,11,112441,-11.858515,-0.009806,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,12,87938,-11.807183,-0.001244,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,13,115326,-11.884069,-0.017283,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,14,60424,-11.761169,0.002702,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,15,60649,-11.760209,-0.001973,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,16,27745,-11.671985,0.004502,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,17,20857,-11.632622,0.004911,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,18,30738,-11.657556,-0.002777,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,19,21631,-11.586902,-0.001618,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,20,11163,-11.501411,0.005979,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,21,5287,-11.33981,0.0114,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,22,1227,-11.109351,0.02431,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,23,620,-10.912916,0.03179,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,24,558,-10.734876,0.034104,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,25,448,-10.656603,0.0356,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,26,293,-10.449533,0.039268,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,27,141,-10.183901,0.047446,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,28,108,-9.782763,0.054295,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,29,88,-9.512752,0.058194,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,30,78,-8.95451,0.069056,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,canonical,31,37,-5.692564,0.128524,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,0,43870,-11.757509,0.006519,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,1,31232,-11.751845,0.010991,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,2,40134,-11.751585,0.008455,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,3,108620,-11.793694,-0.010902,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,4,104489,-11.803467,-0.009202,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,5,122989,-11.866371,-0.019,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,6,126488,-11.892975,-0.027935,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,7,126497,-11.905712,-0.030469,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,8,112813,-11.84583,-0.013251,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,9,75450,-11.782625,-0.00078,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,10,76552,-11.786296,0.005622,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,11,113541,-11.864772,-0.009455,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,12,76778,-11.787725,0.00282,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,13,116554,-11.887553,-0.01779,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,14,62378,-11.765347,0.003045,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,15,62030,-11.763157,-0.000678,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,16,25341,-11.669863,0.007417,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,17,18791,-11.623589,0.007083,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,18,28448,-11.646545,-0.000412,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,19,19005,-11.566131,0.000856,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,20,11749,-11.498211,0.004751,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,21,7148,-11.362827,0.007866,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,22,3980,-11.217314,0.012925,51,3971,51,6,3971,32,''
