family,slice,model,canonical_k,canonical_n,canonical,W1_k,W1_n,W1,W2_k,W2_n,W2,W3_k,W3_n,W3,W4_k,W4_n,W4,W5_k,W5_n,W5,W6_k,W6_n,W6
ALGO,CC-chall.,Claude,7,10,0.7,7,10,0.7,7,10,0.7,6,10,0.6,8,10,0.8,,,,,,
ALGO,CC-chall.,GPT-4o,6,10,0.6,4,10,0.4,6,10,0.6,0,10,0.0,5,10,0.5,,,,4.0,10.0,0.4
ALGO,CC-chall.,Gemini,5,10,0.5,7,10,0.7,6,10,0.6,7,10,0.7,7,10,0.7,,,,,,
ALGO,CC-chall.,Llama,2,10,0.2,1,10,0.1,4,10,0.4,0,10,0.0,2,10,0.2,,,,1.0,10.0,0.1
ALGO,CC-chall.,o4-mini,10,10,1.0,10,10,1.0,10,10,1.0,10,10,1.0,10,10,1.0,0.0,0.0,,0.0,0.0,
ALGO,CC-std.,Claude,4,15,0.267,7,15,0.467,1,15,0.067,3,15,0.2,10,15,0.667,,,,1.0,15.0,0.067
ALGO,CC-std.,GPT-4o,4,15,0.267,6,15,0.4,0,15,0.0,1,15,0.067,13,15,0.867,,,,3.0,15.0,0.2
ALGO,CC-std.,Gemini,4,15,0.267,2,15,0.133,0,15,0.0,0,15,0.0,4,15,0.267,,,,4.0,15.0,0.267
ALGO,CC-std.,Llama,0,15,0.0,1,15,0.067,1,15,0.067,0,15,0.0,0,15,0.0,,,,1.0,15.0,0.067
ALGO,CC-std.,o4-mini,15,15,1.0,14,15,0.9333333333333333,4,15,0.26666666666666666,9,15,0.6,15,15,1.0,0.0,0.0,,15.0,15.0,1.0
ALGO,SP-chall.,Claude,22,34,0.647,21,34,0.618,23,34,0.676,0,34,0.0,28,34,0.824,0.0,31.0,0.0,8.0,31.0,0.258
ALGO,SP-chall.,GPT-4o,14,34,0.412,18,34,0.529,5,34,0.147,9,34,0.265,20,34,0.588,0.0,31.0,0.0,9.0,34.0,0.265
ALGO,SP-chall.,Gemini,23,34,0.676,15,34,0.441,8,34,0.235,11,34,0.324,19,34,0.559,1.0,31.0,0.032,4.0,31.0,0.129
ALGO,SP-chall.,Llama,2,34,0.059,5,34,0.147,1,34,0.029,0,34,0.0,3,34,0.088,0.0,31.0,0.0,2.0,34.0,0.059
ALGO,SP-chall.,o4-mini,34,34,1.0,32,34,0.9411764705882353,3,34,0.08823529411764706,30,34,0.8823529411764706,32,34,0.9411764705882353,2.0,31.0,0.06451612903225806,14.0,31.0,0.45161290322580644
ALGO,SP-std.,Claude,0,21,0.0,4,21,0.19,14,21,0.667,1,21,0.048,20,21,0.952,0.0,19.0,0.0,0.0,19.0,0.0
ALGO,SP-std.,GPT-4o,15,21,0.714,14,21,0.667,1,21,0.048,9,21,0.429,11,21,0.524,0.0,19.0,0.0,8.0,21.0,0.381
ALGO,SP-std.,Gemini,13,21,0.619,16,21,0.762,16,21,0.762,10,21,0.476,18,21,0.857,0.0,19.0,0.0,5.0,19.0,0.263
ALGO,SP-std.,Llama,1,21,0.048,2,21,0.095,0,21,0.0,0,21,0.0,3,21,0.143,0.0,19.0,0.0,2.0,21.0,0.095
ALGO,SP-std.,o4-mini,21,21,1.0,21,21,1.0,2,21,0.09523809523809523,18,21,0.8571428571428571,19,21,0.9047619047619048,0.0,19.0,0.0,9.0,19.0,0.47368421052631576
ALGO,WIS-chall.,Claude,6,17,0.353,3,17,0.176,2,17,0.118,0,17,0.0,1,17,0.059,,,,0.0,15.0,0.0
ALGO,WIS-chall.,GPT-4o,6,17,0.353,3,17,0.176,0,17,0.0,0,17,0.0,0,17,0.0,,,,0.0,17.0,0.0
ALGO,WIS-chall.,Gemini,6,17,0.353,3,17,0.176,0,17,0.0,0,17,0.0,0,17,0.0,,,,0.0,15.0,0.0
ALGO,WIS-chall.,Llama,1,17,0.059,0,17,0.0,0,17,0.0,1,17,0.059,0,17,0.0,,,,0.0,17.0,0.0
ALGO,WIS-chall.,o4-mini,17,17,1.0,17,17,1.0,4,17,0.23529411764705882,0,17,0.0,2,17,0.11764705882352941,0.0,0.0,,0.0,15.0,0.0
ALGO,WIS-std.,Claude,1,13,0.077,3,13,0.231,3,13,0.231,0,13,0.0,1,13,0.077,,,,0.0,10.0,0.0
ALGO,WIS-std.,GPT-4o,2,13,0.154,3,13,0.231,0,13,0.0,0,13,0.0,0,13,0.0,,,,0.0,13.0,0.0
ALGO,WIS-std.,Gemini,0,13,0.0,0,13,0.0,3,13,0.231,0,13,0.0,0,13,0.0,,,,0.0,10.0,0.0
ALGO,WIS-std.,Llama,0,13,0.0,0,13,0.0,0,13,0.0,1,13,0.077,0,13,0.0,,,,0.0,13.0,0.0
ALGO,WIS-std.,o4-mini,13,13,1.0,12,13,0.9230769230769231,5,13,0.38461538461538464,0,13,0.0,3,13,0.23076923076923078,0.0,0.0,,0.0,10.0,0.0
