condition,model,sessions,final_correct,algorithm_invocation,diverged_rate
normal,Claude,110,0.5,0.0,
normal,Gemini,110,0.3,0.0,
normal,GPT-4o,110,0.5,0.0,
normal,Llama,110,0.21818181818181817,0.0,
normal,o4-mini,110,0.43636363636363634,0.0,
elicited,Claude,61,0.45901639344262296,0.0,
elicited,Gemini,61,0.3114754098360656,0.0,
elicited,GPT-4o,110,0.5181818181818182,0.0,
elicited,Llama,61,0.14754098360655737,0.0,
elicited,o4-mini,110,0.41818181818181815,0.0,
plausible_inj,Claude,61,0.5245901639344263,0.0,0.9558011049723757
plausible_inj,Gemini,61,0.3114754098360656,0.0,0.9558011049723757
plausible_inj,GPT-4o,61,0.5081967213114754,0.0,0.9558011049723757
plausible_inj,Llama,61,0.22950819672131148,0.0,0.9558011049723757
plausible_inj,o4-mini,61,0.3770491803278688,0.0,0.9558011049723757
implausible_inj,Claude,61,0.5245901639344263,0.0,0.9558011049723757
implausible_inj,Gemini,61,0.2786885245901639,0.0,0.9558011049723757
implausible_inj,GPT-4o,61,0.5573770491803278,0.0,0.9558011049723757
implausible_inj,Llama,61,0.26229508196721313,0.0,0.9558011049723757
implausible_inj,o4-mini,61,0.4262295081967213,0.0,0.9558011049723757
