family,model,subtype,tri_v2_label,n,pct
ALGO,Claude,coin_change,insufficient,11,0.44
ALGO,Claude,coin_change,computation,5,0.2
ALGO,Claude,coin_change,retrieval,3,0.12
ALGO,Claude,coin_change,weak_computation,3,0.12
ALGO,Claude,coin_change,weak_retrieval,3,0.12
ALGO,Claude,shortest_path,insufficient,21,0.38181818181818183
ALGO,Claude,shortest_path,computation,15,0.2727272727272727
ALGO,Claude,shortest_path,retrieval,8,0.14545454545454545
ALGO,Claude,shortest_path,weak_retrieval,6,0.10909090909090909
ALGO,Claude,shortest_path,mixed,4,0.07272727272727272
ALGO,Claude,shortest_path,weak_computation,1,0.01818181818181818
ALGO,Claude,wis,insufficient,12,0.4
ALGO,Claude,wis,weak_computation,8,0.26666666666666666
ALGO,Claude,wis,computation,7,0.23333333333333334
ALGO,Claude,wis,weak_retrieval,3,0.1
ALGO,GPT-4o,coin_change,insufficient,11,0.44
ALGO,GPT-4o,coin_change,weak_computation,4,0.16
ALGO,GPT-4o,coin_change,weak_retrieval,4,0.16
ALGO,GPT-4o,coin_change,computation,3,0.12
ALGO,GPT-4o,coin_change,retrieval,2,0.08
ALGO,GPT-4o,coin_change,mixed,1,0.04
ALGO,GPT-4o,shortest_path,computation,19,0.34545454545454546
ALGO,GPT-4o,shortest_path,retrieval,10,0.18181818181818182
ALGO,GPT-4o,shortest_path,weak_retrieval,10,0.18181818181818182
ALGO,GPT-4o,shortest_path,insufficient,8,0.14545454545454545
ALGO,GPT-4o,shortest_path,weak_computation,5,0.09090909090909091
ALGO,GPT-4o,shortest_path,mixed,3,0.05454545454545454
ALGO,GPT-4o,wis,insufficient,11,0.36666666666666664
ALGO,GPT-4o,wis,computation,9,0.3
ALGO,GPT-4o,wis,weak_computation,6,0.2
ALGO,GPT-4o,wis,weak_retrieval,4,0.13333333333333333
ALGO,Gemini,coin_change,insufficient,11,0.44
ALGO,Gemini,coin_change,weak_computation,5,0.2
ALGO,Gemini,coin_change,weak_retrieval,5,0.2
ALGO,Gemini,coin_change,computation,2,0.08
ALGO,Gemini,coin_change,mixed,1,0.04
ALGO,Gemini,coin_change,retrieval,1,0.04
ALGO,Gemini,shortest_path,retrieval,15,0.2727272727272727
ALGO,Gemini,shortest_path,computation,14,0.2545454545454545
ALGO,Gemini,shortest_path,weak_retrieval,10,0.18181818181818182
ALGO,Gemini,shortest_path,insufficient,8,0.14545454545454545
ALGO,Gemini,shortest_path,mixed,4,0.07272727272727272
ALGO,Gemini,shortest_path,weak_computation,4,0.07272727272727272
ALGO,Gemini,wis,insufficient,13,0.43333333333333335
ALGO,Gemini,wis,computation,11,0.36666666666666664
ALGO,Gemini,wis,weak_computation,3,0.1
ALGO,Gemini,wis,weak_retrieval,3,0.1
ALGO,Llama,coin_change,insufficient,15,0.6
ALGO,Llama,coin_change,weak_retrieval,7,0.28
ALGO,Llama,coin_change,weak_computation,2,0.08
ALGO,Llama,coin_change,computation,1,0.04
ALGO,Llama,shortest_path,insufficient,23,0.41818181818181815
ALGO,Llama,shortest_path,weak_retrieval,10,0.18181818181818182
