mech_model_key,problem_id,rank_canonical,rank_w3,rank_shift_canonical_minus_w3,w3_ok,cluster_id,model
meta-llama/Llama-3.1-8B-Instruct,CC_01,138,132,6,False,ALGO_CLONE_001,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,CC_02,139,189,-50,False,ALGO_CLONE_001,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,CC_03,131,191,-60,False,ALGO_CLONE_001,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,CC_04,125,149,-24,False,ALGO_CLONE_001,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,CC_05,134,151,-17,False,ALGO_CLONE_001,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,CC_06,169,259,-90,False,SINGLETON_CC_06,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,CC_07,139,139,0,False,ALGO_CLONE_001,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,CC_08,133,143,-10,False,ALGO_CLONE_001,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,CC_09,242,324,-82,False,ALGO_CLONE_004,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,CC_10,131,139,-8,False,SINGLETON_CC_10,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_003,6886,3902,2984,False,SINGLETON_SP_003,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_004,857,531,326,False,SINGLETON_SP_004,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_005,4120,6316,-2196,False,SINGLETON_SP_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_019,1257,1034,223,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_020,1526,1000,526,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_021,1511,1201,310,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_023,427,491,-64,False,ALGO_CLONE_006,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_024,667,613,54,False,ALGO_CLONE_006,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_026,637,582,55,False,ALGO_CLONE_006,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_028,468,408,60,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_029,500,335,165,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_030,480,380,100,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_037,1276,1218,58,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_038,1471,1331,140,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_039,1456,1287,169,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_040,2197,1134,1063,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_042,636,595,41,False,ALGO_CLONE_006,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_044,611,442,169,False,ALGO_CLONE_006,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_045,376,335,41,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_046,487,367,120,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_047,397,320,77,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_048,477,346,131,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_062,1290,1126,164,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_063,1518,1204,314,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_064,1310,1358,-48,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_065,1232,1058,174,False,ALGO_CLONE_005,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_066,555,463,92,False,ALGO_CLONE_006,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_068,670,714,-44,False,ALGO_CLONE_006,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_069,676,642,34,False,ALGO_CLONE_006,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_070,381,351,30,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_071,493,369,124,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_072,394,353,41,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,SP_073,497,347,150,False,ALGO_CLONE_007,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_003,1815,2061,-246,False,SINGLETON_WIS_003,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_004,1672,3150,-1478,False,SINGLETON_WIS_004,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_013,999,1022,-23,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_014,1257,1311,-54,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_015,979,1017,-38,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_016,1005,997,8,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_017,1184,985,199,True,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_018,2968,2367,601,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_019,2755,3000,-245,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_020,3317,3291,26,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_023,1081,1491,-410,False,ALGO_CLONE_014,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_024,1261,991,270,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_025,2538,2884,-346,False,ALGO_CLONE_014,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_026,1284,1392,-108,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_027,2976,2952,24,False,ALGO_CLONE_013,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_028,4333,4599,-266,False,ALGO_CLONE_014,Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,WIS_029,1266,943,323,False,ALGO_CLONE_013,Llama-3.1-8B
Qwen/Qwen2.5-1.5B-Instruct,CC_01,64,103,-39,False,ALGO_CLONE_001,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,CC_02,69,83,-14,False,ALGO_CLONE_001,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,CC_03,60,78,-18,False,ALGO_CLONE_001,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,CC_04,47,71,-24,False,ALGO_CLONE_001,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,CC_05,63,89,-26,False,ALGO_CLONE_001,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,CC_06,74,149,-75,False,SINGLETON_CC_06,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,CC_07,65,86,-21,False,ALGO_CLONE_001,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,CC_08,57,81,-24,False,ALGO_CLONE_001,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,CC_09,73,212,-139,False,ALGO_CLONE_004,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,CC_10,67,190,-123,False,SINGLETON_CC_10,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_003,29,40,-11,False,SINGLETON_SP_003,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_004,115,94,21,False,SINGLETON_SP_004,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_005,119,89,30,False,SINGLETON_SP_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_019,29,29,0,False,ALGO_CLONE_005,Qwen2.5-1.5B
