file,deduction
ALGO_P1_behavioral_claude.csv,- Worst canonical->variant fragility: `anthropic/claude-sonnet-4` on `W5` with drop-rate 1.000 (n=50).
ALGO_P1_behavioral_claude.csv,- Highest rescue effect: `anthropic/claude-sonnet-4` on `W4` with rescue-rate 0.543.
ALGO_P1_behavioral_claude.csv,"- Mean canonical minus W3 gap across models: 0.273 (max=0.273, min=0.273)."
ALGO_P1_behavioral_gemini.csv,- Worst canonical->variant fragility: `google/gemini-2.5-flash` on `W5` with drop-rate 0.971 (n=50).
ALGO_P1_behavioral_gemini.csv,- Highest rescue effect: `google/gemini-2.5-flash` on `W4` with rescue-rate 0.271.
ALGO_P1_behavioral_gemini.csv,"- Mean canonical minus W3 gap across models: 0.209 (max=0.209, min=0.209)."
ALGO_P1_behavioral_gpt4o.csv,- Worst canonical->variant fragility: `openai/gpt-4o` on `W5` with drop-rate 1.000 (n=50).
ALGO_P1_behavioral_gpt4o.csv,- Highest rescue effect: `openai/gpt-4o` on `W4` with rescue-rate 0.381.
ALGO_P1_behavioral_gpt4o.csv,"- Mean canonical minus W3 gap across models: 0.255 (max=0.255, min=0.255)."
ALGO_P1_behavioral_llama.csv,- Worst canonical->variant fragility: `meta-llama/llama-3.1-8b-instruct` on `W3` with drop-rate 1.000 (n=110).
ALGO_P1_behavioral_llama.csv,- Highest rescue effect: `meta-llama/llama-3.1-8b-instruct` on `W1` with rescue-rate 0.077.
ALGO_P1_behavioral_llama.csv,"- Mean canonical minus W3 gap across models: 0.036 (max=0.036, min=0.036)."
ALGO_P1_behavioral_o1mini.csv,- Worst canonical->variant fragility: `openai/o4-mini` on `W5` with drop-rate 0.960 (n=50).
ALGO_P1_behavioral_o1mini.csv,"- Mean canonical minus W3 gap across models: 0.391 (max=0.391, min=0.391)."
ALGO_P2_phase1_claude_new.csv,- `phase1_parseable` rate: 0.764 over 110 rows.
ALGO_P2_phase1_claude_new.csv,- `greedy_assessment_correct` rate: 0.769 over 91 rows.
ALGO_P2_phase1_claude_new.csv,- `critical_point_identified` rate: 0.327 over 110 rows.
ALGO_P2_phase1_claude_new.csv,- `predicted_first_decision` non-empty rate: 0.964.
ALGO_P2_phase1_gemini.csv,- `phase1_parseable` rate: 0.655 over 110 rows.
ALGO_P2_phase1_gemini.csv,- `greedy_assessment_correct` rate: 0.740 over 77 rows.
ALGO_P2_phase1_gemini.csv,- `critical_point_identified` rate: 0.291 over 110 rows.
ALGO_P2_phase1_gemini.csv,- `predicted_first_decision` non-empty rate: 0.991.
ALGO_P2_phase1_gpt4o.csv,- `phase1_parseable` rate: 0.900 over 20 rows.
ALGO_P2_phase1_gpt4o.csv,- `greedy_assessment_correct` rate: 0.737 over 19 rows.
ALGO_P2_phase1_gpt4o.csv,- `predicted_first_decision` non-empty rate: 0.950.
