subtype,model,tertile,n_problems,median_intrinsic_size,mean_canonical_acc,mean_rename_acc,mean_rename_drop
wis,claude,easy,16,6.0,0.375,0.020833333333333332,0.3541666666666667
wis,claude,median,8,9.0,0.0,0.041666666666666664,-0.041666666666666664
wis,claude,hard,6,13.0,0.16666666666666666,0.27777777777777773,-0.11111111111111109
wis,claude,all,30,6.0,0.23333333333333334,0.07777777777777777,0.15555555555555556
wis,gpt4o,easy,16,6.0,0.4375,0.0,0.4375
wis,gpt4o,median,8,9.0,0.0,0.0,0.0
wis,gpt4o,hard,6,13.0,0.16666666666666666,0.0,0.16666666666666666
wis,gpt4o,all,30,6.0,0.26666666666666666,0.0,0.26666666666666666
wis,llama,easy,16,6.0,0.0625,0.020833333333333332,0.04166666666666667
wis,llama,median,8,9.0,0.0,0.0,0.0
wis,llama,hard,6,13.0,0.0,0.05555555555555555,-0.05555555555555555
wis,llama,all,30,6.0,0.03333333333333333,0.02222222222222222,0.011111111111111115
wis,gemini,easy,16,6.0,0.375,0.0,0.375
wis,gemini,median,8,9.0,0.0,0.08333333333333333,-0.08333333333333333
wis,gemini,hard,6,13.0,0.0,0.05555555555555555,-0.05555555555555555
wis,gemini,all,30,6.0,0.2,0.03333333333333333,0.16666666666666669
coin_change,claude,easy,7,5.0,0.8571428571428571,0.8095238095238095,0.04761904761904762
coin_change,claude,median,2,6.0,0.5,0.5,2.7755575615628914e-17
coin_change,claude,hard,1,7.0,0.0,0.3333333333333333,-0.3333333333333333
coin_change,claude,all,10,5.0,0.7,0.7,1.1102230246251566e-17
coin_change,gpt4o,easy,7,5.0,0.8571428571428571,0.5238095238095238,0.33333333333333337
coin_change,gpt4o,median,2,6.0,0.0,0.0,0.0
coin_change,gpt4o,hard,1,7.0,0.0,0.0,0.0
coin_change,gpt4o,all,10,5.0,0.6,0.36666666666666664,0.23333333333333334
coin_change,llama,easy,7,5.0,0.2857142857142857,0.23809523809523808,0.04761904761904763
coin_change,llama,median,2,6.0,0.0,0.16666666666666666,-0.16666666666666666
coin_change,llama,hard,1,7.0,0.0,0.0,0.0
coin_change,llama,all,10,5.0,0.2,0.2,5.551115123125783e-18
coin_change,gemini,easy,7,5.0,0.7142857142857143,0.8571428571428571,-0.14285714285714285
coin_change,gemini,median,2,6.0,0.0,0.3333333333333333,-0.3333333333333333
coin_change,gemini,hard,1,7.0,0.0,0.0,0.0
coin_change,gemini,all,10,5.0,0.5,0.6666666666666666,-0.16666666666666666
