problem_id,model,tep,session_status,adapted,resistant,illegal_both,n_nl_remappable,n_canonical_shape,null_cause
BW_155,openai/gpt-4o,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_155,openai/gpt-4o,,blank,0,0,46,46,0,tep_denom_zero_all_illegal_or_ambiguous
BW_155,openai/gpt-4o,,blank,0,0,45,45,0,tep_denom_zero_all_illegal_or_ambiguous
BW_155,openai/gpt-4o,0.0,blank,0,0,43,43,1,has_score
BW_010,openai/gpt-4o,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_010,openai/gpt-4o,,blank,0,0,46,46,0,tep_denom_zero_all_illegal_or_ambiguous
BW_010,openai/gpt-4o,,blank,0,0,45,45,0,tep_denom_zero_all_illegal_or_ambiguous
BW_010,openai/gpt-4o,,blank,0,0,44,44,0,tep_denom_zero_all_illegal_or_ambiguous
BW_001,openai/gpt-4o,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_001,openai/gpt-4o,,blank,0,0,45,45,0,tep_denom_zero_all_illegal_or_ambiguous
BW_001,openai/gpt-4o,,blank,0,0,42,42,0,tep_denom_zero_all_illegal_or_ambiguous
BW_001,openai/gpt-4o,,blank,0,0,40,40,0,tep_denom_zero_all_illegal_or_ambiguous
BW_011,openai/gpt-4o,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_011,openai/gpt-4o,,blank,0,0,43,43,0,tep_denom_zero_all_illegal_or_ambiguous
BW_011,openai/gpt-4o,,blank,0,0,40,40,0,tep_denom_zero_all_illegal_or_ambiguous
BW_011,openai/gpt-4o,,blank,0,0,37,37,0,tep_denom_zero_all_illegal_or_ambiguous
BW_120,openai/gpt-4o,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_120,openai/gpt-4o,,blank,0,0,46,46,0,tep_denom_zero_all_illegal_or_ambiguous
BW_120,openai/gpt-4o,,blank,0,0,45,45,0,tep_denom_zero_all_illegal_or_ambiguous
BW_227,openai/gpt-4o,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_227,openai/gpt-4o,,blank,0,0,44,44,0,tep_denom_zero_all_illegal_or_ambiguous
BW_227,openai/gpt-4o,,blank,0,0,41,41,0,tep_denom_zero_all_illegal_or_ambiguous
BW_227,openai/gpt-4o,,blank,0,0,39,39,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,openai/gpt-4o,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,openai/gpt-4o,,blank,0,0,43,43,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,openai/gpt-4o,,blank,0,0,39,39,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,openai/gpt-4o,,blank,0,0,36,36,0,tep_denom_zero_all_illegal_or_ambiguous
BW_172,openai/gpt-4o,,blank,0,0,9,9,0,tep_denom_zero_all_illegal_or_ambiguous
BW_172,openai/gpt-4o,,blank,0,0,43,43,0,tep_denom_zero_all_illegal_or_ambiguous
BW_172,openai/gpt-4o,,blank,0,0,39,39,0,tep_denom_zero_all_illegal_or_ambiguous
BW_172,openai/gpt-4o,,blank,0,0,36,36,0,tep_denom_zero_all_illegal_or_ambiguous
BW_467,openai/gpt-4o,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_467,openai/gpt-4o,,blank,0,0,45,45,0,tep_denom_zero_all_illegal_or_ambiguous
BW_467,openai/gpt-4o,,blank,0,0,43,43,0,tep_denom_zero_all_illegal_or_ambiguous
BW_467,openai/gpt-4o,,blank,0,0,41,41,0,tep_denom_zero_all_illegal_or_ambiguous
BW_080,openai/gpt-4o,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_080,openai/gpt-4o,,blank,0,0,46,46,0,tep_denom_zero_all_illegal_or_ambiguous
BW_080,openai/gpt-4o,,blank,0,0,4,4,0,tep_denom_zero_all_illegal_or_ambiguous
BW_080,openai/gpt-4o,,blank,0,0,43,43,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E015,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E015,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E015,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E015,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E017,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E017,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E017,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E017,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E019,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E019,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E019,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E019,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E002,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E002,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E002,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E002,openai/gpt-4o,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_155,meta-llama/llama-3.1-8b-instruct,,blank,0,0,47,47,0,tep_denom_zero_all_illegal_or_ambiguous
BW_155,meta-llama/llama-3.1-8b-instruct,,blank,0,0,13,13,0,tep_denom_zero_all_illegal_or_ambiguous
BW_155,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_155,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_010,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_010,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_010,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_001,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_001,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_001,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_001,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_011,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_011,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_011,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_011,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_120,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_120,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_120,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_120,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_227,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_227,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_227,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_227,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_172,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_172,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_172,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_172,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_467,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_467,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_467,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_467,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_080,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_080,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_080,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_080,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E015,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E015,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E015,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E015,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E017,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E017,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E017,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E017,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E019,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E019,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E019,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E019,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E002,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E002,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
