row_type,family,model,criterion,range_threshold,mean_ceiling,mean_floor,n_perm,seed,null,note,n_variants_scored,variants_scored,acc_mean,acc_min,acc_max,acc_range,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6,flag_range_lt_0.10,flag_mean_gt_0.95,flag_mean_lt_0.10,degenerate,degeneracy_reasons,sample,kendall_W,p_value,n_rankers,n_variants,variants,models_included,models_excluded_degenerate
criterion,,,degenerate if acc_range(W1-W6)<0.1 OR mean_acc>0.95 OR mean_acc<0.1,0.1,0.95,0.1,10000.0,42.0,within_row_rank_permutation_O2,Criterion fixed before inspecting filtered W; full and filtered both reported.,,,,,,,,,,,,,,,,,,,,,,,,,
ranker,ALGO,anthropic/claude-sonnet-4,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.4635,0.02,0.6759,0.6559,0.6636,0.4727,0.61,0.6759,0.02,0.3385,False,False,False,False,,,,,,,,,
ranker,ALGO,google/gemini-2.5-flash,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.3185,0.0938,0.6,0.5062,0.4,0.3091,0.2952,0.6,0.0938,0.2131,False,False,False,False,,,,,,,,,
ranker,ALGO,meta-llama/llama-3.1-8b-instruct,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.0617,0.0183,0.1077,0.0893,0.0909,0.0577,0.0183,0.0755,0.02,0.1077,True,False,True,True,range_lt_0.10|mean_lt_0.10,,,,,,,,
ranker,ALGO,openai/gpt-4o,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.266,0.0,0.5091,0.5091,0.4364,0.1091,0.2647,0.5091,0.0,0.2769,False,False,False,False,,,,,,,,,
ranker,ALGO,openai/o4-mini,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.7718,0.2667,1.0,0.7333,0.9725,0.2667,0.963,0.8351,1.0,0.5938,False,False,False,False,,,,,,,,,
ranker,BW,anthropic/claude-sonnet-4,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.5368,0.3592,0.8687,0.5095,0.4412,0.466,0.375,0.3592,0.8687,0.7105,False,False,False,False,,,,,,,,,
ranker,BW,deepseek/deepseek-r1-distill-llama-70b,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.5442,0.0847,0.9423,0.8576,0.8103,0.5932,0.4167,0.0847,0.4182,0.9423,False,False,False,False,,,,,,,,,
ranker,BW,google/gemini-2.5-flash,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.3108,0.0678,0.7636,0.6958,0.2586,0.2373,0.1333,0.0678,0.7636,0.4038,False,False,False,False,,,,,,,,,
ranker,BW,meta-llama/llama-3.1-8b-instruct,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.2016,0.1111,0.3431,0.232,0.3431,0.2039,0.2039,0.1373,0.1111,0.2105,False,False,False,False,,,,,,,,,
ranker,BW,openai/gpt-4o,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.353,0.2596,0.451,0.1914,0.451,0.3107,0.2596,0.2718,0.404,0.4211,False,False,False,False,,,,,,,,,
ranker,BW,openai/o4-mini,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.7599,0.4746,1.0,0.5254,0.8621,0.8305,0.4833,0.4746,0.9091,1.0,False,False,False,False,,,,,,,,,
ranker,GSM,anthropic/claude-sonnet-4,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.7614,0.6364,0.8409,0.2045,0.8409,0.7727,0.75,0.6364,0.8182,0.75,False,False,False,False,,,,,,,,,
ranker,GSM,google/gemini-2.5-flash,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.6711,0.4773,0.9583,0.4811,0.8182,0.6364,0.5227,0.4773,0.6136,0.9583,False,False,False,False,,,,,,,,,
ranker,GSM,meta-llama/llama-3.1-8b-instruct,,,,,,,,,5.0,W1|W2|W3|W4|W5,0.32,0.05,0.85,0.8,0.85,0.25,0.15,0.3,0.05,,False,False,False,False,,,,,,,,,
ranker,GSM,openai/gpt-4o,,,,,,,,,5.0,W1|W2|W3|W4|W5,0.37,0.2,0.75,0.55,0.75,0.3,0.3,0.2,0.3,,False,False,False,False,,,,,,,,,
ranker,GSM,openai/o4-mini,,,,,,,,,6.0,W1|W2|W3|W4|W5|W6,0.8207,0.6818,0.8864,0.2045,0.8636,0.8182,0.8409,0.6818,0.8864,0.8333,False,False,False,False,,,,,,,,,
concordance,ALGO,,degenerate if acc_range(W1-W6)<0.1 OR mean_acc>0.95 OR mean_acc<0.1,,,,10000.0,42.0,within_row_rank_permutation_O2,,,,,,,,,,,,,,,,,,,full,0.4194,0.0491,5.0,6.0,W1|W2|W3|W4|W5|W6,anthropic/claude-sonnet-4|google/gemini-2.5-flash|meta-llama/llama-3.1-8b-instruct|openai/gpt-4o|openai/o4-mini,
concordance,ALGO,,degenerate if acc_range(W1-W6)<0.1 OR mean_acc>0.95 OR mean_acc<0.1,,,,10000.0,10042.0,within_row_rank_permutation_O2,,,,,,,,,,,,,,,,,,,filtered,0.5071,0.0495,4.0,6.0,W1|W2|W3|W4|W5|W6,anthropic/claude-sonnet-4|google/gemini-2.5-flash|openai/gpt-4o|openai/o4-mini,meta-llama/llama-3.1-8b-instruct
concordance,BW,,degenerate if acc_range(W1-W6)<0.1 OR mean_acc>0.95 OR mean_acc<0.1,,,,10000.0,42.0,within_row_rank_permutation_O2,,,,,,,,,,,,,,,,,,,full,0.6786,0.0001,6.0,6.0,W1|W2|W3|W4|W5|W6,anthropic/claude-sonnet-4|deepseek/deepseek-r1-distill-llama-70b|google/gemini-2.5-flash|meta-llama/llama-3.1-8b-instruct|openai/gpt-4o|openai/o4-mini,
concordance,BW,,degenerate if acc_range(W1-W6)<0.1 OR mean_acc>0.95 OR mean_acc<0.1,,,,10000.0,42.0,within_row_rank_permutation_O2,,,,,,,,,,,,,,,,,,,filtered,0.6786,0.0001,6.0,6.0,W1|W2|W3|W4|W5|W6,anthropic/claude-sonnet-4|deepseek/deepseek-r1-distill-llama-70b|google/gemini-2.5-flash|meta-llama/llama-3.1-8b-instruct|openai/gpt-4o|openai/o4-mini,
concordance,GSM,,degenerate if acc_range(W1-W6)<0.1 OR mean_acc>0.95 OR mean_acc<0.1,,,,10000.0,42.0,within_row_rank_permutation_O2,,,,,,,,,,,,,,,,,,,full,0.6603,0.0419,3.0,6.0,W1|W2|W3|W4|W5|W6,anthropic/claude-sonnet-4|google/gemini-2.5-flash|openai/o4-mini,
concordance,GSM,,degenerate if acc_range(W1-W6)<0.1 OR mean_acc>0.95 OR mean_acc<0.1,,,,10000.0,42.0,within_row_rank_permutation_O2,,,,,,,,,,,,,,,,,,,filtered,0.6603,0.0419,3.0,6.0,W1|W2|W3|W4|W5|W6,anthropic/claude-sonnet-4|google/gemini-2.5-flash|openai/o4-mini,
