model,subtype,metric_name,metric_value,ci_lower,ci_upper
anthropic/claude-sonnet-4,coin_change,CCI,0.26666666666666666,0.13333333333333333,0.4333333333333333
anthropic/claude-sonnet-4,coin_change,TEP,0.2,0.0,0.5
anthropic/claude-sonnet-4,shortest_path,CCI,0.38235294117647056,0.2745098039215686,0.4901960784313725
anthropic/claude-sonnet-4,shortest_path,TEP,0.14705882352941177,0.058823529411764705,0.2647058823529412
anthropic/claude-sonnet-4,wis,CCI,0.3333333333333333,0.2549019607843137,0.41176470588235287
anthropic/claude-sonnet-4,wis,TEP,0.15384615384615385,0.0,0.38461538461538464
google/gemini-2.5-flash,coin_change,CCI,0.16666666666666666,0.06666666666666667,0.2666666666666667
google/gemini-2.5-flash,coin_change,TEP,,,
google/gemini-2.5-flash,shortest_path,CCI,0.14705882352941177,0.0784313725490196,0.22549019607843135
google/gemini-2.5-flash,shortest_path,TEP,,,
google/gemini-2.5-flash,wis,CCI,0.4313725490196078,0.3137254901960784,0.5294117647058824
google/gemini-2.5-flash,wis,TEP,,,
meta-llama/llama-3.1-8b-instruct,coin_change,CCI,0.19999999999999998,0.06666666666666667,0.33333333333333337
meta-llama/llama-3.1-8b-instruct,coin_change,TEP,1.0,1.0,1.0
meta-llama/llama-3.1-8b-instruct,shortest_path,CCI,0.22549019607843135,0.1568627450980392,0.29411764705882354
meta-llama/llama-3.1-8b-instruct,shortest_path,TEP,0.625,0.25,0.875
meta-llama/llama-3.1-8b-instruct,wis,CCI,0.41176470588235287,0.27450980392156865,0.5294117647058824
meta-llama/llama-3.1-8b-instruct,wis,TEP,,,
openai/gpt-4o,coin_change,CCI,0.4,0.2666666666666667,0.5333333333333333
openai/gpt-4o,coin_change,TEP,0.0,0.0,0.0
openai/gpt-4o,shortest_path,CCI,0.24509803921568624,0.1568627450980392,0.33333333333333337
openai/gpt-4o,shortest_path,TEP,0.24509803921568624,0.1323529411764706,0.36764705882352944
openai/gpt-4o,wis,CCI,0.2941176470588235,0.23529411764705882,0.3333333333333333
openai/gpt-4o,wis,TEP,0.1111111111111111,0.0,0.3333333333333333
