file,rows,cols,models,n_models,n_problem_ids,n_subtypes,parse_failed_rate,top_response_type,top_variant,primary_correct_col,primary_correct_rate
ALGO_P1_behavioral_claude.csv,693,13,"anthropic/claude-sonnet-4,mock",2,110,0,0.01875901875901876,,canonical,verified,0.3246753246753247
ALGO_P1_behavioral_gemini.csv,690,13,google/gemini-2.5-flash,1,110,0,0.04927536231884058,,canonical,verified,0.3144927536231884
ALGO_P1_behavioral_gpt4o.csv,710,13,openai/gpt-4o,1,110,0,0.1,,canonical,verified,0.2802816901408451
ALGO_P1_behavioral_llama.csv,712,13,"meta-llama/llama-3.1-8b-instruct,mock",2,110,0,0.06320224719101124,,canonical,verified,0.054775280898876406
ALGO_P1_behavioral_o1mini.csv,690,13,openai/o4-mini,1,110,0,0.1391304347826087,,canonical,verified,0.6260869565217392
ALGO_P1_review_queue.csv,319,10,"anthropic/claude-3.7-sonnet,anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,mock,openai/gpt-4o,openai/o1-mini,openai/o4-mini",8,107,0,,,W3,,
ALGO_P2_phase1_claude_new.csv,110,12,anthropic/claude-sonnet-4,1,110,3,,,,,
ALGO_P2_phase1_gemini.csv,110,12,google/gemini-2.5-flash,1,110,3,,,,,
ALGO_P2_phase1_gpt4o.csv,20,12,openai/gpt-4o,1,20,3,,,,,
ALGO_P2_phase1_gpt4o_new.csv,110,12,openai/gpt-4o,1,110,3,,,,,
ALGO_P2_phase1_llama.csv,20,12,meta-llama/llama-3.1-8b-instruct,1,20,3,,,,,
ALGO_P2_phase1_llama_new.csv,110,12,meta-llama/llama-3.1-8b-instruct,1,110,3,,,,,
ALGO_P2_phase2_injected.csv,905,17,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",5,61,3,0.0022099447513812156,compliant,,post_injection_correct,0.3901639344262295
ALGO_P2_phase2_injected_gemini.csv,181,17,google/gemini-2.5-flash,1,61,3,0.0,format_ignored,,post_injection_correct,0.3114754098360656
ALGO_P2_phase2_injected_implausible.csv,905,17,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",5,61,3,0.0,compliant,,post_injection_correct,0.4098360655737705
ALGO_P2_phase2_normal.csv,2250,14,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",5,110,3,0.0017777777777777779,compliant,,final_answer_correct,0.09555555555555556
ALGO_P2_phase2_normal_elicited.csv,1443,14,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",5,110,3,0.001386001386001386,compliant,,final_answer_correct,0.1101871101871102
ALGO_P2_phase2_normal_gemini.csv,181,14,google/gemini-2.5-flash,1,61,3,0.0055248618784530384,format_ignored,,final_answer_correct,0.11049723756906077
ALGO_P3_contamination.csv,116,11,,0,110,3,,,,,
ALGO_P3_mechanistic.csv,20,7,Qwen/Qwen2.5-0.5B-Instruct,1,20,0,,,canonical,,
BW_P1_behavioral.csv,2760,10,"The answer is 42.,anthropic/claude-sonnet-4,deepseek/deepseek-r1-distill-llama-70b,meta-llama/llama-3.1-8b-instruct,mock,openai/gpt-4o",6,124,0,,,W2,behavioral_correct,0.3352685050798258
BW_P1_behavioral_gemini.csv,455,9,google/gemini-2.5-flash,1,65,0,,,W1,behavioral_correct,0.23956043956043957
BW_P1_behavioral_o1mini.csv,455,9,openai/o4-mini,1,65,0,,,W1,behavioral_correct,0.6285714285714286
BW_P2_cci.csv,150,27,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,50,0,,,,,
BW_P2_cci_nl.csv,150,22,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,50,0,,,,,
BW_P2_plans.csv,150,8,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,50,0,,,,,
BW_P2_tep.csv,536,18,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,50,0,,,,,
BW_P3_contamination.csv,65,11,,0,65,2,,,,,
BW_P3_mechanistic.csv,35,7,Qwen/Qwen2.5-0.5B-Instruct,1,35,0,,,canonical,,
GSM_P1_behavioral_claude.csv,288,9,anthropic/claude-sonnet-4,1,44,0,,,canonical,behavioral_correct,0.7743055555555556
GSM_P1_behavioral_gemini.csv,288,9,google/gemini-2.5-flash,1,44,0,,,canonical,behavioral_correct,0.6875
GSM_P1_behavioral_gpt4o.csv,280,9,openai/gpt-4o,1,40,0,,,canonical,behavioral_correct,0.5714285714285714
GSM_P1_behavioral_llama.csv,280,9,meta-llama/llama-3.1-8b-instruct,1,40,0,,,canonical,behavioral_correct,0.4357142857142857
GSM_P1_behavioral_o1mini.csv,288,9,openai/o4-mini,1,44,0,,,canonical,behavioral_correct,0.8229166666666666
GSM_P2_cci.csv,176,14,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",4,44,2,,,,session_b_correct,0.7272727272727273
GSM_P2_phase1_claude.csv,44,18,anthropic/claude-sonnet-4,1,44,0,,,,session_b_correct,0.8636363636363636
GSM_P2_phase1_gemini.csv,44,18,google/gemini-2.5-flash,1,44,0,,,,session_b_correct,0.8863636363636364
GSM_P2_phase1_gpt4o.csv,44,18,openai/gpt-4o,1,44,0,,,,session_b_correct,0.7045454545454546
GSM_P2_phase1_llama.csv,44,18,meta-llama/llama-3.1-8b-instruct,1,44,0,,,,session_b_correct,0.45454545454545453
GSM_P2_phase1_o1mini.csv,44,18,openai/o4-mini,1,44,0,,,,session_b_correct,0.9545454545454546
GSM_P3_contamination.csv,44,7,,0,44,0,,,,,
GSM_P3_mechanistic.csv,20,7,Qwen/Qwen2.5-0.5B-Instruct,1,20,0,,,canonical,,
ALGO_P1_4model_frozen_labels.csv,150,7,"claude,gemini,gpt4o,llama",4,0,3,,,,,
ALGO_P1_VWC_exploratory.csv,18,5,"anthropic/claude-3.7-sonnet,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,0,3,,,,,
ALGO_P1_lenient_4model.csv,124,7,"claude,gemini,gpt4o,llama",4,0,3,,,,,
ALGO_P1_metrics.csv,66,7,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,0,3,,,W6,,
ALGO_P2_metrics.csv,24,6,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",4,0,3,,,,,
ALGO_P2_per_instance_cci.csv,244,6,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",4,61,0,,,,,
ALGO_P3_triangulation.csv,330,39,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,110,3,,,,,
ALGO_P3_triangulation_v2.csv,330,39,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,110,3,,,,,
ALGO_P3_triangulation_v3.csv,440,39,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",4,110,3,,,,,
BW_P1_metrics.csv,88,10,"anthropic/claude-sonnet-4,deepseek/deepseek-r1-distill-llama-70b,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",4,0,0,,,canonical,,
BW_P3_triangulation_claude.csv,124,18,,0,124,0,,,,,
BW_P3_triangulation_gpt4o.csv,124,18,,0,124,0,,,,,
BW_P3_triangulation_llama.csv,124,18,,0,124,0,,,,,
GSM_P1_metrics.csv,45,8,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,0,0,,,W6,,
GSM_P2_metrics.csv,20,5,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",4,0,0,,,,,
GSM_P3_triangulation_per_instance_claude.csv,44,16,,0,44,0,,,,,
GSM_P3_triangulation_per_instance_gpt4o.csv,64,16,,0,64,0,,,,,
P1_metrics_by_model_family.csv,9,15,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,0,0,,,,,
P1_metrics_by_model_subtype.csv,20,16,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,0,7,,,,,
P1_per_problem_var.csv,657,12,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",3,219,6,,,,,
P1_per_problem_var_5model.csv,940,12,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",5,219,6,,,,,
algorithm_invocation_clean.csv,4,4,"Claude,GPT-4o,Gemini,Llama",4,0,0,,,,,
bw_violation_profile.csv,3,9,"Claude,GPT-4o,Llama",3,0,0,,,,,
coverage_matrix.csv,40,4,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
coverage_pivot.csv,8,6,,0,0,0,,,,,
cross_family_universally_fragile.csv,4,4,,0,4,0,,,,,
cross_probe_acc_vs_w3retention.csv,3,5,,0,0,0,,,,,
cross_probe_agreement_instances.csv,15,11,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
cross_probe_corr_within_model.csv,30,7,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
cross_probe_instance_frame.csv,1249,44,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,254,0,,,,,
cross_probe_spearman_by_model.csv,75,9,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
cross_probe_spearman_model_level.csv,12,6,,0,0,0,,,,,
cross_probe_triple_flagged_instances.csv,1249,10,,0,254,0,,,,,
deep_p1_pairwise.csv,803,11,"Claude,GPT-4o,Gemini,Llama,deepseek/deepseek-r1-distill-llama-70b,mock,o4-mini",7,0,0,,,,,
deep_p1_transitions.csv,101,10,"Claude,GPT-4o,Gemini,Llama,deepseek/deepseek-r1-distill-llama-70b,mock,o4-mini",7,0,0,,,,,
deep_p2a_decision_schema_audit.csv,440,10,"Claude,GPT-4o,Gemini,Llama",4,110,3,,,,,
deep_p2a_phase_link.csv,12,11,"Claude,GPT-4o,Gemini,Llama",4,0,3,,,,,
deep_p2b_reactivity_delta.csv,15,5,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,3,,,,,
deep_p2b_response_profile.csv,46,7,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,3,,compliant,,,
deep_probe3_mech_links.csv,3,7,Qwen/Qwen2.5-0.5B-Instruct,1,0,0,,,,,
deep_triangulation_plus.csv,1128,12,"Claude,GPT-4o,Gemini,Llama,deepseek/deepseek-r1-distill-llama-70b,mock,o4-mini",7,219,0,,,,,
gemini_ALGO_perproblem.csv,110,12,google/gemini-2.5-flash,1,110,3,,,,,
gemini_BW_perproblem.csv,65,12,google/gemini-2.5-flash,1,65,2,,,,,
gemini_GSM_perproblem.csv,44,12,google/gemini-2.5-flash,1,44,1,,,,,
implausibility_detection.csv,5,6,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
master_coverage_gaps.csv,483,5,"Claude,GPT-4o,Gemini,Llama",4,0,0,,,,,
master_coverage_table.csv,40,31,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
master_per_problem_5model.csv,1249,16,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",5,254,0,,,,,
o4mini_ALGO_perproblem.csv,20,12,openai/o4-mini,1,20,3,,,,,
o4mini_GSM_perproblem.csv,44,12,openai/o4-mini,1,44,1,,,,,
o4mini_algo_partial.csv,5,5,openai/o4-mini,1,0,0,,,W1,,
o4mini_bw_partial.csv,1,6,openai/o4-mini,1,0,0,,,(all),,
o4mini_gsm_partial.csv,7,5,openai/o4-mini,1,0,0,,,W1,,
probe1_per_model_variant.csv,105,6,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
probe1_w3_retention.csv,15,5,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
probe2_algo_metrics.csv,20,6,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
probe2_gsm_metrics.csv,5,6,"Claude,GPT-4o,Gemini,Llama,o4-mini",5,0,0,,,,,
table_denominator_flags.csv,11,6,,0,0,0,,,,,
