problem_id,var_canonical,var_w5,css,behavioral_model,contamination_score,crystallization_layer,cci,problem_family,var_signal,css_signal,contamination_signal,cci_signal,agreement,n_signals,diagnosis
GSM_005,1.0,1.0,0.0,openai/gpt-4o,0.1167,-1.0,0.3333333333333333,arithmetic_reasoning,computation,retrieval,computation,retrieval,diverging,3,diverging
GSM_034,1.0,1.0,1.0,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_019,0.0,0.0,0.25,openai/gpt-4o,0.0659,-1.0,0.25,arithmetic_reasoning,retrieval,retrieval,computation,retrieval,diverging,3,diverging
GSM_056,,,,,0.0988,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_049,,,,,0.125,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_060,,,,,0.08,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_025,1.0,0.0,0.75,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_032,1.0,0.0,0.5,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_040,0.0,0.0,0.0,openai/gpt-4o,,,,arithmetic_reasoning,retrieval,retrieval,,,insufficient,1,insufficient
GSM_037,0.0,1.0,1.0,openai/gpt-4o,,,,arithmetic_reasoning,retrieval,computation,,,insufficient,1,insufficient
GSM_024,0.0,1.0,0.25,openai/gpt-4o,,,,arithmetic_reasoning,retrieval,retrieval,,,insufficient,1,insufficient
GSM_061,,,,,0.0,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_052,,,,,0.1765,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_028,1.0,1.0,1.0,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_003,1.0,0.0,0.25,openai/gpt-4o,0.1842,-1.0,0.8,arithmetic_reasoning,computation,retrieval,computation,computation,converging,3,converging_computation
GSM_007,1.0,0.0,1.0,openai/gpt-4o,0.1389,-1.0,0.0,arithmetic_reasoning,computation,computation,computation,retrieval,diverging,3,diverging
GSM_051,,,,,0.1429,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_054,,,,,0.1296,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_062,,,,,0.0741,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_044,,,,,0.0685,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_036,1.0,1.0,0.25,openai/gpt-4o,,,,arithmetic_reasoning,computation,retrieval,,,insufficient,1,insufficient
GSM_055,,,,,0.0943,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_001,1.0,0.0,0.25,openai/gpt-4o,0.1667,-1.0,0.4285714285714285,arithmetic_reasoning,computation,retrieval,computation,computation,converging,3,converging_computation
GSM_057,,,,,0.1316,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_010,1.0,0.0,0.25,openai/gpt-4o,0.0625,-1.0,1.0,arithmetic_reasoning,computation,retrieval,computation,computation,converging,3,converging_computation
GSM_058,,,,,0.0,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_022,1.0,0.0,0.25,openai/gpt-4o,,,,arithmetic_reasoning,computation,retrieval,,,insufficient,1,insufficient
GSM_048,,,,,0.0972,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_046,,,,,0.0,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_030,1.0,0.0,0.25,openai/gpt-4o,,,,arithmetic_reasoning,computation,retrieval,,,insufficient,1,insufficient
GSM_041,,,,,0.1087,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_006,1.0,0.0,0.75,openai/gpt-4o,0.1892,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_053,,,,,0.1091,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_043,,,,,0.0,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_018,1.0,0.0,0.5,openai/gpt-4o,0.0893,-1.0,0.2,arithmetic_reasoning,computation,computation,computation,retrieval,diverging,3,diverging
GSM_031,1.0,0.0,0.25,openai/gpt-4o,,,,arithmetic_reasoning,computation,retrieval,,,insufficient,1,insufficient
GSM_008,1.0,0.0,0.0,openai/gpt-4o,0.2273,-1.0,0.4285714285714285,arithmetic_reasoning,computation,retrieval,computation,computation,converging,3,converging_computation
GSM_023,1.0,0.0,1.0,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_038,1.0,1.0,0.75,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_039,1.0,1.0,0.75,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_014,1.0,1.0,0.5,openai/gpt-4o,0.1591,-1.0,0.3333333333333333,arithmetic_reasoning,computation,computation,computation,retrieval,diverging,3,diverging
GSM_013,1.0,1.0,0.75,openai/gpt-4o,0.1111,-1.0,0.3333333333333333,arithmetic_reasoning,computation,computation,computation,retrieval,diverging,3,diverging
GSM_004,1.0,1.0,1.0,openai/gpt-4o,0.1875,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_047,,,,,0.1579,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_045,,,,,0.1562,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_059,,,,,0.0566,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_020,1.0,1.0,0.25,openai/gpt-4o,0.0847,-1.0,0.5,arithmetic_reasoning,computation,retrieval,computation,computation,converging,3,converging_computation
GSM_002,1.0,1.0,0.75,openai/gpt-4o,0.24,-1.0,,arithmetic_reasoning,computation,computation,computation,,converging,2,converging_computation
GSM_027,1.0,0.0,0.5,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_016,0.0,0.0,0.25,openai/gpt-4o,0.0565,-1.0,,arithmetic_reasoning,retrieval,retrieval,computation,,diverging,2,diverging
GSM_015,1.0,0.0,0.25,openai/gpt-4o,0.0779,-1.0,,arithmetic_reasoning,computation,retrieval,computation,,converging,2,converging_computation
GSM_050,,,,,0.1714,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_012,1.0,0.0,0.25,openai/gpt-4o,0.1077,-1.0,,arithmetic_reasoning,computation,retrieval,computation,,converging,2,converging_computation
GSM_026,1.0,1.0,1.0,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_064,,,,,0.25,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_035,1.0,0.0,0.5,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_042,,,,,0.0,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
GSM_017,1.0,0.0,0.25,openai/gpt-4o,0.1013,-1.0,0.0,arithmetic_reasoning,computation,retrieval,computation,retrieval,diverging,3,diverging
GSM_009,0.0,0.0,0.0,openai/gpt-4o,0.1818,-1.0,0.875,arithmetic_reasoning,retrieval,retrieval,computation,computation,diverging,3,diverging
GSM_021,1.0,1.0,0.75,openai/gpt-4o,,,,arithmetic_reasoning,computation,computation,,,insufficient,1,insufficient
GSM_029,0.0,1.0,0.75,openai/gpt-4o,,,,arithmetic_reasoning,retrieval,computation,,,insufficient,1,insufficient
GSM_011,1.0,0.0,0.25,openai/gpt-4o,0.1,-1.0,,arithmetic_reasoning,computation,retrieval,computation,,converging,2,converging_computation
GSM_033,1.0,0.0,0.25,openai/gpt-4o,,,,arithmetic_reasoning,computation,retrieval,,,insufficient,1,insufficient
GSM_063,,,,,0.0968,,,arithmetic_reasoning,,,computation,,insufficient,1,insufficient
