problem_id,model,pddl_path,difficulty,contamination_pole,raw_plan,parsed_plan_json,plan_length
BW_155,anthropic/claude-3.7-sonnet,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-155.pddl,easy,high,"1. pick-up i
2. pick-up f
3. stack i f
4. pick-up e
5. stack f e
6. pick-up j
7. stack e j
8. pick-up h
9. stack j h","[""pick-up i"", ""pick-up f"", ""stack i f"", ""pick-up e"", ""stack f e"", ""pick-up j"", ""stack e j"", ""pick-up h"", ""stack j h""]",9
BW_155,openai/gpt-4o,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-155.pddl,easy,high,"1. pick-up i
2. stack i f
3. pick-up f
4. stack f e
5. pick-up e
6. stack e j
7. pick-up j
8. stack j h","[""pick-up i"", ""stack i f"", ""pick-up f"", ""stack f e"", ""pick-up e"", ""stack e j"", ""pick-up j"", ""stack j h""]",8
BW_155,meta-llama/llama-3.1-8b-instruct,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-155.pddl,easy,high,"1. pick-up i
2. stack i f
3. put-down i
4. pick-up f
5. stack f e
6. put-down f
7. pick-up e
8. stack e j
9. put-down e
10. pick-up j
11. stack j h
12. put-down j","[""pick-up i"", ""stack i f"", ""put-down i"", ""pick-up f"", ""stack f e"", ""put-down f"", ""pick-up e"", ""stack e j"", ""put-down e"", ""pick-up j"", ""stack j h"", ""put-down j""]",12
BW_010,openai/gpt-4o,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-10.pddl,easy,high,"1. pick-up d  
2. stack d e  
3. pick-up e  
4. stack e a  
5. pick-up a  
6. stack a b  
7. pick-up b  
8. stack b f","[""pick-up d"", ""stack d e"", ""pick-up e"", ""stack e a"", ""pick-up a"", ""stack a b"", ""pick-up b"", ""stack b f""]",8
BW_001,openai/gpt-4o,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-1.pddl,medium,high,"1. pick-up j
2. stack j f
3. pick-up f
4. stack f i
5. pick-up i
6. stack i g
7. pick-up g
8. stack g d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b h
13. pick-up h
14. stack h l","[""pick-up j"", ""stack j f"", ""pick-up f"", ""stack f i"", ""pick-up i"", ""stack i g"", ""pick-up g"", ""stack g d"", ""pick-up d"", ""stack d b"", ""pick-up b"", ""stack b h"", ""pick-up h"", ""stack h l""]",14
BW_011,openai/gpt-4o,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-11.pddl,hard,high,"1. pick-up c
2. stack c k
3. pick-up k
4. stack k g
5. pick-up g
6. stack g a
7. pick-up a
8. stack a l
9. pick-up l
10. stack l j
11. pick-up j
12. stack j e
13. pick-up e
14. stack e h
15. pick-up h
16. stack h i
17. pick-up i
18. stack i b","[""pick-up c"", ""stack c k"", ""pick-up k"", ""stack k g"", ""pick-up g"", ""stack g a"", ""pick-up a"", ""stack a l"", ""pick-up l"", ""stack l j"", ""pick-up j"", ""stack j e"", ""pick-up e"", ""stack e h"", ""pick-up h"", ""stack h i"", ""pick-up i"", ""stack i b""]",18
BW_120,openai/gpt-4o,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-120.pddl,easy,high,"1. pick-up c  
2. stack c j  
3. pick-up j  
4. stack j g  
5. pick-up g  
6. stack g f  ","[""pick-up c"", ""stack c j"", ""pick-up j"", ""stack j g"", ""pick-up g"", ""stack g f""]",6
BW_227,openai/gpt-4o,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-227.pddl,hard,high,"1. pick-up f
2. stack f l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g d
7. pick-up d
8. stack d i
9. pick-up i
10. stack i j
11. pick-up j
12. stack j c
13. pick-up c
14. stack c k
15. pick-up k
16. stack k a","[""pick-up f"", ""stack f l"", ""pick-up l"", ""stack l g"", ""pick-up g"", ""stack g d"", ""pick-up d"", ""stack d i"", ""pick-up i"", ""stack i j"", ""pick-up j"", ""stack j c"", ""pick-up c"", ""stack c k"", ""pick-up k"", ""stack k a""]",16
BW_137,openai/gpt-4o,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-137.pddl,hard,high,"1. pick-up d
2. stack d a
3. pick-up a
4. stack a b
5. pick-up b
6. stack b j
7. pick-up j
8. stack j e
9. pick-up e
10. stack e l
11. pick-up l
12. stack l h
13. pick-up h
14. stack h c
15. pick-up c
16. stack c f
17. pick-up f
18. stack f g
19. pick-up g
20. stack g i","[""pick-up d"", ""stack d a"", ""pick-up a"", ""stack a b"", ""pick-up b"", ""stack b j"", ""pick-up j"", ""stack j e"", ""pick-up e"", ""stack e l"", ""pick-up l"", ""stack l h"", ""pick-up h"", ""stack h c"", ""pick-up c"", ""stack c f"", ""pick-up f"", ""stack f g"", ""pick-up g"", ""stack g i""]",20
BW_172,openai/gpt-4o,/Users/adya/Desktop/LLMs-Planning/plan-bench/instances/blocksworld/generated/instance-172.pddl,hard,high,"1. pick-up i
2. stack i l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g e
7. pick-up e
8. stack e d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b a
13. pick-up a
14. stack a j
15. pick-up j
16. stack j h
17. pick-up h
18. stack h f
19. pick-up f
20. stack f k","[""pick-up i"", ""stack i l"", ""pick-up l"", ""stack l g"", ""pick-up g"", ""stack g e"", ""pick-up e"", ""stack e d"", ""pick-up d"", ""stack d b"", ""pick-up b"", ""stack b a"", ""pick-up a"", ""stack a j"", ""pick-up j"", ""stack j h"", ""pick-up h"", ""stack h f"", ""pick-up f"", ""stack f k""]",20
