problem_id,problem_subtype,variant_type,model,model_answer,ground_truth,verified,parse_status,reason,correct_alternative
CC_01,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 3
Coins: 1, 1, 4","Count: 2
 Coins: [3, 3]",False,parsed_with_normalization,"wrong_count: predicted=3, expected=2",False
CC_02,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 2
Coins: 5, 6","Count: 2
 Coins: [5, 6]",True,parsed_with_normalization,correct,False
CC_03,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 3
Coins: 6, 6, 1","Count: 2
 Coins: [6, 7]",False,parsed_with_normalization,"wrong_count: predicted=3, expected=2",False
CC_04,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 3
Coins: 10, 10, 7","Count: 2
Coins: [17, 10]",False,parsed_with_normalization,"wrong_count: predicted=3, expected=2",False
CC_05,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 3
Coins: 6, 4, 4","Count: 2
 Coins: [7, 7]",False,parsed_with_normalization,"wrong_count: predicted=3, expected=2",False
CC_06,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 3
Coins: 8, 8, 10","Count: 3
 Coins: [12, 7, 7]",False,parsed_with_normalization,invalid_coin_list: list does not match denominations/target/count,False
CC_07,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 3
Coins: 4, 4, 4","Count: 2
Coins: [8, 4]",False,parsed_with_normalization,"wrong_count: predicted=3, expected=2",False
CC_08,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 2
Coins: 10, 20","Count: 2
 Coins: [15, 15]",False,parsed_with_normalization,invalid_coin_list: list does not match denominations/target/count,False
CC_09,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 6
Coins: 197, 197, 11, 11, 7, 1","Count: 5
 Coins: [197, 197, 11, 11, 7]",False,parsed_with_normalization,invalid_coin_list: list does not match denominations/target/count,False
CC_10,coin_change,canonical,meta-llama/Llama-3.1-8B-Instruct,"Count: 5
Coins: 197, 197, 197, 197, 67","Count: 7
 Coins: [201, 201, 201, 197, 67, 67, 31]",False,parsed_with_normalization,invalid_coin_list: list does not match denominations/target/count,False
