mode,model,subtype,response_type,n,n_mode,rate
implausible,Claude,coin_change,compliant,10,10,1.0
implausible,Claude,shortest_path,compliant,34,34,1.0
implausible,Claude,wis,compliant,12,17,0.7058823529411765
implausible,Claude,wis,format_ignored,1,17,0.058823529411764705
implausible,Claude,wis,partial_compliance,4,17,0.23529411764705882
implausible,Gemini,coin_change,format_ignored,10,10,1.0
implausible,Gemini,shortest_path,format_ignored,34,34,1.0
implausible,Gemini,wis,format_ignored,17,17,1.0
implausible,Llama,coin_change,compliant,1,10,0.1
implausible,Llama,coin_change,format_ignored,8,10,0.8
implausible,Llama,coin_change,partial_compliance,1,10,0.1
implausible,Llama,shortest_path,compliant,21,34,0.6176470588235294
implausible,Llama,shortest_path,format_ignored,11,34,0.3235294117647059
implausible,Llama,shortest_path,partial_compliance,2,34,0.058823529411764705
implausible,Llama,wis,format_ignored,17,17,1.0
implausible,GPT-4o,coin_change,compliant,9,10,0.9
implausible,GPT-4o,coin_change,format_ignored,1,10,0.1
implausible,GPT-4o,shortest_path,compliant,34,34,1.0
implausible,GPT-4o,wis,compliant,15,17,0.8823529411764706
implausible,GPT-4o,wis,format_ignored,2,17,0.11764705882352941
implausible,o4-mini,coin_change,compliant,10,10,1.0
implausible,o4-mini,shortest_path,compliant,34,34,1.0
implausible,o4-mini,wis,compliant,17,17,1.0
plausible,Claude,coin_change,compliant,10,10,1.0
plausible,Claude,shortest_path,compliant,34,34,1.0
plausible,Claude,wis,compliant,10,17,0.5882352941176471
plausible,Claude,wis,format_ignored,1,17,0.058823529411764705
plausible,Claude,wis,partial_compliance,5,17,0.29411764705882354
plausible,Claude,wis,refusal,1,17,0.058823529411764705
plausible,Gemini,coin_change,format_ignored,10,10,1.0
plausible,Gemini,shortest_path,format_ignored,34,34,1.0
plausible,Gemini,wis,format_ignored,17,17,1.0
plausible,Llama,coin_change,compliant,3,10,0.3
plausible,Llama,coin_change,format_ignored,7,10,0.7
plausible,Llama,shortest_path,compliant,21,34,0.6176470588235294
plausible,Llama,shortest_path,format_ignored,12,34,0.35294117647058826
plausible,Llama,shortest_path,partial_compliance,1,34,0.029411764705882353
plausible,Llama,wis,format_ignored,17,17,1.0
plausible,GPT-4o,coin_change,compliant,9,10,0.9
plausible,GPT-4o,coin_change,format_ignored,1,10,0.1
plausible,GPT-4o,shortest_path,compliant,34,34,1.0
plausible,GPT-4o,wis,compliant,14,17,0.8235294117647058
plausible,GPT-4o,wis,format_ignored,3,17,0.17647058823529413
plausible,o4-mini,coin_change,compliant,10,10,1.0
plausible,o4-mini,shortest_path,compliant,34,34,1.0
plausible,o4-mini,wis,compliant,17,17,1.0
