problem_id,model,model_short,tep,n_post_steps
CC_01,anthropic/claude-sonnet-4,Claude,1.0,1
CC_01,google/gemini-2.5-flash,Gemini,1.0,1
CC_01,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
CC_01,openai/gpt-4o,GPT-4o,0.0,1
CC_01,openai/o4-mini,o4-mini,0.0,1
CC_02,anthropic/claude-sonnet-4,Claude,0.0,1
CC_02,google/gemini-2.5-flash,Gemini,0.0,1
CC_02,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1
CC_02,openai/gpt-4o,GPT-4o,0.0,1
CC_02,openai/o4-mini,o4-mini,0.0,1
CC_03,anthropic/claude-sonnet-4,Claude,0.0,1
CC_03,google/gemini-2.5-flash,Gemini,0.0,1
CC_03,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
CC_03,openai/gpt-4o,GPT-4o,0.0,1
CC_03,openai/o4-mini,o4-mini,0.0,1
CC_04,anthropic/claude-sonnet-4,Claude,0.0,1
CC_04,google/gemini-2.5-flash,Gemini,0.0,1
CC_04,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
CC_04,openai/gpt-4o,GPT-4o,1.0,1
CC_04,openai/o4-mini,o4-mini,1.0,1
CC_05,anthropic/claude-sonnet-4,Claude,0.0,1
CC_05,google/gemini-2.5-flash,Gemini,0.0,1
CC_05,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1
CC_05,openai/gpt-4o,GPT-4o,1.0,1
CC_05,openai/o4-mini,o4-mini,0.0,1
CC_06,anthropic/claude-sonnet-4,Claude,0.0,2
CC_06,google/gemini-2.5-flash,Gemini,1.0,2
CC_06,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
CC_06,openai/gpt-4o,GPT-4o,0.0,2
CC_06,openai/o4-mini,o4-mini,1.0,2
CC_07,anthropic/claude-sonnet-4,Claude,0.0,1
CC_07,google/gemini-2.5-flash,Gemini,0.0,1
CC_07,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1
CC_07,openai/gpt-4o,GPT-4o,0.0,1
CC_07,openai/o4-mini,o4-mini,0.0,1
CC_08,anthropic/claude-sonnet-4,Claude,0.0,1
CC_08,google/gemini-2.5-flash,Gemini,1.0,1
CC_08,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
CC_08,openai/gpt-4o,GPT-4o,1.0,1
CC_08,openai/o4-mini,o4-mini,0.0,1
CC_09,anthropic/claude-sonnet-4,Claude,1.0,2
CC_09,google/gemini-2.5-flash,Gemini,0.5,2
CC_09,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
CC_09,openai/gpt-4o,GPT-4o,0.0,2
CC_09,openai/o4-mini,o4-mini,1.0,2
CC_10,anthropic/claude-sonnet-4,Claude,0.0,3
CC_10,google/gemini-2.5-flash,Gemini,0.3333333333333333,3
CC_10,meta-llama/llama-3.1-8b-instruct,Llama,1.0,3
CC_10,openai/gpt-4o,GPT-4o,0.3333333333333333,3
CC_10,openai/o4-mini,o4-mini,0.6666666666666666,3
SP_003,anthropic/claude-sonnet-4,Claude,1.0,3
SP_003,google/gemini-2.5-flash,Gemini,1.0,3
SP_003,meta-llama/llama-3.1-8b-instruct,Llama,1.0,3
SP_003,openai/gpt-4o,GPT-4o,0.3333333333333333,3
SP_003,openai/o4-mini,o4-mini,1.0,3
SP_004,anthropic/claude-sonnet-4,Claude,0.0,4
SP_004,google/gemini-2.5-flash,Gemini,0.25,4
SP_004,meta-llama/llama-3.1-8b-instruct,Llama,0.5,4
SP_004,openai/gpt-4o,GPT-4o,0.5,4
SP_004,openai/o4-mini,o4-mini,0.0,4
SP_005,anthropic/claude-sonnet-4,Claude,1.0,3
SP_005,google/gemini-2.5-flash,Gemini,1.0,3
SP_005,meta-llama/llama-3.1-8b-instruct,Llama,0.3333333333333333,3
SP_005,openai/gpt-4o,GPT-4o,1.0,3
SP_005,openai/o4-mini,o4-mini,1.0,3
SP_019,anthropic/claude-sonnet-4,Claude,0.0,2
SP_019,google/gemini-2.5-flash,Gemini,0.0,2
SP_019,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_019,openai/gpt-4o,GPT-4o,0.0,2
SP_019,openai/o4-mini,o4-mini,0.0,2
SP_020,anthropic/claude-sonnet-4,Claude,0.0,2
SP_020,google/gemini-2.5-flash,Gemini,0.0,2
SP_020,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_020,openai/gpt-4o,GPT-4o,0.0,2
SP_020,openai/o4-mini,o4-mini,0.0,2
SP_021,anthropic/claude-sonnet-4,Claude,0.0,2
SP_021,google/gemini-2.5-flash,Gemini,0.0,2
SP_021,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_021,openai/gpt-4o,GPT-4o,1.0,2
SP_021,openai/o4-mini,o4-mini,0.0,2
SP_023,anthropic/claude-sonnet-4,Claude,0.0,2
SP_023,google/gemini-2.5-flash,Gemini,0.0,2
SP_023,meta-llama/llama-3.1-8b-instruct,Llama,0.0,2
SP_023,openai/gpt-4o,GPT-4o,0.0,2
SP_023,openai/o4-mini,o4-mini,0.5,2
SP_024,anthropic/claude-sonnet-4,Claude,0.0,2
SP_024,google/gemini-2.5-flash,Gemini,0.0,2
SP_024,meta-llama/llama-3.1-8b-instruct,Llama,0.0,2
SP_024,openai/gpt-4o,GPT-4o,0.0,2
SP_024,openai/o4-mini,o4-mini,0.0,2
SP_026,anthropic/claude-sonnet-4,Claude,0.5,2
SP_026,google/gemini-2.5-flash,Gemini,0.0,2
SP_026,meta-llama/llama-3.1-8b-instruct,Llama,0.0,2
SP_026,openai/gpt-4o,GPT-4o,0.0,2
SP_026,openai/o4-mini,o4-mini,0.5,2
SP_027,anthropic/claude-sonnet-4,Claude,0.0,2
SP_027,google/gemini-2.5-flash,Gemini,0.5,2
SP_027,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_027,openai/gpt-4o,GPT-4o,0.5,2
SP_027,openai/o4-mini,o4-mini,0.5,2
SP_028,anthropic/claude-sonnet-4,Claude,0.0,2
SP_028,google/gemini-2.5-flash,Gemini,0.0,2
SP_028,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_028,openai/gpt-4o,GPT-4o,0.0,2
SP_028,openai/o4-mini,o4-mini,0.5,2
SP_029,anthropic/claude-sonnet-4,Claude,0.5,2
SP_029,google/gemini-2.5-flash,Gemini,0.0,2
SP_029,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_029,openai/gpt-4o,GPT-4o,0.5,2
SP_029,openai/o4-mini,o4-mini,0.0,2
SP_030,anthropic/claude-sonnet-4,Claude,0.0,2
SP_030,google/gemini-2.5-flash,Gemini,0.0,2
SP_030,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_030,openai/gpt-4o,GPT-4o,0.0,2
SP_030,openai/o4-mini,o4-mini,0.5,2
SP_037,anthropic/claude-sonnet-4,Claude,0.0,2
SP_037,google/gemini-2.5-flash,Gemini,0.0,2
SP_037,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_037,openai/gpt-4o,GPT-4o,0.0,2
SP_037,openai/o4-mini,o4-mini,0.0,2
SP_038,anthropic/claude-sonnet-4,Claude,0.0,2
SP_038,google/gemini-2.5-flash,Gemini,0.0,2
SP_038,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_038,openai/gpt-4o,GPT-4o,0.0,2
SP_038,openai/o4-mini,o4-mini,0.0,2
SP_039,anthropic/claude-sonnet-4,Claude,0.0,2
SP_039,google/gemini-2.5-flash,Gemini,0.0,2
SP_039,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_039,openai/gpt-4o,GPT-4o,0.0,2
SP_039,openai/o4-mini,o4-mini,0.0,2
SP_040,anthropic/claude-sonnet-4,Claude,0.0,2
SP_040,google/gemini-2.5-flash,Gemini,0.0,2
SP_040,meta-llama/llama-3.1-8b-instruct,Llama,0.0,2
SP_040,openai/gpt-4o,GPT-4o,0.0,2
SP_040,openai/o4-mini,o4-mini,0.0,2
SP_042,anthropic/claude-sonnet-4,Claude,0.5,2
SP_042,google/gemini-2.5-flash,Gemini,0.0,2
SP_042,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_042,openai/gpt-4o,GPT-4o,0.0,2
SP_042,openai/o4-mini,o4-mini,1.0,2
SP_044,anthropic/claude-sonnet-4,Claude,0.0,2
SP_044,google/gemini-2.5-flash,Gemini,0.0,2
SP_044,meta-llama/llama-3.1-8b-instruct,Llama,0.0,2
SP_044,openai/gpt-4o,GPT-4o,0.0,2
SP_044,openai/o4-mini,o4-mini,0.5,2
SP_045,anthropic/claude-sonnet-4,Claude,0.0,2
SP_045,google/gemini-2.5-flash,Gemini,0.0,2
SP_045,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_045,openai/gpt-4o,GPT-4o,0.5,2
SP_045,openai/o4-mini,o4-mini,0.5,2
SP_046,anthropic/claude-sonnet-4,Claude,0.0,2
SP_046,google/gemini-2.5-flash,Gemini,0.5,2
SP_046,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_046,openai/gpt-4o,GPT-4o,0.5,2
SP_046,openai/o4-mini,o4-mini,0.5,2
SP_047,anthropic/claude-sonnet-4,Claude,0.0,2
SP_047,google/gemini-2.5-flash,Gemini,0.5,2
SP_047,meta-llama/llama-3.1-8b-instruct,Llama,0.0,2
SP_047,openai/gpt-4o,GPT-4o,0.0,2
SP_047,openai/o4-mini,o4-mini,0.5,2
SP_048,anthropic/claude-sonnet-4,Claude,0.0,2
SP_048,google/gemini-2.5-flash,Gemini,0.0,2
SP_048,meta-llama/llama-3.1-8b-instruct,Llama,0.0,2
SP_048,openai/gpt-4o,GPT-4o,1.0,2
SP_048,openai/o4-mini,o4-mini,0.5,2
SP_062,anthropic/claude-sonnet-4,Claude,0.0,2
SP_062,google/gemini-2.5-flash,Gemini,0.0,2
SP_062,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
