problem_id,model,problem_family,css,variants_evaluated,variants_correct,contamination_pole,difficulty
GSM_001,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.5,4,2,high,medium
GSM_002,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.75,4,3,high,easy
GSM_003,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.5,4,2,high,medium
GSM_004,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.75,4,3,high,easy
GSM_005,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.5,4,2,high,hard
GSM_006,anthropic/claude-3.7-sonnet,arithmetic_reasoning,1.0,4,4,high,medium
GSM_007,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.75,4,3,high,hard
GSM_008,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.5,4,2,high,medium
GSM_009,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.25,4,1,high,medium
GSM_010,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.25,4,1,medium,medium
GSM_011,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.25,4,1,medium,medium
GSM_012,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.5,4,2,medium,medium
GSM_013,anthropic/claude-3.7-sonnet,arithmetic_reasoning,1.0,4,4,medium,medium
GSM_014,anthropic/claude-3.7-sonnet,arithmetic_reasoning,1.0,4,4,medium,medium
GSM_015,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.0,4,0,medium,hard
GSM_016,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.5,4,2,medium,hard
GSM_017,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.25,4,1,medium,hard
GSM_018,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.5,4,2,medium,hard
GSM_019,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.5,4,2,medium,hard
GSM_020,anthropic/claude-3.7-sonnet,arithmetic_reasoning,0.25,4,1,medium,hard
GSM_001,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.75,4,3,high,medium
GSM_002,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.5,4,2,high,easy
GSM_003,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.5,4,2,high,medium
GSM_004,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.0,4,0,high,easy
GSM_005,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,high,hard
GSM_006,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.0,4,0,high,medium
GSM_007,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,high,hard
GSM_008,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.75,4,3,high,medium
GSM_009,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,high,medium
GSM_010,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.5,4,2,medium,medium
GSM_011,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.5,4,2,medium,medium
GSM_012,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,medium,medium
GSM_013,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,medium,medium
GSM_014,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,medium,medium
GSM_015,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.5,4,2,medium,hard
GSM_016,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,medium,hard
GSM_017,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,medium,hard
GSM_018,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,medium,hard
GSM_019,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.25,4,1,medium,hard
GSM_020,meta-llama/llama-3.1-8b-instruct,arithmetic_reasoning,0.5,4,2,medium,hard
GSM_001,openai/gpt-4o,arithmetic_reasoning,0.25,4,1,high,medium
GSM_002,openai/gpt-4o,arithmetic_reasoning,0.75,4,3,high,easy
GSM_003,openai/gpt-4o,arithmetic_reasoning,0.75,4,3,high,medium
GSM_004,openai/gpt-4o,arithmetic_reasoning,1.0,4,4,high,easy
GSM_005,openai/gpt-4o,arithmetic_reasoning,0.25,4,1,high,hard
GSM_006,openai/gpt-4o,arithmetic_reasoning,0.5,4,2,high,medium
GSM_007,openai/gpt-4o,arithmetic_reasoning,1.0,4,4,high,hard
GSM_008,openai/gpt-4o,arithmetic_reasoning,0.0,4,0,high,medium
GSM_009,openai/gpt-4o,arithmetic_reasoning,0.0,4,0,high,medium
GSM_010,openai/gpt-4o,arithmetic_reasoning,0.25,4,1,medium,medium
GSM_011,openai/gpt-4o,arithmetic_reasoning,0.25,4,1,medium,medium
GSM_012,openai/gpt-4o,arithmetic_reasoning,0.25,4,1,medium,medium
GSM_013,openai/gpt-4o,arithmetic_reasoning,0.5,4,2,medium,medium
GSM_014,openai/gpt-4o,arithmetic_reasoning,0.5,4,2,medium,medium
GSM_015,openai/gpt-4o,arithmetic_reasoning,0.25,4,1,medium,hard
GSM_016,openai/gpt-4o,arithmetic_reasoning,0.0,4,0,medium,hard
GSM_017,openai/gpt-4o,arithmetic_reasoning,0.0,4,0,medium,hard
GSM_018,openai/gpt-4o,arithmetic_reasoning,0.5,4,2,medium,hard
