problem_id,variant_type,problem_text,correct_answer,problem_family,problem_subtype,difficulty,contamination_pole,source,verifier_function,difficulty_params,notes
BW_001,W1,"""You are a robotic manipulator. Permitted operations: pick-up X (X must be unobstructed and resting on the surface, gripper must be vacant), put-down X (deposit X onto the surface), stack X Y (position X atop Y; Y must be unobstructed, you must be gripping X), unstack X Y (retrieve X from atop Y; X must be unobstructed, gripper must be vacant). You may grip one block at a time. Current configuration: Blocks j, f, i, g, d, b, h, and l are unobstructed and resting on the surface. The gripper is vacant. Objective: Block j rests atop block f, block f rests atop block i, block i rests atop block g, block g rests atop block d, block d rests atop block b, block b rests atop block h, and block h rests atop block l. Reply with a numbered sequence of operations only. Each operation must be exactly one of: pick-up X / put-down X / stack X Y / unstack X Y. No explanation. No extra text.""","pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,blocksworld,medium,high,type=planbench_original | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/generated/instance-1.pddl,verify_blocksworld_plan,num_blocks=8 | requires_unstacking=false | max_initial_stack_depth=1,8 blocks starting on table; no unstacking required
BW_001,W2,"Action Reference:
| Action      | Preconditions                        | Effect            |
|-------------|--------------------------------------|-------------------|
| pick-up X   | X is on table, X is clear, hand empty| holding X         |
| put-down X  | holding X                            | X on table        |
| stack X Y   | holding X, Y is clear                | X on Y            |
| unstack X Y | X on Y, X is clear, hand empty       | holding X         |

Current State:
| Block | Location | Clear? |
|-------|----------|--------|
| j     | table    | yes    |
| f     | table    | yes    |
| i     | table    | yes    |
| g     | table    | yes    |
| d     | table    | yes    |
| b     | table    | yes    |
| h     | table    | yes    |
| l     | table    | yes    |

Goal:
| Block | Must be on top of |
|-------|-------------------|
| j     | f                 |
| f     | i                 |
| i     | g                 |
| g     | d                 |
| d     | b                 |
| b     | h                 |
| h     | l                 |

Respond with a numbered list of actions only. Each action must be exactly one of: pick-up X / put-down X / stack X Y / unstack X Y. No explanation. No extra text.","pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,blocksworld,medium,high,type=planbench_original | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/generated/instance-1.pddl,verify_blocksworld_plan,num_blocks=8 | requires_unstacking=false | max_initial_stack_depth=1,8 blocks starting on table; no unstacking required
BW_001,W3,"""You are an HR manager building a reporting chain. Available actions: select X (X must have no direct reports and be unassigned, hands must be free), release X (return X to the unassigned pool), place X under Y (Y must have no one above them, you must be holding X), remove X from Y (X must have no direct reports, hands must be free). You can manage one employee at a time. Current state: James, Fiona, Ian, Grace, Derek, Ben, Hannah, and Leo are all unassigned and available. Your hands are free. Goal: James reports to Fiona, Fiona reports to Ian, Ian reports to Grace, Grace reports to Derek, Derek reports to Ben, Ben reports to Hannah, and Hannah reports to Leo. Respond with a numbered list of actions only. Each action must be exactly one of: select X / release X / place X under Y / remove X from Y. No explanation. No extra text.""","select Hannah
place Hannah under Leo
select Ben
place Ben under Hannah
select Derek
place Derek under Ben
select Grace
place Grace under Derek
select Ian
place Ian under Grace
select Fiona
place Fiona under Ian
select James
place James under Fiona",planning_suite,blocksworld,medium,high,type=planbench_original | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/generated/instance-1.pddl,verify_blocksworld_plan,num_blocks=8 | requires_unstacking=false | max_initial_stack_depth=1,8 blocks starting on table; no unstacking required
BW_001,W4,"FORMAL DEFINITION:
π = ⟨B, S₀, S*, A⟩

BLOCKS:
B = {j, f, i, g, d, b, h, l}

INITIAL STATE S₀:
OnTable(j), OnTable(f), OnTable(i), OnTable(g),
OnTable(d), OnTable(b), OnTable(h), OnTable(l),
Clear(j), Clear(f), Clear(i), Clear(g),
Clear(d), Clear(b), Clear(h), Clear(l),
HandEmpty

GOAL STATE S*:
On(j,f), On(f,i), On(i,g), On(g,d), On(d,b), On(b,h), On(h,l), OnTable(l)

ACTIONS (Preconditions → Add Effects | Delete Effects):

1. pick-up(x):
   Pre:  Clear(x), OnTable(x), HandEmpty
   Add:  Holding(x)
   Del:  Clear(x), OnTable(x), HandEmpty

2. put-down(x):
   Pre:  Holding(x)
   Add:  OnTable(x), Clear(x), HandEmpty
   Del:  Holding(x)

3. stack(x, y):
   Pre:  Holding(x), Clear(y)
   Add:  On(x,y), Clear(x), HandEmpty
   Del:  Holding(x), Clear(y)

4. unstack(x, y):
   Pre:  On(x,y), Clear(x), HandEmpty
   Add:  Holding(x), Clear(y)
   Del:  On(x,y), Clear(x), HandEmpty

CONSTRAINTS:
- x ≠ y for all two-argument actions
- Exactly one block can be held at a time
- Pre(aₖ) ⊆ Sₖ₋₁ must hold for each action aₖ

TASK:
Find plan π = (a₁, a₂, ..., aₙ) such that:
S₀ →(a₁) S₁ →(a₂) ... →(aₙ) Sₙ, where S* ⊆ Sₙ

OUTPUT FORMAT:
Return a numbered list of actions only.
Each action must be exactly one of:
  pick-up X
  put-down X
  stack X Y
  unstack X Y
No explanation. No extra text.","pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,blocksworld,medium,high,type=planbench_original | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/generated/instance-1.pddl,verify_blocksworld_plan,num_blocks=8 | requires_unstacking=false | max_initial_stack_depth=1,8 blocks starting on table; no unstacking required
BW_001,W5,"""You are a robot arm. Available actions: pick-up X (X must be clear and on the table, hand must be empty), put-down X (place X on the table), stack X Y (place X on Y; Y must be clear, you must be holding X), unstack X Y (pick up X from Y; X must be clear, hand must be empty). You can hold one block at a time. Current state: Block j is on block f, block f is on block i, block i is on block g, block g is on block d, block d is on block b, block b is on block h, and block h is on block l. Block l is on the table. The hand is empty. Goal: Blocks j, f, i, g, d, b, h, and l are all clear and on the table. Respond with a numbered list of actions only. Each action must be exactly one of: pick-up X / put-down X / stack X Y / unstack X Y. No explanation. No extra text.""","unstack j f
put-down j
unstack f i
put-down f
unstack i g
put-down i
unstack g d
put-down g
unstack d b
put-down d
unstack b h
put-down b
unstack h l
put-down h",planning_suite,blocksworld,medium,high,type=planbench_original | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/generated/instance-1.pddl,verify_blocksworld_plan,num_blocks=8 | requires_unstacking=false | max_initial_stack_depth=1,8 blocks starting on table; no unstacking required
BW_001,W6,"You are a robot arm. Available actions: pick-up X (X must be clear and on the table, hand must be empty), put-down X (place X on the table), stack X Y (place X on Y; Y must be clear, you must be holding X), unstack X Y (pick up X from Y; X must be clear, hand must be empty). You can hold one block at a time. Current state: Blocks a, b, c, d, e, f, g, h, and i are clear and on the table. The hand is empty. Goal: Block a is on block i, block b is on block f, block c is on block a, block d is on the table, block e is on block h, block f is on block c, block g is on block b, block h is on block d, block i is on block e. Respond with a numbered list of actions only. Each action must be exactly one of: pick-up X / put-down X / stack X Y / unstack X Y. No explanation. No extra text.","pick-up h
stack h d
pick-up e
stack e h
pick-up i
stack i e
pick-up a
stack a i
pick-up c
stack c a
pick-up f
stack f c
pick-up b
stack b f
pick-up g
stack g b",planning_suite,blocksworld,medium,high,type=planbench_original | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/generated/instance-1.pddl | synthesized_w6_from_canonical,verify_blocksworld_plan,num_blocks=8 | requires_unstacking=false | max_initial_stack_depth=1,8 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_001,canonical,"""You are a robot arm. Available actions: pick-up X (X must be clear and on the table, hand must be empty), put-down X (place X on the table), stack X Y (place X on Y; Y must be clear, you must be holding X), unstack X Y (pick up X from Y; X must be clear, hand must be empty). You can hold one block at a time. Current state: Blocks j, f, i, g, d, b, h, and l are clear and on the table. The hand is empty. Goal: Block j is on block f, block f is on block i, block i is on block g, block g is on block d, block d is on block b, block b is on block h, and block h is on block l. Respond with a numbered list of actions only. Each action must be exactly one of: pick-up X / put-down X / stack X Y / unstack X Y. No explanation. No extra text.""","pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,blocksworld,medium,high,type=planbench_original | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/generated/instance-1.pddl,verify_blocksworld_plan,num_blocks=8 | requires_unstacking=false | max_initial_stack_depth=1,8 blocks starting on table; no unstacking required
BW_002,W1,"You are a robotic manipulator. Permitted operations: pick-up X (X must be unobstructed and resting on the surface, gripper must be vacant), put-down X (deposit X onto the surface), stack X Y (position X atop Y; Y must be unobstructed, you must be gripping X), unstack X Y (retrieve X from atop Y; X must be unobstructed, gripper must be vacant). You may grip one block at a time. Current configuration: Blocks j, g, a, b, k, h, and i are unobstructed and resting on the surface. The gripper is vacant. Objective: Block j rests atop block g, block g rests atop block a, block a rests atop block b, block b rests atop block k, block k rests atop block h, and block h rests atop block i. Reply with a numbered sequence of operations only. Each operation must be exactly one of: pick-up X / put-down X / stack X Y / unstack X Y. No explanation. No extra text.","pick-up h
stack h i
pick-up k
stack k h
pick-up b
stack b k
pick-up a
stack a b
pick-up g
stack g a
pick-up j
stack j g",planning_suite,blocksworld,hard,high,plan-bench/instances/blocksworld/generated/instance-2.pddl,verify_blocksworld_plan,,
BW_002,W2,"Action Reference:
 | Action | Preconditions | Effect |
 |--------|---------------|--------|
 | pick-up X | X is on table, X is clear, hand empty | holding X |
 | put-down X | holding X | X on table |
 | stack X Y | holding X, Y is clear | X on Y |
 | unstack X Y | X on Y, X is clear, hand empty | holding X |
 
 Current State:
 | Block | Location | Clear? |
 |-------|----------|--------|
 | j | table | yes |
 | g | table | yes |
 | a | table | yes |
 | b | table | yes |
 | k | table | yes |
 | h | table | yes |
 | i | table | yes |
 
 Goal:
 | Block | Must be on top of |
 |-------|-------------------|
 | j | g |
 | g | a |
 | a | b |
 | b | k |
 | k | h |
 | h | i |
 
 Respond with a numbered list of actions only. Each action must be exactly one of: pick-up X / put-down X / stack X Y / unstack X Y. No explanation. No extra text.","pick-up h
stack h i
pick-up k
stack k h
pick-up b
stack b k
pick-up a
stack a b
pick-up g
stack g a
pick-up j
stack j g",planning_suite,blocksworld,hard,high,plan-bench/instances/blocksworld/generated/instance-2.pddl,verify_blocksworld_plan,,
BW_002,W3,"You are an HR manager building a reporting chain. Available actions: select X (X must be unassigned and available, hands must be free), release X (return X to the unassigned pool), place X under Y (Y must be available, you must be holding X), remove X from Y (X must have no direct reports, hands must be free). You can manage one employee at a time. Current state: Jake, Grace, Alice, Bob, Kevin, Henry, and Ivan are all unassigned and available. Your hands are free. Goal: Jake reports to Grace, Grace reports to Alice, Alice reports to Bob, Bob reports to Kevin, Kevin reports to Henry, Henry reports to Ivan. Respond with a numbered list of actions only. Each action must be exactly one of: select X / release X / place X under Y / remove X from Y. No explanation. No extra text.","select Henry
place Henry under Ivan
select Kevin
place Kevin under Henry
select Bob
place Bob under Kevin
select Alice
place Alice under Bob
select Grace
place Grace under Alice
select Jake
place Jake under Grace",planning_suite,blocksworld,hard,high,plan-bench/instances/blocksworld/generated/instance-2.pddl,verify_blocksworld_plan,,
